UserValue,DealerValue,TrueCount,Hit EV,Stand EV,Double EV,Split EV,Surrender EV,Insurance Accept EV,Insurance Decline EV,Hands Played
4,11,-inf,0.000000,0.000000,0.000000,0.000000,0.000000,-0.524683,-0.459009,14747
4,11,-19,0.000000,0.000000,0.000000,0.000000,0.000000,-1.500000,-1.000000,1
4,11,-18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,1
4,11,-17,0.000000,0.000000,0.000000,0.000000,0.000000,-1.500000,-1.000000,1
4,11,-16,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,1.000000,1
4,11,-15,0.000000,0.000000,0.000000,0.000000,0.000000,-0.428571,-0.571429,7
4,11,-14,0.000000,0.000000,0.000000,0.000000,0.000000,-0.333333,-0.133333,15
4,11,-13,0.000000,0.000000,0.000000,0.000000,0.000000,-0.909091,-0.545455,22
4,11,-12,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-0.381818,55
4,11,-11,0.000000,0.000000,0.000000,0.000000,0.000000,-0.555556,-0.400000,135
4,11,-10,0.000000,0.000000,0.000000,0.000000,0.000000,-0.523913,-0.369565,230
4,11,-9,0.000000,0.000000,0.000000,0.000000,0.000000,-0.463895,-0.354486,457
4,11,-8,0.000000,0.000000,0.000000,0.000000,0.000000,-0.501805,-0.379061,831
4,11,-7,0.000000,0.000000,0.000000,0.000000,0.000000,-0.486719,-0.399219,1280
4,11,-6,0.000000,0.000000,0.000000,0.000000,0.000000,-0.512386,-0.408999,1978
4,11,-5,0.000000,0.000000,0.000000,0.000000,0.000000,-0.526464,-0.433344,3023
4,11,-4,0.000000,0.000000,0.000000,0.000000,0.000000,-0.531105,-0.463556,4308
4,11,-3,0.000000,0.000000,0.000000,0.000000,0.000000,-0.524190,-0.478304,6015
4,11,-2,0.000000,0.000000,0.000000,0.000000,0.000000,-0.514719,-0.457222,7983
4,11,-1,0.000000,0.000000,0.000000,0.000000,0.000000,-0.507449,-0.468606,10002
4,11,0,0.000000,0.000000,0.000000,0.000000,0.000000,-0.514934,-0.480753,10781
4,11,0.5,0.000000,0.000000,0.000000,0.000000,0.000000,-0.511687,-0.491611,10311
4,11,1,0.000000,0.000000,0.000000,0.000000,0.000000,-0.508548,-0.491452,11055
4,11,2,0.000000,0.000000,0.000000,0.000000,0.000000,-0.515345,-0.478589,9808
4,11,3,0.000000,0.000000,0.000000,0.000000,0.000000,-0.537561,-0.525477,8027
4,11,4,0.000000,0.000000,0.000000,0.000000,0.000000,-0.518418,-0.525753,6271
4,11,5,0.000000,0.000000,0.000000,0.000000,0.000000,-0.510829,-0.523737,4571
4,11,6,0.000000,0.000000,0.000000,0.000000,0.000000,-0.528493,-0.549581,3106
4,11,7,0.000000,0.000000,0.000000,0.000000,0.000000,-0.528791,-0.564299,2084
4,11,8,0.000000,0.000000,0.000000,0.000000,0.000000,-0.525381,-0.556200,1379
4,11,9,0.000000,0.000000,0.000000,0.000000,0.000000,-0.483829,-0.598965,773
4,11,10,0.000000,0.000000,0.000000,0.000000,0.000000,-0.564270,-0.590414,459
4,11,11,0.000000,0.000000,0.000000,0.000000,0.000000,-0.453125,-0.550781,256
4,11,12,0.000000,0.000000,0.000000,0.000000,0.000000,-0.512605,-0.504202,119
4,11,13,0.000000,0.000000,0.000000,0.000000,0.000000,-0.532258,-0.516129,62
4,11,14,0.000000,0.000000,0.000000,0.000000,0.000000,-0.642857,-0.785714,28
4,11,15,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,-0.500000,12
4,11,16,0.000000,0.000000,0.000000,0.000000,0.000000,-0.300000,-0.400000,5
4,11,18,0.000000,0.000000,0.000000,0.000000,0.000000,-1.500000,-1.000000,1
4,11,inf,0.000000,0.000000,0.000000,0.000000,0.000000,-0.520010,-0.550815,13618
5,11,-inf,0.000000,0.000000,0.000000,0.000000,0.000000,-0.543688,-0.463269,33419
5,11,-17,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.000000,2
5,11,-16,0.000000,0.000000,0.000000,0.000000,0.000000,-0.500000,0.000000,2
5,11,-15,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,-0.500000,8
5,11,-14,0.000000,0.000000,0.000000,0.000000,0.000000,-0.592593,-0.481481,27
5,11,-13,0.000000,0.000000,0.000000,0.000000,0.000000,-0.438356,-0.246575,73
5,11,-12,0.000000,0.000000,0.000000,0.000000,0.000000,-0.493151,-0.445205,146
5,11,-11,0.000000,0.000000,0.000000,0.000000,0.000000,-0.569536,-0.327815,302
5,11,-10,0.000000,0.000000,0.000000,0.000000,0.000000,-0.515762,-0.388792,571
5,11,-9,0.000000,0.000000,0.000000,0.000000,0.000000,-0.538606,-0.383239,1062
5,11,-8,0.000000,0.000000,0.000000,0.000000,0.000000,-0.567013,-0.448296,1731
5,11,-7,0.000000,0.000000,0.000000,0.000000,0.000000,-0.537881,-0.451224,2983
5,11,-6,0.000000,0.000000,0.000000,0.000000,0.000000,-0.546572,-0.448254,4638
5,11,-5,0.000000,0.000000,0.000000,0.000000,0.000000,-0.542919,-0.460131,6885
5,11,-4,0.000000,0.000000,0.000000,0.000000,0.000000,-0.555544,-0.484006,9785
5,11,-3,0.000000,0.000000,0.000000,0.000000,0.000000,-0.532299,-0.479221,13499
5,11,-2,0.000000,0.000000,0.000000,0.000000,0.000000,-0.532277,-0.493101,18264
5,11,-1,0.000000,0.000000,0.000000,0.000000,0.000000,-0.540292,-0.511129,22374
5,11,0,0.000000,0.000000,0.000000,0.000000,0.000000,-0.538892,-0.514392,24388
5,11,0.5,0.000000,0.000000,0.000000,0.000000,0.000000,-0.542364,-0.517489,23558
5,11,1,0.000000,0.000000,0.000000,0.000000,0.000000,-0.536566,-0.511490,25283
5,11,2,0.000000,0.000000,0.000000,0.000000,0.000000,-0.533318,-0.514723,22210
5,11,3,0.000000,0.000000,0.000000,0.000000,0.000000,-0.533719,-0.522641,18506
5,11,4,0.000000,0.000000,0.000000,0.000000,0.000000,-0.533599,-0.536533,14316
