Decision,Player,Dealer,HiLoStrategy_H17,HiLoStrategy_S17,MentorStrategy_H17,MentorStrategy_S17,OmegaIIStrategy_H17,OmegaIIStrategy_S17,R14Strategy_H17,R14Strategy_S17,RAPCStrategy_H17,RAPCStrategy_S17,RPCStrategy_H17,RPCStrategy_S17,WongHalvesStrategy_H17,WongHalvesStrategy_S17,ZenCountStrategy_H17,ZenCountStrategy_S17
Hit vs Double,9,2,0.5,0.5,48.5,30.5,39.0,37.5,77.5,38.5,2.5,2.5,1.5,1.5,25.5,25.5,1.0,1.0
Hit vs Double,9,7,3.0,3.0,127.0,-1.0,94.0,92.5,102.5,102.5,11.0,10.0,6.5,6.5,47.0,46.5,6.0,6.0
Hit vs Double,10,10,3.0,3.0,127.0,125.5,96.5,96.5,142.0,-3.5,9.0,9.5,6.0,5.5,48.5,47.5,5.5,5.5
Hit vs Double,10,11,3.0,3.0,127.0,127.0,96.5,95.0,143.5,142.0,10.0,9.5,6.0,6.0,47.5,48.0,5.5,5.5
Hit vs Double,11,11,0.5,0.5,99.5,99.5,87.0,79.0,77.5,77.5,2.5,2.5,1.5,1.5,25.5,25.5,1.0,1.5
Hit vs Stand,12,2,3.0,3.0,124.5,125.5,96.5,96.5,148.5,144.5,10.0,10.0,5.5,5.5,48.5,47.5,5.0,4.5
Hit vs Stand,12,3,1.5,1.5,101.0,101.0,90.0,90.0,102.5,102.5,5.0,5.0,2.5,2.5,44.5,44.5,2.0,2.5
Hit vs Stand,13,2,-1.0,-1.0,-1.0,-0.5,-0.5,-0.5,-0.5,-0.5,-2.5,-2.5,-1.5,-1.5,-0.5,-0.5,-1.5,-1.5
Hit vs Stand,13,3,-2.5,-2.5,-1.0,102.5,-1.0,-2.0,-2.0,-2.0,-6.5,-6.5,-4.0,-4.0,-1.0,-1.0,-3.5,-3.5
Hit vs Stand,15,10,3.5,3.5,125.5,127.0,95.0,95.0,104.5,104.5,11.0,11.0,6.5,6.5,47.0,-2.0,5.5,5.5
Hit vs Stand,16,10,-0.0,0.0,79.0,64.5,76.0,76.0,-3.0,-4.0,0.5,1.0,0.5,0.5,25.5,25.5,-0.0,0.5
InsuranceAccept vs Decline,ALL,11,3.0,3.0,125.5,125.5,96.5,96.5,147.5,144.5,11.0,11.0,6.0,6.0,48.5,48.5,5.0,5.0
Split vs Stand 10s,20,5,4.5,4.5,129.5,132.0,98.0,96.5,147.5,147.5,15.0,15.5,9.0,8.5,49.0,49.0,8.0,8.0
Split vs Stand 10s,20,6,4.0,4.0,129.5,131.0,96.5,97.5,144.5,144.5,14.0,13.5,8.0,8.5,49.0,49.0,7.5,7.5
Surrender vs Hit,14,10,3.0,2.5,124.5,124.5,92.5,90.0,102.5,102.5,8.0,8.0,4.5,4.5,46.0,46.0,4.0,4.0
Surrender vs Hit,15,9,2.0,2.0,101.0,101.0,90.0,90.0,102.5,102.5,7.0,7.0,4.0,4.0,45.0,45.0,3.5,3.5
Surrender vs Hit,15,10,-0.5,-0.5,0.0,0.0,4.5,5.0,9.0,7.0,-1.5,-1.5,-1.0,-1.0,4.0,-2.0,-1.0,-1.0
Surrender vs Hit,15,11,1.0,1.0,101.0,-1.5,89.0,87.0,77.5,77.5,4.5,4.5,2.5,2.5,25.5,42.5,2.5,2.5
Surrender vs Hit,16,9,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.0,0.0,-2.0,-2.0,-1.0,-1.0,0.0,-0.0,-1.0,-1.0
Surrender vs Hit,16,10,-3.5,-3.5,-2.0,102.5,,-2.0,,-3.0,-10.5,-11.0,-6.5,-6.5,-1.5,-1.5,-6.0,-6.0
Surrender vs Hit,16,11,-2.0,-2.0,-1.0,102.5,,-1.0,-1.5,-1.5,-6.5,-6.0,-4.0,-4.0,-1.0,-1.0,-4.0,-3.5
