DealerValue,TrueCount,Insurance Accept EV,Insurance Decline EV,Hands Played,Best Action,EV Diff (Accept-Decline)
11,-18.5,0.500000,1.000000,1,Decline,-0.500000
11,-18,0.000000,0.500000,4,Decline,-0.500000
11,-17.5,0.200000,0.400000,5,Decline,-0.200000
11,-17,-0.500000,-1.000000,3,Accept,0.500000
11,-16.5,0.000000,-0.142857,7,Accept,0.142857
11,-16,-0.100000,0.100000,10,Decline,-0.200000
11,-15.5,-0.450000,-0.550000,20,Accept,0.100000
11,-15,-0.303571,-0.178572,28,Decline,-0.125000
11,-14.5,-0.140000,-0.030000,50,Decline,-0.110000
11,-14,-0.254032,-0.153226,124,Decline,-0.100806
11,-13.5,-0.180000,-0.005714,175,Decline,-0.174286
11,-13,-0.206731,-0.076923,312,Decline,-0.129808
11,-12.5,-0.172032,-0.064386,497,Decline,-0.107646
11,-12,-0.167585,-0.026461,907,Decline,-0.141124
11,-11.5,-0.188755,-0.033133,1494,Decline,-0.155623
11,-11,-0.167925,-0.054849,2516,Decline,-0.113076
11,-10.5,-0.178807,-0.074366,3940,Decline,-0.104441
11,-10,-0.193260,-0.090622,5534,Decline,-0.102638
11,-9.5,-0.190131,-0.082447,8836,Decline,-0.107684
11,-9,-0.183810,-0.080424,17159,Decline,-0.103386
11,-8.5,-0.195048,-0.088619,23443,Decline,-0.106428
11,-8,-0.196672,-0.097835,40921,Decline,-0.098837
11,-7.5,-0.184983,-0.094491,66779,Decline,-0.090493
11,-7,-0.190823,-0.099223,103630,Decline,-0.091600
11,-6.5,-0.202906,-0.113503,155375,Decline,-0.089403
11,-6,-0.193122,-0.106821,245327,Decline,-0.086301
11,-5.5,-0.184758,-0.101054,390530,Decline,-0.083704
11,-5,-0.212476,-0.132515,577394,Decline,-0.079962
11,-4.5,-0.204459,-0.126717,907969,Decline,-0.077742
11,-4,-0.198603,-0.124849,1475521,Decline,-0.073754
11,-3.5,-0.230578,-0.159382,2153053,Decline,-0.071196
11,-3,-0.140072,-0.073860,3372160,Decline,-0.066213
11,-2.5,-0.203726,-0.144862,5869871,Decline,-0.058864
11,-2,-0.280532,-0.220692,6122212,Decline,-0.059840
11,-1.5,-0.024655,0.030306,16168833,Decline,-0.054961
11,-1,-0.282456,-0.236150,20398479,Decline,-0.046305
11,-0.5,-0.431845,-0.381208,20374364,Decline,-0.050637
11,0,-0.153919,-0.097054,46443193,Decline,-0.056865
11,0.5,-0.451923,-0.404877,32032242,Decline,-0.047046
11,1,-0.472736,-0.432034,50733351,Decline,-0.040702
11,1.5,-0.435157,-0.392535,35854466,Decline,-0.042622
11,2,-0.442475,-0.400907,43876702,Decline,-0.041567
11,2.5,-0.409257,-0.365317,30739911,Decline,-0.043940
11,3,-0.390094,-0.346572,33307450,Decline,-0.043523
11,3.5,-0.388472,-0.341810,30346673,Decline,-0.046662
11,4,-0.386273,-0.340826,30548288,Decline,-0.045447
11,4.5,-0.387706,-0.339135,26344191,Decline,-0.048572
11,5,-0.386144,-0.340294,24792466,Decline,-0.045850
11,5.5,-0.394166,-0.349558,30578568,Decline,-0.044607
11,6,-0.400339,-0.355878,29351424,Decline,-0.044461
11,6.5,-0.399471,-0.355465,27502653,Decline,-0.044006
11,7,-0.393824,-0.348931,26200971,Decline,-0.044893
11,7.5,-0.398644,-0.355479,27066824,Decline,-0.043166
11,8,-0.393001,-0.348948,25454537,Decline,-0.044052
11,8.5,-0.396938,-0.353638,23850725,Decline,-0.043299
11,9,-0.396711,-0.354000,26408464,Decline,-0.042711
11,9.5,-0.394740,-0.352178,24482097,Decline,-0.042562
11,10,-0.398311,-0.353382,24025548,Decline,-0.044929
11,10.5,-0.397401,-0.353110,23281101,Decline,-0.044292
11,11,-0.392689,-0.350010,22466902,Decline,-0.042679
11,11.5,-0.390467,-0.347496,22236597,Decline,-0.042971
11,12,-0.396975,-0.354146,23163943,Decline,-0.042829
11,12.5,-0.398990,-0.357317,21241574,Decline,-0.041673
11,13,-0.392276,-0.347059,21380254,Decline,-0.045217
11,13.5,-0.395535,-0.354811,20779048,Decline,-0.040725
11,14,-0.395226,-0.352499,20822992,Decline,-0.042727
11,14.5,-0.392812,-0.348837,19061036,Decline,-0.043975
11,15,-0.396533,-0.355229,19825816,Decline,-0.041304
11,15.5,-0.394955,-0.354046,19828330,Decline,-0.040909
11,16,-0.394267,-0.351293,18045765,Decline,-0.042974
11,16.5,-0.395750,-0.354109,19407539,Decline,-0.041642
11,17,-0.393893,-0.352293,16944386,Decline,-0.041600
11,17.5,-0.392719,-0.348564,18123561,Decline,-0.044155
11,18,-0.395853,-0.355161,19302688,Decline,-0.040692
11,18.5,-0.394718,-0.354014,16809578,Decline,-0.040704
11,19,-0.394177,-0.352547,17439777,Decline,-0.041630
11,19.5,-0.394296,-0.352561,16833863,Decline,-0.041735
11,20,-0.394095,-0.352378,16541629,Decline,-0.041718
11,20.5,-0.395952,-0.355060,15385998,Decline,-0.040892
11,21,-0.393575,-0.353054,17174810,Decline,-0.040521
11,21.5,-0.393036,-0.350827,16040379,Decline,-0.042208
11,22,-0.395044,-0.355040,14334001,Decline,-0.040004
11,22.5,-0.393702,-0.352502,15205478,Decline,-0.041200
11,23,-0.392464,-0.350431,15576434,Decline,-0.042033
11,23.5,-0.394327,-0.353208,14840250,Decline,-0.041118
11,24,-0.394595,-0.355045,14289511,Decline,-0.039549
11,24.5,-0.392595,-0.350960,14327246,Decline,-0.041635
11,25,-0.392815,-0.352616,15617242,Decline,-0.040199
11,25.5,-0.395917,-0.357888,13726227,Decline,-0.038029
11,26,-0.391447,-0.347388,11596623,Decline,-0.044058
11,26.5,-0.395073,-0.356015,13122335,Decline,-0.039058
11,27,-0.393893,-0.355155,14726583,Decline,-0.038739
11,27.5,-0.391938,-0.351010,13291917,Decline,-0.040928
11,28,-0.393934,-0.355028,12364509,Decline,-0.038906
11,28.5,-0.393930,-0.353445,12582881,Decline,-0.040485
11,29,-0.393431,-0.354797,12950540,Decline,-0.038634
11,29.5,-0.392788,-0.350576,12783770,Decline,-0.042212
11,30,-0.393931,-0.354105,10887382,Decline,-0.039827
11,30.5,-0.393310,-0.355000,12496839,Decline,-0.038310
11,31,-0.391790,-0.351230,12837027,Decline,-0.040560
11,31.5,-0.393293,-0.355719,10674943,Decline,-0.037574
11,32,-0.392330,-0.350731,11458057,Decline,-0.041599
11,32.5,-0.393729,-0.356305,11598967,Decline,-0.037424
