UserValue,DealerValue,TrueCount,Hit EV,Hit Variance,Stand EV,Stand Variance,Double EV,Double Variance,Split EV,Split Variance,Surrender EV,Surrender Variance,Insurance Accept EV,Insurance Accept Variance,Insurance Decline EV,Insurance Decline Variance,Hands Played
20,5,-10.5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-0.500000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
20,5,-7.5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
20,5,-7,0.000000,0.000000,0.500000,0.250000,0.000000,0.000000,-0.500000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2
20,5,-6.5,0.000000,0.000000,0.769231,0.331361,0.000000,0.000000,0.230769,0.869822,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13
20,5,-6,0.000000,0.000000,0.566667,0.512222,0.000000,0.000000,0.316667,0.849722,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30
20,5,-5.5,0.000000,0.000000,0.637500,0.456094,0.000000,0.000000,0.056250,0.915586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,80
20,5,-5,0.000000,0.000000,0.661458,0.411431,0.000000,0.000000,0.143229,0.919590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,192
20,5,-4.5,0.000000,0.000000,0.733668,0.351178,0.000000,0.000000,0.183417,0.911082,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,398
20,5,-4,0.000000,0.000000,0.663498,0.443801,0.000000,0.000000,0.153992,0.900241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1052
20,5,-3.5,0.000000,0.000000,0.642496,0.482646,0.000000,0.000000,0.178752,0.901437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2372
20,5,-3,0.000000,0.000000,0.657477,0.446787,0.000000,0.000000,0.188166,0.895023,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3845
20,5,-2.5,0.000000,0.000000,0.662962,0.447304,0.000000,0.000000,0.205375,0.887510,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8818
20,5,-2,0.000000,0.000000,0.661383,0.445620,0.000000,0.000000,0.200551,0.889155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16340
20,5,-1.5,0.000000,0.000000,0.658515,0.450713,0.000000,0.000000,0.201293,0.886908,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27152
20,5,-1,0.000000,0.000000,0.671473,0.438105,0.000000,0.000000,0.244897,0.868565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,252929
20,5,-0.5,0.000000,0.000000,0.665278,0.442235,0.000000,0.000000,0.215183,0.882965,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76565
20,5,0,0.000000,0.000000,0.663980,0.445668,0.000000,0.000000,0.216169,0.882881,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,112169
20,5,0.5,0.000000,0.000000,0.667091,0.441579,0.000000,0.000000,0.218608,0.880423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,149386
