TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar,HandsPlayedPct
-21.0,1,2.0,0.0,0.0,0.0,0.0
-20.0,2,2.0,-2.0,-1.0,0.0,0.0
-19.5,4,4.0,-1.0,-0.25,0.414578,0.0
-19.0,4,4.0,-4.0,-1.0,0.0,0.0
-18.5,30,38.0,-4.0,-0.105263,0.147882,2e-06
-18.0,43,53.0,-11.0,-0.207547,0.131693,2e-06
-17.5,137,169.0,-11.0,-0.065089,0.073498,8e-06
-17.0,206,251.0,-32.5,-0.129482,0.060624,1.1e-05
-16.5,410,478.0,-82.5,-0.172594,0.043433,2.3e-05
-16.0,705,837.0,-96.5,-0.115293,0.033349,3.9e-05
-15.5,1562,1847.0,-131.5,-0.071197,0.022532,8.7e-05
-15.0,2413,2811.0,-263.5,-0.093739,0.018159,0.000134
-14.5,3718,4364.0,-290.0,-0.066453,0.014627,0.000207
-14.0,7163,8360.0,-649.0,-0.077632,0.010622,0.000398
-13.5,14725,17183.0,-1567.5,-0.091224,0.007404,0.000818
-13.0,19939,23194.0,-2034.5,-0.087717,0.006351,0.001108
-12.5,37381,43549.0,-3493.0,-0.080209,0.004639,0.002077
-12.0,61127,70923.0,-5204.5,-0.073382,0.003641,0.003396
-11.5,90377,104832.0,-7342.5,-0.070041,0.003,0.005021
-11.0,160622,185496.0,-12284.5,-0.066225,0.002256,0.008924
-10.5,252241,291118.0,-18810.5,-0.064615,0.001803,0.014014
-10.0,370371,426020.0,-25759.0,-0.060464,0.00149,0.020578
-9.5,534791,613967.0,-35432.0,-0.05771,0.001242,0.029713
-9.0,857927,983566.0,-51985.5,-0.052854,0.000982,0.047666
-8.5,1261619,1443059.0,-73500.5,-0.050934,0.000811,0.070095
-8.0,1847109,2107783.0,-99226.5,-0.047076,0.000671,0.102625
-7.5,2736076,3116988.0,-132587.5,-0.042537,0.000553,0.152015
-7.0,3617823,4112548.0,-168076.0,-0.040869,0.000481,0.201005
-6.5,5253886,5958193.0,-222646.0,-0.037368,0.0004,0.291904
-6.0,7661490,8673105.0,-303692.0,-0.035015,0.000332,0.425669
-5.5,10608413,11978851.0,-386665.0,-0.032279,0.000282,0.589399
-5.0,14324326,16144275.0,-478568.0,-0.029643,0.000243,0.795854
-4.5,19192265,21589722.0,-562913.0,-0.026073,0.000211,1.066314
-4.0,25895754,29071420.0,-681930.5,-0.023457,0.000182,1.438758
-3.5,36392819,40773561.0,-861679.5,-0.021133,0.000153,2.02197
-3.0,48262033,53963497.0,-1000635.5,-0.018543,0.000133,2.681419
-2.5,63120303,70428124.0,-1142821.5,-0.016227,0.000117,3.506938
-2.0,83826681,93355620.0,-1269407.0,-0.013598,0.000102,4.657376
-1.5,109215836,121395601.0,-1403241.5,-0.011559,8.9e-05,6.067987
-1.0,158800616,176205763.0,-1562595.5,-0.008868,7.4e-05,8.822898
-0.5,218959781,242701072.0,-1593362.0,-0.006565,6.3e-05,12.165316
0.0,216868068,240302619.0,-1100473.0,-0.00458,6.3e-05,12.049102
0.5,206444975,228332433.0,-554979.0,-0.002431,6.5e-05,11.469999
1.0,145788525,160903973.0,55250.0,0.000343,7.8e-05,8.099951
1.5,101557555,111864871.0,306641.0,0.002741,9.3e-05,5.642496
2.0,78100705,85835526.0,422095.5,0.004917,0.000106,4.339243
2.5,59648420,65400839.0,481258.5,0.007359,0.000122,3.314042
3.0,46883246,50878631.5,487988.0,0.009591,0.00014,2.604814
3.5,36081869,38623705.0,460932.5,0.011934,0.000161,2.004694
4.0,25924497,27507069.0,387743.5,0.014096,0.000192,1.440355
4.5,19325853,20415667.0,336125.0,0.016464,0.000223,1.073737
5.0,14425965,15197743.0,297774.0,0.019593,0.000259,0.801501
5.5,10680603,11224879.0,244135.5,0.021749,0.000301,0.59341
6.0,7694529,8068094.0,198234.5,0.02457,0.000356,0.427505
6.5,5248063,5489880.5,151316.0,0.027563,0.000431,0.29158
7.0,3610002,3767744.0,110169.0,0.02924,0.000521,0.20057
7.5,2730587,2843603.5,89649.0,0.031527,0.0006,0.15171
8.0,1835415,1906392.5,65255.5,0.03423,0.000734,0.101975
8.5,1250745,1296614.0,45910.5,0.035408,0.00089,0.069491
9.0,849151,878012.5,33585.0,0.038251,0.001083,0.047178
9.5,526765,543724.0,22453.0,0.041295,0.001377,0.029267
10.0,362604,373447.0,14700.5,0.039364,0.001663,0.020146
10.5,248233,255513.0,11757.0,0.046013,0.002012,0.013792
11.0,156355,160284.0,7979.0,0.04978,0.002543,0.008687
11.5,87123,89117.5,4231.0,0.047477,0.003415,0.004841
12.0,60138,61525.0,3305.5,0.053726,0.00411,0.003341
12.5,36659,37407.0,2083.0,0.055685,0.005284,0.002037
13.0,19358,19745.0,931.0,0.047151,0.007254,0.001076
13.5,14412,14643.5,1018.0,0.069519,0.008457,0.000801
14.0,6908,7009.0,513.0,0.073192,0.012242,0.000384
14.5,3671,3699.0,254.0,0.068667,0.016834,0.000204
15.0,2503,2521.0,217.0,0.086077,0.020383,0.000139
15.5,1445,1451.0,87.5,0.060303,0.02682,8e-05
16.0,710,695.5,33.0,0.047448,0.039065,3.9e-05
16.5,412,412.0,31.0,0.075243,0.050676,2.3e-05
17.0,168,170.0,29.5,0.173529,0.075533,9e-06
17.5,130,131.0,-13.5,-0.103053,0.088812,7e-06
18.0,52,48.5,-7.5,-0.154639,0.149524,3e-06
18.5,20,20.0,-2.0,-0.1,0.237434,1e-06
19.0,5,5.0,-3.0,-0.6,0.357771,0.0
19.5,3,2.5,-1.0,-0.4,0.758947,0.0
20.0,1,1.0,1.0,1.0,0.0,0.0
20.5,1,1.0,-1.0,-1.0,0.0,0.0
