TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar,HandsPlayedPct
-16.0,3,3.0,1.0,0.333333,0.272166,0.0
-15.5,7,7.0,3.5,0.5,0.364216,1e-06
-15.0,16,19.0,3.0,0.157895,0.23553,2e-06
-14.5,27,32.0,-4.0,-0.125,0.173993,3e-06
-14.0,81,97.0,11.5,0.118557,0.096096,9e-06
-13.5,168,198.0,2.0,0.010101,0.070794,1.9e-05
-13.0,424,488.0,15.0,0.030738,0.045084,4.7e-05
-12.5,824,942.0,-15.0,-0.015924,0.032107,9.1e-05
-12.0,1924,2192.0,-38.5,-0.017564,0.021124,0.000213
-11.5,3758,4262.0,-114.5,-0.026865,0.015076,0.000417
-11.0,7987,9098.0,-375.5,-0.041273,0.010247,0.000886
-10.5,15692,17792.0,-680.0,-0.038219,0.007354,0.00174
-10.0,28589,32436.0,-1321.0,-0.040726,0.005439,0.00317
-9.5,57113,64678.0,-1955.5,-0.030234,0.003854,0.006333
-9.0,98459,111419.0,-3717.0,-0.033361,0.002935,0.010917
-8.5,182478,206120.0,-5996.5,-0.029092,0.002159,0.020234
-8.0,318272,358895.0,-8643.0,-0.024082,0.001637,0.035291
-7.5,530968,597629.0,-15786.0,-0.026414,0.001268,0.058875
-7.0,880516,989324.0,-22807.0,-0.023053,0.000987,0.097634
-6.5,1397191,1568027.0,-33859.5,-0.021594,0.000783,0.154924
-6.0,2287814,2565172.0,-54980.5,-0.021433,0.000613,0.253679
-5.5,3379895,3784547.0,-75663.0,-0.019993,0.000505,0.374772
-5.0,5184338,5797262.0,-106934.0,-0.018446,0.000408,0.574854
-4.5,8020202,8959636.0,-155152.0,-0.017317,0.000328,0.889302
-4.0,11482272,12811894.0,-208924.0,-0.016307,0.000274,1.273186
-3.5,16653716,18558043.0,-266702.5,-0.014371,0.000228,1.846609
-3.0,23203372,25827379.0,-332733.5,-0.012883,0.000193,2.572853
-2.5,32805525,36469377.0,-419211.0,-0.011495,0.000163,3.637566
-2.0,44041250,48903772.0,-512141.0,-0.010472,0.00014,4.883414
-1.5,58943760,65373342.0,-595308.0,-0.009106,0.000122,6.535845
-1.0,77912329,86318424.0,-674848.0,-0.007818,0.000106,8.639132
-0.5,93543395,103531039.0,-676790.5,-0.006537,9.7e-05,10.372347
0.0,170686288,188759329.0,-990698.0,-0.005248,7.2e-05,18.926161
0.5,86985016,96268498.0,-390006.5,-0.004051,0.0001,9.645136
1.0,71500114,79063093.0,-213866.5,-0.002705,0.000111,7.928128
1.5,54858027,60591176.0,-64406.5,-0.001063,0.000126,6.082808
2.0,40500270,44679162.0,5448.5,0.000122,0.000147,4.49078
2.5,29991853,33050608.0,34082.0,0.001031,0.000171,3.325578
3.0,21059306,23179255.0,56514.5,0.002438,0.000205,2.335113
3.5,15010421,16505765.0,63410.0,0.003842,0.000242,1.664396
4.0,10237890,11243136.0,54957.0,0.004888,0.000294,1.135205
4.5,7131150,7824599.5,46840.0,0.005986,0.000352,0.790721
5.0,4609152,5033933.5,36863.0,0.007323,0.000441,0.511075
5.5,3045078,3299057.0,27376.0,0.008298,0.000547,0.337647
6.0,2091544,2244485.5,25095.0,0.011181,0.000667,0.231916
6.5,1275225,1359529.5,16245.5,0.011949,0.00086,0.1414
7.0,798042,848392.5,12744.5,0.015022,0.001089,0.088489
7.5,472951,501924.0,7718.5,0.015378,0.001416,0.052442
8.0,281218,298355.5,4574.0,0.015331,0.001835,0.031182
8.5,158837,168520.5,2957.5,0.01755,0.002444,0.017612
9.0,84168,89170.5,2016.0,0.022608,0.003366,0.009333
9.5,47320,50128.5,678.5,0.013535,0.004482,0.005247
10.0,23281,24599.5,577.0,0.023456,0.0064,0.002581
10.5,12375,13055.5,244.5,0.018728,0.008794,0.001372
11.0,6239,6559.5,195.5,0.029804,0.012402,0.000692
11.5,2959,3118.5,94.5,0.030303,0.017971,0.000328
12.0,1459,1523.5,-10.5,-0.006892,0.025672,0.000162
12.5,636,664.5,10.0,0.015049,0.039094,7.1e-05
13.0,300,311.0,-16.0,-0.051447,0.056857,3.3e-05
13.5,134,148.0,0.5,0.003378,0.080586,1.5e-05
14.0,62,64.5,-2.5,-0.03876,0.125862,7e-06
14.5,29,31.5,2.0,0.063492,0.18408,3e-06
15.0,5,5.0,-2.5,-0.5,0.447214,1e-06
15.5,2,3.0,3.0,1.0,0.0,0.0
16.5,1,1.0,-1.0,-1.0,0.0,0.0
17.0,1,1.0,0.0,0.0,0.0,0.0
17.5,1,1.0,-1.0,-1.0,0.0,0.0
