TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar,HandsPlayedPct
-20.0,2,2.000000,-2.000000,-1.000000,0.000000,0.000001
-19.0,3,4.000000,-4.000000,-1.000000,0.000000,0.000001
-18.5,9,12.000000,7.000000,0.583333,0.219163,0.000003
-18.0,18,21.000000,-7.000000,-0.333333,0.205738,0.000006
-17.5,38,39.000000,6.500000,0.166667,0.149878,0.000012
-17.0,77,86.000000,-15.500000,-0.180233,0.106544,0.000025
-16.5,148,168.000000,6.000000,0.035714,0.075477,0.000048
-16.0,207,241.000000,-0.500000,-0.002075,0.063575,0.000068
-15.5,490,560.000000,-14.000000,-0.025000,0.040373,0.000160
-15.0,803,931.000000,-61.000000,-0.065521,0.031936,0.000262
-14.5,1189,1370.000000,-12.000000,-0.008759,0.026383,0.000388
-14.0,2723,3131.000000,-289.500000,-0.092462,0.017288,0.000889
-13.5,4046,4642.000000,-176.000000,-0.037915,0.014423,0.001320
-13.0,6533,7449.000000,-310.000000,-0.041616,0.011276,0.002132
-12.5,11297,12849.000000,-599.500000,-0.046657,0.008614,0.003687
-12.0,18767,21295.000000,-1100.000000,-0.051655,0.006686,0.006125
-11.5,28379,32239.000000,-941.500000,-0.029204,0.005446,0.009262
-11.0,41947,47527.000000,-1826.500000,-0.038431,0.004480,0.013690
-10.5,77951,88156.000000,-3599.000000,-0.040825,0.003294,0.025441
-10.0,102145,115306.000000,-4582.000000,-0.039738,0.002880,0.033337
-9.5,159225,179746.000000,-5586.500000,-0.031080,0.002307,0.051966
-9.0,237155,267375.000000,-8104.500000,-0.030311,0.001892,0.077400
-8.5,335442,377911.000000,-10752.000000,-0.028451,0.001592,0.109477
-8.0,504820,567828.000000,-15411.000000,-0.027140,0.001299,0.164757
-7.5,678541,762232.000000,-19464.000000,-0.025536,0.001121,0.221454
-7.0,991066,1112389.000000,-27780.500000,-0.024974,0.000929,0.323452
-6.5,1353395,1516714.000000,-33692.000000,-0.022214,0.000796,0.441704
-6.0,1766597,1978382.000000,-36407.000000,-0.018402,0.000697,0.576560
-5.5,2573626,2878089.000000,-55874.000000,-0.019414,0.000578,0.839948
-5.0,3363926,3758168.000000,-67032.000000,-0.017836,0.000506,1.097877
-4.5,4317299,4816899.000000,-79257.000000,-0.016454,0.000447,1.409027
-4.0,5862662,6534206.000000,-98441.500000,-0.015066,0.000384,1.913383
-3.5,7256181,8079558.000000,-109071.500000,-0.013500,0.000345,2.368183
-3.0,9556980,10631349.000000,-129992.500000,-0.012227,0.000301,3.119089
-2.5,11629750,12922655.000000,-145145.500000,-0.011232,0.000273,3.795574
-2.0,15599679,17314204.000000,-155456.000000,-0.008979,0.000236,5.091230
-1.5,20763726,23025355.000000,-188782.000000,-0.008199,0.000205,6.776608
-1.0,23551763,26093606.000000,-181255.500000,-0.006946,0.000192,7.686533
-0.5,29434670,32592237.500000,-194993.000000,-0.005983,0.000172,9.606524
0.0,40339828,44661098.500000,-229029.000000,-0.005128,0.000147,13.165614
0.5,27496166,30423057.000000,-102852.000000,-0.003381,0.000178,8.973859
1.0,20397520,22549526.500000,-50043.500000,-0.002219,0.000207,6.657090
1.5,17611000,19450115.500000,-15427.500000,-0.000793,0.000223,5.747660
2.0,13619210,15023098.500000,2289.500000,0.000152,0.000254,4.444869
2.5,10672902,11757235.000000,17967.500000,0.001528,0.000287,3.483290
3.0,8650018,9514319.500000,24455.500000,0.002570,0.000320,2.823086
3.5,6695179,7348033.000000,27454.000000,0.003736,0.000364,2.185090
4.0,5295747,5792468.000000,30288.000000,0.005229,0.000411,1.728360
4.5,3854330,4196942.000000,26948.500000,0.006421,0.000484,1.257929
5.0,3125179,3388033.500000,22578.000000,0.006664,0.000540,1.019957
5.5,2408079,2595441.000000,21433.500000,0.008258,0.000620,0.785919
6.0,1645453,1764512.500000,17722.000000,0.010044,0.000754,0.537023
6.5,1309281,1398183.000000,15465.500000,0.011061,0.000848,0.427307
7.0,937600,996806.500000,10567.000000,0.010601,0.001007,0.306002
7.5,648237,688064.500000,10514.500000,0.015281,0.001212,0.211564
8.0,483783,512225.500000,8888.500000,0.017353,0.001407,0.157891
8.5,316878,334963.500000,5522.000000,0.016485,0.001739,0.103419
9.0,225727,238469.000000,4440.500000,0.018621,0.002063,0.073670
9.5,149983,158201.000000,3132.000000,0.019798,0.002535,0.048950
10.0,99909,105111.500000,2668.500000,0.025387,0.003110,0.032607
10.5,73637,77315.500000,2028.500000,0.026237,0.003634,0.024033
11.0,41693,43639.500000,903.500000,0.020704,0.004833,0.013607
11.5,26800,28146.000000,834.500000,0.029649,0.006011,0.008747
12.0,18107,18946.500000,292.500000,0.015438,0.007378,0.005910
12.5,11407,11927.500000,267.000000,0.022385,0.009208,0.003723
13.0,6263,6560.500000,162.000000,0.024693,0.012455,0.002044
13.5,4049,4243.500000,68.500000,0.016142,0.015449,0.001321
14.0,2576,2667.000000,148.000000,0.055493,0.019680,0.000841
14.5,1224,1291.500000,12.000000,0.009292,0.027838,0.000399
15.0,790,818.500000,16.000000,0.019548,0.035287,0.000258
15.5,518,540.000000,0.000000,-0.000000,0.043578,0.000169
16.0,239,249.000000,-2.500000,-0.010040,0.063433,0.000078
16.5,157,164.000000,15.500000,0.094512,0.080786,0.000051
17.0,90,95.500000,-3.500000,-0.036649,0.099818,0.000029
17.5,44,44.500000,4.000000,0.089888,0.150563,0.000014
18.0,24,25.000000,5.000000,0.200000,0.185472,0.000008
18.5,13,12.500000,-2.000000,-0.160000,0.261442,0.000004
19.0,5,5.000000,-1.000000,-0.200000,0.438178,0.000002
