TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-26.0,2,3.000000,-1.000000,-0.333333,0.544331
-25.5,3,4.000000,-2.000000,-0.500000,0.433013
-25.0,2,2.000000,0.000000,0.000000,0.707107
-24.5,3,3.000000,3.500000,1.166667,0.136083
-24.0,10,12.000000,3.000000,0.250000,0.266797
-23.5,19,23.000000,1.000000,0.043478,0.208317
-23.0,26,30.000000,-1.000000,-0.033333,0.173098
-22.5,41,47.000000,-8.500000,-0.180851,0.139053
-22.0,102,119.000000,-22.000000,-0.184874,0.087908
-21.5,158,190.000000,-35.000000,-0.184211,0.068533
-21.0,220,266.000000,-45.000000,-0.169173,0.057494
-20.5,412,479.000000,-31.500000,-0.065762,0.044123
-20.0,599,706.000000,-63.000000,-0.089235,0.036701
-19.5,899,1065.000000,-45.000000,-0.042254,0.029835
-19.0,1318,1531.000000,-177.000000,-0.115611,0.024683
-18.5,2096,2419.000000,-150.500000,-0.062216,0.019946
-18.0,2897,3357.000000,-171.000000,-0.050938,0.016832
-17.5,4333,5015.000000,-264.500000,-0.052742,0.013830
-17.0,7064,8151.000000,-383.000000,-0.046988,0.010808
-16.5,10060,11600.000000,-826.500000,-0.071250,0.009049
-16.0,13852,15972.000000,-836.000000,-0.052342,0.007745
-15.5,21143,24360.000000,-1329.000000,-0.054557,0.006247
-15.0,29929,34339.000000,-2021.500000,-0.058869,0.005264
-14.5,40080,45982.000000,-2027.500000,-0.044093,0.004563
-14.0,58292,66848.000000,-3370.000000,-0.050413,0.003783
-13.5,82651,94478.000000,-4260.000000,-0.045090,0.003184
-13.0,108866,124147.000000,-5637.000000,-0.045406,0.002778
-12.5,156012,177699.000000,-7725.500000,-0.043475,0.002322
-12.0,209678,238386.000000,-10526.000000,-0.044155,0.002006
-11.5,281182,319658.000000,-12316.000000,-0.038529,0.001730
-11.0,368660,418416.000000,-15263.500000,-0.036479,0.001514
-10.5,521879,591871.000000,-20976.000000,-0.035440,0.001272
-10.0,662439,750338.000000,-25529.500000,-0.034024,0.001131
-9.5,843371,953591.000000,-27967.000000,-0.029328,0.001004
-9.0,1140070,1287310.000000,-40202.500000,-0.031230,0.000864
-8.5,1440912,1625535.000000,-46931.500000,-0.028871,0.000769
-8.0,1871167,2108145.000000,-55318.500000,-0.026240,0.000676
-7.5,2416100,2718193.000000,-66629.500000,-0.024512,0.000595
-7.0,3075492,3456318.000000,-80872.500000,-0.023398,0.000528
-6.5,3857076,4329025.000000,-96267.000000,-0.022238,0.000472
-6.0,4831402,5416536.000000,-109293.500000,-0.020178,0.000422
-5.5,6158512,6895547.000000,-133069.500000,-0.019298,0.000374
-5.0,7654623,8559312.000000,-158223.000000,-0.018485,0.000336
-4.5,9459963,10564643.000000,-180701.000000,-0.017104,0.000302
-4.0,11677363,13027605.000000,-199903.500000,-0.015345,0.000272
-3.5,14640531,16312736.000000,-227283.000000,-0.013933,0.000243
-3.0,17758666,19764346.000000,-254912.000000,-0.012898,0.000221
-2.5,21779934,24211398.000000,-274931.500000,-0.011355,0.000200
-2.0,27034894,30012735.000000,-316757.000000,-0.010554,0.000179
