TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar,HandsPlayedPct
-85.5,1,1.0,-1.0,-1.0,0.0,0.0
-84.0,1,2.0,-2.0,-1.0,0.0,0.0
-83.5,1,1.0,1.0,1.0,0.0,0.0
-83.0,1,1.0,1.0,1.0,0.0,0.0
-82.0,2,3.0,-3.0,-1.0,0.0,0.0
-81.5,2,3.0,-3.0,-1.0,0.0,0.0
-81.0,3,4.0,-4.0,-1.0,0.0,0.0
-79.5,1,1.0,-1.0,-1.0,0.0,0.0
-79.0,4,7.0,-4.0,-0.571429,0.187044,0.0
-78.5,5,6.0,-2.0,-0.333333,0.3849,0.0
-78.0,3,3.0,-2.0,-0.666667,0.272166,0.0
-77.5,2,2.0,-2.0,-1.0,0.0,0.0
-77.0,6,9.0,-7.0,-0.777778,0.209513,0.0
-76.5,14,20.0,7.0,0.35,0.203408,1e-06
-76.0,4,4.0,0.0,0.0,0.5,0.0
-75.5,3,3.0,1.0,0.333333,0.544331,0.0
-75.0,19,24.0,-4.0,-0.166667,0.19245,1e-06
-74.5,10,12.0,-2.0,-0.166667,0.284638,1e-06
-74.0,17,20.0,-7.0,-0.35,0.203408,1e-06
-73.5,20,25.0,-5.0,-0.2,0.195959,1e-06
-73.0,31,35.0,-6.5,-0.185714,0.164237,2e-06
-72.5,21,30.0,0.0,0.0,0.182574,1e-06
-72.0,45,53.0,-0.5,-0.009434,0.136379,3e-06
-71.5,18,22.0,8.0,0.363636,0.198605,1e-06
-71.0,51,64.0,3.5,0.054688,0.12109,3e-06
-70.5,42,52.0,-9.0,-0.173077,0.129636,2e-06
-70.0,27,34.0,-3.0,-0.088235,0.168279,2e-06
-69.5,100,116.0,-6.0,-0.051724,0.087783,6e-06
-69.0,33,42.0,-13.0,-0.309524,0.140811,2e-06
-68.5,175,219.0,-23.0,-0.105023,0.064992,1e-05
-68.0,45,54.0,-22.0,-0.407407,0.121486,3e-06
-67.5,150,180.0,-41.0,-0.227778,0.068755,9e-06
-67.0,136,172.0,-27.0,-0.156977,0.071741,8e-06
-66.5,237,294.0,-49.0,-0.166667,0.055613,1.4e-05
-66.0,197,244.0,-22.5,-0.092213,0.061088,1.2e-05
-65.5,291,364.0,-71.0,-0.195055,0.048732,1.7e-05
-65.0,190,229.0,-29.5,-0.128821,0.064836,1.1e-05
-64.5,189,230.0,-46.5,-0.202174,0.061924,1.1e-05
-64.0,506,611.0,-71.5,-0.117021,0.038933,3e-05
-63.5,266,319.0,-44.5,-0.139498,0.053709,1.6e-05
-63.0,665,815.0,-111.0,-0.136196,0.033228,3.9e-05
-62.5,332,393.0,-20.0,-0.050891,0.048545,1.9e-05
-62.0,926,1101.0,-166.5,-0.151226,0.028644,5.4e-05
-61.5,485,590.0,-50.0,-0.084746,0.039614,2.8e-05
-61.0,807,982.0,-119.0,-0.121181,0.031006,4.7e-05
-60.5,1127,1336.0,-242.5,-0.181512,0.026114,6.6e-05
-60.0,447,535.0,-111.0,-0.207477,0.041056,2.6e-05
-59.5,2123,2522.0,-408.0,-0.161776,0.019041,0.000124
-59.0,614,751.0,-73.5,-0.09787,0.034915,3.6e-05
-58.5,2358,2827.0,-310.0,-0.109657,0.01804,0.000138
-58.0,1317,1580.0,-198.5,-0.125633,0.024066,7.7e-05
-57.5,2961,3497.0,-470.5,-0.134544,0.016209,0.000173
-57.0,1768,2120.0,-294.0,-0.138679,0.02082,0.000104
-56.5,3123,3730.0,-390.5,-0.104692,0.015729,0.000183
-56.0,3457,4119.0,-450.5,-0.109371,0.015004,0.000202
-55.5,3647,4354.0,-500.0,-0.114837,0.014605,0.000214
-55.0,4514,5364.0,-534.0,-0.099553,0.013096,0.000264
-54.5,407,484.0,-63.0,-0.130165,0.043648,2.4e-05
-54.0,10766,12822.0,-1465.0,-0.114257,0.008499,0.00063
-53.5,172,205.0,-6.0,-0.029268,0.067473,1e-05
-53.0,14045,16578.0,-1758.0,-0.106044,0.007477,0.000822
-52.5,1,1.0,1.0,1.0,0.0,0.0
-52.0,17838,21120.0,-1925.0,-0.091146,0.006636,0.001045
-51.5,2,3.0,-2.0,-0.666667,0.272166,0.0
-51.0,23373,27587.0,-2615.5,-0.094809,0.005816,0.001369
-50.5,579,660.0,-54.0,-0.081818,0.037224,3.4e-05
-50.0,28919,34204.0,-3839.0,-0.112238,0.005209,0.001694
-49.5,2310,2741.0,-272.5,-0.099416,0.018393,0.000135
-49.0,27305,32138.0,-3032.5,-0.094359,0.005389,0.001599
