TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar,HandsPlayedPct
-36.5,1,1.0,1.0,1.0,0.0,0.0
-35.0,2,3.0,1.0,0.333333,0.544331,0.0
-34.5,1,1.0,-1.0,-1.0,0.0,0.0
-34.0,5,6.0,0.0,0.0,0.408248,0.0
-33.5,7,9.0,-1.0,-0.111111,0.331269,0.0
-33.0,13,16.0,0.0,-0.0,0.25,1e-06
-32.5,22,26.0,0.0,0.0,0.188422,1e-06
-32.0,27,32.0,-3.0,-0.09375,0.161532,1e-06
-31.5,35,43.0,-0.5,-0.011628,0.147531,2e-06
-31.0,60,78.0,-1.0,-0.012821,0.109529,3e-06
-30.5,80,94.0,-15.0,-0.159574,0.097853,4e-06
-30.0,103,123.0,-6.0,-0.04878,0.087264,5e-06
-29.5,147,175.0,-17.5,-0.1,0.073845,8e-06
-29.0,245,291.0,-20.5,-0.070447,0.056498,1.3e-05
-28.5,378,439.0,-72.5,-0.165148,0.046643,2e-05
-28.0,531,614.0,-98.0,-0.159609,0.038017,2.8e-05
-27.5,674,799.0,-62.5,-0.078223,0.034135,3.5e-05
-27.0,897,1059.0,-143.5,-0.135505,0.029498,4.6e-05
-26.5,1218,1444.0,-223.5,-0.154778,0.025324,6.3e-05
-26.0,2472,2886.0,-161.0,-0.055787,0.018078,0.000128
-25.5,2462,2888.0,-184.5,-0.063885,0.018085,0.000128
-25.0,3407,3948.0,-384.0,-0.097264,0.015308,0.000177
-24.5,4726,5518.0,-471.0,-0.085357,0.013064,0.000245
-24.0,6682,7821.0,-622.5,-0.079593,0.010935,0.000346
-23.5,9062,10580.0,-1104.0,-0.104348,0.009397,0.00047
-23.0,11491,13394.0,-926.5,-0.069173,0.008373,0.000595
-22.5,16124,18652.0,-1461.5,-0.078356,0.007113,0.000836
-22.0,20654,24079.0,-1573.0,-0.065327,0.006255,0.00107
-21.5,30012,34805.0,-2272.0,-0.065278,0.005198,0.001555
-21.0,35212,40757.0,-2787.5,-0.068393,0.004806,0.001825
-20.5,47267,54561.0,-3753.0,-0.068785,0.004156,0.002449
-20.0,63679,73526.0,-4674.5,-0.063576,0.003587,0.0033
-19.5,79038,91217.0,-5922.0,-0.064922,0.003216,0.004096
-19.0,103417,119274.0,-6861.0,-0.057523,0.002816,0.005359
-18.5,134250,154467.0,-9794.5,-0.063408,0.002474,0.006957
-18.0,178017,204488.0,-11906.5,-0.058226,0.002153,0.009225
-17.5,206400,236946.0,-12873.5,-0.054331,0.002001,0.010696
-17.0,279885,320997.0,-16737.0,-0.052141,0.001719,0.014504
-16.5,372511,426773.0,-22698.5,-0.053186,0.00149,0.019304
-16.0,427754,489025.0,-24686.0,-0.05048,0.001393,0.022167
-15.5,542268,620188.0,-29817.0,-0.048077,0.001237,0.028102
-15.0,687899,785663.0,-37329.5,-0.047513,0.0011,0.035649
-14.5,882874,1006669.0,-44562.5,-0.044267,0.000972,0.045753
-14.0,1065453,1213077.0,-50827.0,-0.041899,0.000885,0.055214
-13.5,1279547,1455210.0,-59083.5,-0.040601,0.000809,0.066309
-13.0,1688906,1918441.0,-75852.5,-0.039539,0.000705,0.087523
-12.5,1975597,2242103.0,-81323.5,-0.036271,0.000652,0.10238
-12.0,2432580,2758397.0,-100715.5,-0.036512,0.000588,0.126062
-11.5,2942995,3332199.0,-119625.0,-0.0359,0.000535,0.152513
-11.0,3615001,4089832.0,-136324.0,-0.033332,0.000483,0.187338
-10.5,4301609,4861726.0,-156224.0,-0.032133,0.000443,0.222919
-10.0,5377111,6071054.0,-187969.0,-0.030962,0.000397,0.278654
-9.5,6329795,7137193.0,-213772.5,-0.029952,0.000366,0.328025
-9.0,7449934,8390783.0,-235465.5,-0.028062,0.000338,0.386073
-8.5,9232571,10386680.0,-278114.5,-0.026776,0.000304,0.478453
-8.0,10954324,12311919.0,-312650.5,-0.025394,0.000279,0.567678
-7.5,12889029,14469907.0,-345681.0,-0.02389,0.000257,0.667939
-7.0,15502148,17386517.0,-394802.5,-0.022707,0.000235,0.803357
-6.5,18453016,20671539.0,-439058.5,-0.02124,0.000215,0.956278
-6.0,21545109,24111397.0,-471729.0,-0.019565,0.0002,1.116517
-5.5,25966317,29028530.0,-552743.5,-0.019041,0.000182,1.345634
-5.0,30879439,34483476.0,-601220.5,-0.017435,0.000167,1.600244
-4.5,36257153,40450565.0,-652747.0,-0.016137,0.000154,1.878929
-4.0,42735553,47622287.0,-715630.0,-0.015027,0.000142,2.214655
-3.5,51176143,56968695.0,-770224.5,-0.01352,0.00013,2.652066
-3.0,60069325,66806249.0,-827969.5,-0.012394,0.00012,3.112931
-2.5,71183070,79082996.0,-885716.0,-0.0112,0.00011,3.688871
-2.0,84195632,93438414.0,-938434.0,-0.010043,0.000102,4.363212
-1.5,99983420,110848515.0,-973010.0,-0.008778,9.3e-05,5.181371
-1.0,117062730,129660406.0,-986927.5,-0.007612,8.6e-05,6.06646
-0.5,134908710,149293482.0,-925809.0,-0.006201,8e-05,6.99128
0.0,193325026,213741198.0,-1113430.5,-0.005209,6.7e-05,10.018548
0.5,129005254,142632213.0,-563439.0,-0.00395,8.2e-05,6.685349
1.0,111563325,123358904.0,-330848.5,-0.002682,8.9e-05,5.781468
1.5,95243728,105223412.0,-127333.5,-0.00121,9.6e-05,4.935749
2.0,80304767,88624689.0,5800.0,6.5e-05,0.000105,4.161578
2.5,67782537,74731486.0,69276.0,0.000927,0.000114,3.512647
3.0,57192184,62987928.0,159230.5,0.002528,0.000124,2.963831
3.5,48700023,53582812.0,204787.5,0.003822,0.000135,2.523747
4.0,40612957,44637799.0,203319.0,0.004555,0.000148,2.104657
4.5,34444231,37832293.0,227834.0,0.006022,0.00016,1.784979
5.0,29324454,32256401.0,232120.0,0.007196,0.000174,1.519661
5.5,24726028,27220585.5,232181.5,0.00853,0.000189,1.28136
6.0,20794774,22805304.5,222864.5,0.009772,0.000207,1.077633
6.5,18066720,19683457.0,214779.0,0.010912,0.000224,0.936259
7.0,15532979,16712713.5,200529.0,0.011999,0.000244,0.804955
7.5,13034925,13918110.0,191098.0,0.01373,0.000269,0.6755
8.0,11160025,11853290.5,179437.5,0.015138,0.000292,0.578338
8.5,9454111,10002727.0,168315.0,0.016827,0.000318,0.489934
9.0,7645570,8068008.5,135576.0,0.016804,0.000355,0.396211
9.5,6503511,6851379.0,126100.0,0.018405,0.000385,0.337027
10.0,5532409,5822388.0,116539.0,0.020016,0.000418,0.286702
10.5,4428817,4654391.0,101382.5,0.021782,0.000468,0.229511
11.0,3717701,3902938.0,86726.5,0.022221,0.000511,0.19266
11.5,3027332,3174101.0,78524.5,0.024739,0.000567,0.156883
12.0,2503744,2622760.5,68938.0,0.026285,0.000624,0.12975
12.5,2030722,2124339.5,56158.0,0.026436,0.000694,0.105237
13.0,1734574,1812128.5,50938.0,0.028109,0.000751,0.08989
13.5,1314307,1372508.5,43330.5,0.03157,0.000863,0.06811
14.0,1092752,1139117.5,36240.5,0.031815,0.000949,0.056629
14.5,908018,945161.5,30849.0,0.032639,0.001042,0.047056
15.0,706136,734532.0,24490.0,0.033341,0.001183,0.036594
15.5,558351,580157.5,19412.5,0.033461,0.00133,0.028935
16.0,439133,455647.5,15944.5,0.034993,0.001502,0.022757
16.5,382229,395852.5,13916.0,0.035155,0.001612,0.019808
17.0,287037,297212.0,11180.0,0.037616,0.00186,0.014875
17.5,212695,220074.5,8053.0,0.036592,0.002163,0.011022
18.0,182827,188635.5,7624.5,0.040419,0.00234,0.009475
18.5,138719,143219.5,6412.0,0.04477,0.002683,0.007189
19.0,106773,110048.0,4449.5,0.040432,0.003066,0.005533
19.5,81749,84099.0,3814.0,0.045351,0.003504,0.004236
20.0,65905,67825.0,3169.0,0.046723,0.003898,0.003415
20.5,48683,49927.0,2497.0,0.050013,0.004568,0.002523
21.0,35934,36921.0,2164.0,0.058612,0.005291,0.001862
21.5,30245,31017.0,1342.5,0.043283,0.005784,0.001567
22.0,21298,21757.5,1113.0,0.051155,0.006914,0.001104
22.5,16200,16626.0,760.0,0.045712,0.007882,0.00084
23.0,11737,11988.5,635.5,0.053009,0.009306,0.000608
23.5,9124,9305.5,628.0,0.067487,0.01058,0.000473
24.0,6641,6775.5,444.0,0.06553,0.012367,0.000344
24.5,4780,4827.0,222.0,0.045991,0.014768,0.000248
25.0,3494,3548.5,163.5,0.046076,0.017293,0.000181
25.5,2475,2511.5,145.5,0.057934,0.02033,0.000128
26.0,2467,2505.0,158.0,0.063074,0.020488,0.000128
26.5,1221,1253.0,147.0,0.117318,0.028949,6.3e-05
27.0,990,995.5,51.0,0.051231,0.03256,5.1e-05
27.5,741,744.0,74.0,0.099462,0.037312,3.8e-05
28.0,551,550.5,65.5,0.118983,0.043253,2.9e-05
28.5,387,386.5,48.5,0.125485,0.051286,2e-05
29.0,257,256.5,-6.0,-0.023392,0.064133,1.3e-05
29.5,185,192.5,32.5,0.168831,0.073697,1e-05
30.0,124,121.5,-2.0,-0.016461,0.093105,6e-06
30.5,90,86.5,-2.5,-0.028902,0.109478,5e-06
31.0,52,54.5,0.5,0.009174,0.140933,3e-06
31.5,37,37.5,-2.0,-0.053333,0.163611,2e-06
32.0,30,31.0,-7.0,-0.225806,0.175708,2e-06
32.5,15,15.5,6.5,0.419355,0.211768,1e-06
33.0,9,9.5,3.5,0.368421,0.296994,0.0
33.5,3,4.0,2.5,0.625,0.480072,0.0
34.0,11,11.0,1.0,0.090909,0.335984,1e-06
34.5,7,6.0,0.5,0.083333,0.423554,0.0
35.0,6,5.0,1.0,0.2,0.549545,0.0
35.5,1,1.0,-1.0,-1.0,0.0,0.0
36.0,4,3.5,-0.5,-0.142857,0.445254,0.0
36.5,1,1.0,1.0,1.0,0.0,0.0
38.0,1,1.0,-1.0,-1.0,0.0,0.0
