Strategy,Decks,Penetration,Slope,Slope_Pct,Intercept,Intercept_Pct,Breakeven_TC,R_Squared
HiLo,2deck,75pen,0.004910145361273579,0.4910145361273579,-0.002042702008039466,-0.20427020080394662,0.41601660597470297,0.9965115278002239
HiLo,4deck,70pen,0.004868080123270319,0.48680801232703186,-0.004363973445950326,-0.43639734459503265,0.8964465118578739,0.997321403305594
HiLo,6deck,70pen,0.004833271816711732,0.4833271816711732,-0.005024363437090266,-0.5024363437090267,1.0395367005260923,0.9978593752858387
HiLo,8deck,75pen,0.004805251944539319,0.48052519445393194,-0.005364950445714175,-0.5364950445714175,1.1164764111506986,0.9981987908365442
Mentor,2deck,75pen,0.002894450393705096,0.2894450393705096,-0.0015884984089242595,-0.15884984089242596,0.5488083030819789,0.9976006138365983
Mentor,4deck,70pen,0.00273600834509047,0.273600834509047,-0.0042197126797122635,-0.42197126797122636,1.5422879419517022,0.9981160031148175
Mentor,6deck,70pen,0.0026817104229110633,0.26817104229110633,-0.004976063412994246,-0.4976063412994246,1.8555558312640652,0.998271913680335
Mentor,8deck,75pen,0.002671828840307071,0.2671828840307071,-0.0052740048738689005,-0.52740048738689,1.973930662887359,0.9981260938774427
OmegaII,2deck,75pen,0.00265408430103681,0.26540843010368104,-0.0015944019257489383,-0.15944019257489384,0.6007352234916162,0.9979176631974184
OmegaII,4deck,70pen,0.002662584098511465,0.2662584098511465,-0.004232061818971175,-0.4232061818971175,1.589456581422963,0.9978049203931435
OmegaII,6deck,70pen,0.0026699666899607,0.26699666899607,-0.004951904130918428,-0.4951904130918428,1.8546688801542002,0.9977867001477531
OmegaII,8deck,75pen,0.00265670220551013,0.265670220551013,-0.005243851466415806,-0.5243851466415806,1.9738198189995861,0.9980867189886661
R14,2deck,75pen,0.0016919907468132597,0.16919907468132597,-0.0015001688695122906,-0.15001688695122906,0.8866294761586306,0.9973549163688614
R14,4deck,70pen,0.0016887747171419442,0.16887747171419443,-0.004073163529869053,-0.4073163529869053,2.411904612571658,0.9992025438373957
R14,6deck,70pen,0.0016921022809856683,0.16921022809856684,-0.004842584197589729,-0.4842584197589729,2.8618743984960946,0.9991905016351504
R14,8deck,75pen,0.0016880776961589769,0.1688077696158977,-0.005175036528414594,-0.5175036528414594,3.06563882704557,0.9989761627989451
RAPC,2deck,75pen,0.0015032055737540136,0.15032055737540134,-0.002047146381294387,-0.2047146381294387,1.361853905438874,0.9979807033914427
RAPC,4deck,70pen,0.001500875338213183,0.1500875338213183,-0.004281037555486123,-0.4281037555486123,2.8523605168852795,0.9993569743576891
RAPC,6deck,70pen,0.001508191286689554,0.1508191286689554,-0.00500804453943925,-0.500804453943925,3.3205632360015787,0.9992109988702819
RAPC,8deck,75pen,0.0015061587773404967,0.15061587773404966,-0.005297745816607514,-0.5297745816607514,3.517388668651535,0.999396337345016
RPC,2deck,75pen,0.002522811342206338,0.2522811342206338,-0.001874130607475193,-0.18741306074751932,0.7428738630278086,0.998552419977384
RPC,4deck,70pen,0.0025213458637970624,0.25213458637970626,-0.00432376352119168,-0.432376352119168,1.7148633129927826,0.9990673995786155
RPC,6deck,70pen,0.002502701560468988,0.2502701560468988,-0.004985904251563222,-0.4985904251563222,1.9922088715319695,0.998584634746523
RPC,8deck,75pen,0.002512157886228728,0.2512157886228728,-0.005324531505565741,-0.532453150556574,2.11950512137554,0.9988346798579647
WongHalves,2deck,75pen,0.004523895367293286,0.4523895367293286,-0.002732508186143646,-0.27325081861436457,0.6040166635813565,0.9937853351956737
WongHalves,4deck,70pen,0.004547118391695761,0.4547118391695761,-0.0046930181317003505,-0.46930181317003505,1.0320861977711073,0.9949201240213449
WongHalves,6deck,70pen,0.004597352875544645,0.4597352875544645,-0.006039122314908758,-0.6039122314908758,1.3136086087786567,0.9972471731946159
WongHalves,8deck,75pen,0.004612542774650322,0.4612542774650322,-0.006388201976153817,-0.6388201976153817,1.3849631945447072,0.9972649977549656
ZenCount,2deck,75pen,0.0027480622010123685,0.27480622010123684,-0.001674009035007417,-0.16740090350074172,0.6091598051858953,0.9981782423010841
ZenCount,4deck,70pen,0.0027496061132469486,0.27496061132469485,-0.004206616468321884,-0.4206616468321884,1.5298978453878922,0.9984708372570473
ZenCount,6deck,70pen,0.0027538902436304363,0.27538902436304363,-0.004947582983112705,-0.4947582983112705,1.7965795821224657,0.9982517874050215
ZenCount,8deck,75pen,0.0027336825323232665,0.27336825323232666,-0.005228826423956237,-0.5228826423956237,1.9127409134492404,0.9985353157195066
