TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-47.5,1,0.0,0.0,0.0,0.0
-46.0,1,0.0,0.0,0.0,0.0
-45.0,1,-2.0,-2.0,0.0,0.0
-44.5,6,-8.0,-1.333333,0.19245,0.0
-43.0,2,-3.0,-1.5,0.353553,0.0
-42.5,4,-4.0,-1.0,0.353553,0.0
-42.0,7,-8.0,-1.142857,0.374088,0.0
-41.0,4,-5.0,-1.25,0.649519,0.0
-40.5,5,-4.0,-0.8,0.438178,0.0
-40.0,28,-29.0,-1.035714,0.138156,1e-06
-39.5,61,-36.0,-0.590164,0.159577,3e-06
-39.0,19,-13.0,-0.684211,0.279023,1e-06
-38.5,38,-34.0,-0.894737,0.16132,2e-06
-38.0,124,-79.0,-0.637097,0.112519,5e-06
-37.5,30,-9.0,-0.3,0.221861,1e-06
-37.0,366,-156.0,-0.42623,0.065318,1.5e-05
-36.5,12,-10.0,-0.833333,0.350264,0.0
-36.0,241,-99.0,-0.410788,0.081768,1e-05
-35.5,555,-192.0,-0.345946,0.05523,2.3e-05
-35.0,5,-3.0,-0.6,0.45607,0.0
-34.5,1514,-631.5,-0.417107,0.031799,6.2e-05
-34.0,856,-360.5,-0.421145,0.04331,3.5e-05
-33.5,409,-171.5,-0.419315,0.061239,1.7e-05
-33.0,1641,-667.0,-0.406459,0.031355,6.8e-05
-32.5,1093,-373.0,-0.341263,0.038024,4.5e-05
-32.0,4422,-1603.0,-0.362506,0.019279,0.000182
-31.5,2301,-854.5,-0.37136,0.025952,9.5e-05
-31.0,1786,-707.5,-0.396137,0.029471,7.4e-05
-30.5,7957,-2653.0,-0.333417,0.013914,0.000328
-30.0,1572,-535.0,-0.340331,0.031908,6.5e-05
-29.5,18333,-5936.0,-0.323788,0.00922,0.000756
-29.0,5201,-1481.0,-0.284753,0.017319,0.000215
-28.5,15029,-4408.5,-0.293333,0.010171,0.00062
