TrueCount,HandsPlayed,TotalPayout,EV,StdError
-3.5,5,-2.000000,-0.400000,0.536656
-3.0,25,-7.000000,-0.280000,0.228175
-2.5,453,-8.500000,-0.018764,0.054481
-2.0,4418,-48.000000,-0.010865,0.017040
-1.5,47734,-658.500000,-0.013795,0.005198
-1.0,584374,-7185.500000,-0.012296,0.001484
-0.5,5218385,-58103.000000,-0.011134,0.000496
0.0,71777777,-505746.500000,-0.007046,0.000133
0.5,38080638,-308735.500000,-0.008107,0.000183
1.0,43514218,-324900.000000,-0.007467,0.000171
1.5,40092453,-295615.500000,-0.007373,0.000178
2.0,39251488,-296857.000000,-0.007563,0.000180
2.5,38921143,-297917.500000,-0.007654,0.000181
3.0,37959734,-279104.000000,-0.007353,0.000183
3.5,36833387,-273265.000000,-0.007419,0.000186
4.0,36076694,-269202.000000,-0.007462,0.000188
4.5,35206538,-261097.000000,-0.007416,0.000190
5.0,33729577,-249133.500000,-0.007386,0.000194
5.5,32894093,-246672.500000,-0.007499,0.000197
6.0,32691653,-239388.000000,-0.007323,0.000197
6.5,31488094,-230622.000000,-0.007324,0.000201
7.0,30336346,-218505.000000,-0.007203,0.000205
7.5,30314241,-221625.000000,-0.007311,0.000205
8.0,28951007,-207273.500000,-0.007159,0.000210
8.5,28789860,-203830.500000,-0.007080,0.000210
9.0,27683170,-191113.000000,-0.006904,0.000215
9.5,26809524,-194032.000000,-0.007237,0.000218
10.0,26660379,-189098.000000,-0.007093,0.000219
10.5,25887667,-194695.500000,-0.007521,0.000222
11.0,25523427,-178765.000000,-0.007004,0.000223
11.5,24778678,-170303.500000,-0.006873,0.000227
12.0,24311791,-167595.500000,-0.006894,0.000229
12.5,23194821,-161205.500000,-0.006950,0.000234
13.0,23681446,-167118.500000,-0.007057,0.000232
13.5,22351129,-151351.000000,-0.006772,0.000239
14.0,22297871,-158581.000000,-0.007112,0.000239
14.5,21314548,-150620.500000,-0.007067,0.000245
15.0,21409677,-144946.000000,-0.006770,0.000244
15.5,20868838,-141212.500000,-0.006767,0.000247
16.0,20220883,-141474.500000,-0.006996,0.000251
16.5,20093304,-149649.500000,-0.007448,0.000252
17.0,19804783,-142545.500000,-0.007198,0.000254
17.5,18834394,-117456.500000,-0.006236,0.000260
18.0,18942743,-131763.500000,-0.006956,0.000259
18.5,18474197,-122058.500000,-0.006607,0.000263
19.0,18157525,-125715.000000,-0.006924,0.000265
19.5,17705333,-120110.500000,-0.006784,0.000268
20.0,17306118,-114666.000000,-0.006626,0.000271
20.5,17847818,-120155.500000,-0.006732,0.000267
21.0,16188797,-108563.000000,-0.006706,0.000280
21.5,16253514,-99541.000000,-0.006124,0.000280
22.0,16627392,-110063.000000,-0.006619,0.000277
22.5,15014781,-94030.500000,-0.006263,0.000291
23.0,15738829,-99428.000000,-0.006317,0.000284
23.5,15043881,-81927.500000,-0.005446,0.000291
24.0,14821571,-87995.000000,-0.005937,0.000293
24.5,14245750,-73985.000000,-0.005193,0.000299
25.0,13642930,-81236.000000,-0.005954,0.000305
25.5,14296793,-63121.000000,-0.004415,0.000298
26.0,11412551,-56812.500000,-0.004978,0.000334
26.5,12971077,-46276.500000,-0.003568,0.000313
27.0,11843969,-44699.500000,-0.003774,0.000327
27.5,11113728,-29100.000000,-0.002618,0.000337
28.0,10547244,-23499.000000,-0.002228,0.000347
28.5,9571186,-10214.500000,-0.001067,0.000364
29.0,8960782,-2585.000000,-0.000288,0.000376
29.5,8010506,1689.500000,0.000211,0.000398
30.0,7415517,9098.500000,0.001227,0.000413
30.5,6513051,19293.000000,0.002962,0.000440
31.0,5688537,19559.000000,0.003438,0.000470
31.5,5156457,25008.500000,0.004850,0.000494
32.0,4304219,21684.000000,0.005038,0.000540
32.5,3590011,20131.000000,0.005608,0.000590
33.0,2929388,24004.000000,0.008194,0.000653
33.5,2489748,19793.500000,0.007950,0.000707
34.0,1887020,17327.000000,0.009182,0.000811
34.5,1453989,17494.000000,0.012032,0.000923
35.0,1251910,14939.500000,0.011933,0.000994
35.5,952362,13065.500000,0.013719,0.001138
36.0,657187,9267.500000,0.014102,0.001368
36.5,494760,6793.500000,0.013731,0.001576
37.0,363015,7324.000000,0.020175,0.001836
37.5,252390,4838.000000,0.019169,0.002201
38.0,172392,3387.000000,0.019647,0.002657
38.5,116135,2650.000000,0.022818,0.003235
39.0,89332,2783.000000,0.031153,0.003686
39.5,47448,1134.500000,0.023910,0.005049
40.0,33902,1101.500000,0.032491,0.005946
40.5,20304,458.500000,0.022582,0.007734
41.0,14217,620.000000,0.043610,0.009206
41.5,7295,201.000000,0.027553,0.012788
42.0,4695,33.000000,0.007029,0.016156
42.5,2671,48.000000,0.017971,0.021041
43.0,1282,77.000000,0.060062,0.030375
43.5,856,12.000000,0.014019,0.037453
44.0,435,31.500000,0.072414,0.051222
44.5,256,57.500000,0.224609,0.069146
45.0,87,21.000000,0.241379,0.115762
45.5,66,18.500000,0.280303,0.133440
46.0,30,3.500000,0.116667,0.192474
46.5,22,2.500000,0.113636,0.208130
47.0,7,-1.000000,-0.142857,0.425156
47.5,2,1.000000,0.500000,0.353553
48.0,4,-2.000000,-0.500000,0.433013
