TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-2.5,9,-1.0,-0.111111,0.428735,1e-06
-2.0,361,6.0,0.01662,0.059081,2.6e-05
-1.5,10127,-108.0,-0.010665,0.011299,0.000731
-1.0,283094,-2559.5,-0.009041,0.002133,0.020425
-0.5,5680846,-57368.5,-0.010099,0.000475,0.409868
0.0,71949602,-504847.5,-0.007017,0.000133,5.191105
0.5,53171417,-409590.0,-0.007703,0.000155,3.836275
1.0,60443766,-467734.5,-0.007738,0.000145,4.360969
1.5,57867097,-438784.0,-0.007583,0.000148,4.175064
2.0,54045568,-407853.0,-0.007546,0.000154,3.899344
2.5,51115735,-371973.0,-0.007277,0.000158,3.687959
3.0,50437632,-397526.0,-0.007882,0.000159,3.639034
3.5,49531455,-366956.0,-0.007409,0.00016,3.573654
4.0,47816790,-350760.5,-0.007336,0.000163,3.449943
4.5,46489018,-325311.0,-0.006998,0.000166,3.354145
5.0,45729203,-335985.0,-0.007347,0.000167,3.299325
5.5,44433111,-322306.0,-0.007254,0.000169,3.205813
6.0,42671812,-324505.5,-0.007605,0.000173,3.078737
6.5,42096228,-321165.0,-0.007629,0.000174,3.037209
7.0,40778008,-290685.0,-0.007128,0.000177,2.9421
7.5,39955329,-292349.0,-0.007317,0.000179,2.882745
8.0,38841876,-283582.0,-0.007301,0.000181,2.80241
8.5,38491920,-277974.0,-0.007222,0.000182,2.777161
9.0,36527115,-266616.0,-0.007299,0.000187,2.635402
9.5,35877382,-250567.5,-0.006984,0.000188,2.588524
10.0,35844173,-264478.0,-0.007379,0.000188,2.586128
10.5,34270922,-244567.5,-0.007136,0.000193,2.472619
11.0,33614398,-238004.5,-0.00708,0.000195,2.425252
11.5,32727379,-235078.5,-0.007183,0.000197,2.361254
12.0,31784859,-210996.5,-0.006638,0.0002,2.293252
12.5,30989614,-203044.0,-0.006552,0.000203,2.235876
13.0,29040633,-173403.5,-0.005971,0.000209,2.095258
13.5,28662601,-171852.5,-0.005996,0.000211,2.067983
14.0,26701173,-138908.5,-0.005202,0.000218,1.926468
14.5,24319961,-115504.5,-0.004749,0.000228,1.754665
15.0,22815517,-97083.0,-0.004255,0.000236,1.646121
15.5,20582707,-74220.5,-0.003606,0.000248,1.485026
16.0,17605319,-42786.5,-0.00243,0.000268,1.270209
16.5,15319248,-18406.0,-0.001201,0.000287,1.105271
17.0,12307085,-16392.0,-0.001332,0.00032,0.887946
17.5,9985883,1567.0,0.000157,0.000355,0.720473
18.0,7878538,13443.0,0.001706,0.000399,0.56843
18.5,5787165,13387.0,0.002313,0.000465,0.417539
19.0,4157594,15056.5,0.003621,0.000548,0.299967
19.5,2794635,21448.0,0.007675,0.000668,0.201631
20.0,1876851,8612.5,0.004589,0.000814,0.135413
20.5,1155531,7571.0,0.006552,0.001036,0.083371
21.0,725123,6633.0,0.009147,0.001306,0.052317
21.5,387803,4764.5,0.012286,0.001785,0.02798
22.0,219072,3441.5,0.015709,0.002372,0.015806
22.5,117056,1491.5,0.012742,0.003236,0.008445
23.0,54659,887.5,0.016237,0.004721,0.003944
23.5,26621,505.5,0.018989,0.006782,0.001921
24.0,12363,-192.5,-0.015571,0.009882,0.000892
24.5,4711,212.5,0.045107,0.016096,0.00034
25.0,2083,55.0,0.026404,0.024193,0.00015
25.5,810,4.5,0.005556,0.038346,5.8e-05
26.0,243,-3.5,-0.014403,0.071302,1.8e-05
26.5,95,14.5,0.152632,0.115328,7e-06
27.0,33,2.0,0.060606,0.217209,2e-06
27.5,10,3.0,0.3,0.347851,1e-06
28.0,2,-2.0,-1.0,0.0,0.0
