TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-3.5,1,1.0,1.0,0.0,0.0
-3.0,8,4.0,0.5,0.353553,0.0
-2.5,141,2.5,0.01773,0.092934,5e-06
-2.0,2342,-125.5,-0.053587,0.023256,8.5e-05
-1.5,38510,-777.5,-0.02019,0.005791,0.001401
-1.0,697100,-9292.0,-0.01333,0.001354,0.025355
-0.5,10272683,-104163.0,-0.01014,0.000352,0.373645
0.0,83781141,-610152.0,-0.007283,0.000123,3.047345
0.5,74319318,-574292.5,-0.007727,0.000131,2.703193
1.0,77824376,-565262.5,-0.007263,0.000128,2.830682
1.5,70037530,-513051.0,-0.007325,0.000134,2.547453
2.0,66799338,-491378.0,-0.007356,0.000138,2.429671
2.5,64490103,-482506.0,-0.007482,0.00014,2.345678
3.0,62127133,-454259.5,-0.007312,0.000143,2.259731
3.5,60945878,-442863.5,-0.007267,0.000144,2.216765
4.0,58097481,-433123.0,-0.007455,0.000148,2.113161
4.5,55999183,-399815.5,-0.00714,0.00015,2.036841
5.0,54884388,-398721.5,-0.007265,0.000152,1.996293
5.5,52434453,-377651.5,-0.007202,0.000155,1.907182
6.0,50634637,-362936.0,-0.007168,0.000158,1.841718
6.5,49396593,-352045.5,-0.007127,0.00016,1.796687
7.0,47666802,-343741.5,-0.007211,0.000163,1.73377
7.5,46171231,-321516.0,-0.006964,0.000166,1.679372
8.0,44866155,-318178.5,-0.007092,0.000168,1.631903
8.5,43199632,-307125.5,-0.007109,0.000171,1.571287
9.0,42512756,-301680.0,-0.007096,0.000173,1.546303
9.5,40481737,-275619.0,-0.006808,0.000177,1.47243
10.0,39906744,-277748.0,-0.00696,0.000178,1.451515
10.5,38950326,-271752.5,-0.006977,0.00018,1.416728
11.0,37711773,-271052.0,-0.007187,0.000183,1.371678
11.5,36552619,-256857.5,-0.007027,0.000186,1.329517
12.0,35628524,-248821.5,-0.006984,0.000188,1.295905
12.5,34238235,-227361.5,-0.006641,0.000192,1.245337
13.0,33995802,-226331.0,-0.006658,0.000193,1.236519
13.5,32741311,-216310.0,-0.006607,0.000197,1.190889
14.0,31835285,-214724.0,-0.006745,0.000199,1.157935
14.5,31510023,-208820.5,-0.006627,0.0002,1.146104
15.0,30194207,-199089.0,-0.006594,0.000205,1.098244
15.5,29450251,-199249.0,-0.006766,0.000207,1.071185
16.0,28614182,-185033.5,-0.006466,0.00021,1.040775
16.5,28559644,-180266.0,-0.006312,0.00021,1.038791
17.0,26223950,-173040.5,-0.006599,0.00022,0.953836
17.5,27945625,-180008.5,-0.006441,0.000213,1.016457
18.0,26402961,-180555.5,-0.006838,0.000219,0.960347
