TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-18.5,2,-3.0,-1.5,0.353553,0.0
-18.0,2,-2.0,-1.0,0.0,0.0
-17.0,3,1.0,0.333333,0.544331,0.0
-16.5,13,-4.5,-0.346154,0.314279,1e-06
-16.0,27,-10.0,-0.37037,0.215313,2e-06
-15.5,38,1.0,0.026316,0.180361,2e-06
-15.0,50,-10.5,-0.21,0.171517,3e-06
-14.5,92,-5.0,-0.054348,0.124041,5e-06
-14.0,147,-14.5,-0.098639,0.100399,9e-06
-13.5,252,-27.0,-0.107143,0.074674,1.5e-05
-13.0,456,-13.5,-0.029605,0.055472,2.7e-05
-12.5,660,-59.5,-0.090152,0.046845,3.9e-05
-12.0,1199,-117.5,-0.097998,0.033556,7.1e-05
-11.5,1962,-208.5,-0.106269,0.02643,0.000116
-11.0,3272,-131.0,-0.040037,0.020481,0.000194
-10.5,4805,-247.0,-0.051405,0.016894,0.000284
-10.0,7042,-329.0,-0.04672,0.013916,0.000417
-9.5,11511,-698.0,-0.060638,0.010836,0.000681
-9.0,20333,-1291.5,-0.063517,0.008129,0.001204
-8.5,28837,-1433.0,-0.049693,0.006811,0.001707
-8.0,48953,-2119.5,-0.043297,0.005238,0.002898
-7.5,76162,-2952.0,-0.038759,0.004186,0.004508
-7.0,116249,-4258.5,-0.036633,0.003388,0.006881
-6.5,180326,-6485.5,-0.035965,0.00271,0.010674
-6.0,272488,-8139.0,-0.029869,0.002201,0.016129
-5.5,422893,-12271.0,-0.029017,0.001765,0.025031
-5.0,640853,-17519.0,-0.027337,0.001432,0.037933
-4.5,1035940,-25743.0,-0.02485,0.001124,0.061318
-4.0,1712924,-38526.0,-0.022491,0.000872,0.101389
-3.5,2433606,-52489.0,-0.021568,0.000732,0.144047
-3.0,3088361,-60887.5,-0.019715,0.000649,0.182802
-2.5,5433688,-100037.0,-0.018411,0.000489,0.321624
-2.0,6331678,-111810.5,-0.017659,0.000452,0.374776
-1.5,9723695,-144820.5,-0.014894,0.000365,0.575552
-1.0,13083216,-173315.0,-0.013247,0.000314,0.774404
-0.5,16357792,-212959.0,-0.013019,0.000281,0.968228
0.0,175574671,-883668.5,-0.005033,8.5e-05,10.392378
0.5,24259137,-287060.0,-0.011833,0.000231,1.435914
1.0,26160688,-268389.5,-0.010259,0.000222,1.548468
1.5,24865299,-241475.0,-0.009711,0.000227,1.471793
2.0,29572793,-280472.5,-0.009484,0.000208,1.750433
2.5,25455999,-243376.0,-0.009561,0.000225,1.506757
3.0,30012241,-256420.0,-0.008544,0.000207,1.776444
3.5,29569650,-264302.0,-0.008938,0.000208,1.750247
4.0,30609350,-242910.5,-0.007936,0.000205,1.811787
4.5,26714072,-246660.0,-0.009233,0.000219,1.581223
5.0,26258400,-199855.5,-0.007611,0.000221,1.554252
5.5,30297179,-230567.5,-0.00761,0.000206,1.79331
