TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-36.0,2,0.0,0.0,0.707107,0.0
-34.5,2,-3.0,-1.5,0.353553,0.0
-34.0,5,2.0,0.4,0.536656,0.0
-33.5,2,0.0,0.0,0.707107,0.0
-33.0,6,0.0,-0.0,0.408248,0.0
-32.5,14,-11.0,-0.785714,0.229875,1e-06
-32.0,13,-2.0,-0.153846,0.323556,1e-06
-31.5,21,5.5,0.261905,0.237186,1e-06
-31.0,26,-1.0,-0.038462,0.232244,1e-06
-30.5,45,-6.5,-0.144444,0.155255,3e-06
-30.0,56,-3.5,-0.0625,0.152081,3e-06
-29.5,84,5.5,0.065476,0.128709,5e-06
-29.0,142,-19.0,-0.133803,0.09368,8e-06
-28.5,180,-16.0,-0.088889,0.090451,1e-05
-28.0,303,-8.5,-0.028053,0.066787,1.7e-05
-27.5,405,-36.0,-0.088889,0.058576,2.3e-05
-27.0,666,6.5,0.00976,0.046064,3.7e-05
-26.5,763,-56.5,-0.07405,0.043351,4.3e-05
-26.0,1452,-142.0,-0.097796,0.030265,8.2e-05
-25.5,1753,-134.0,-0.07644,0.02754,9.8e-05
-25.0,2743,-116.0,-0.042289,0.022385,0.000154
-24.5,3343,-130.5,-0.039037,0.020125,0.000188
-24.0,4945,-262.5,-0.053084,0.01656,0.000278
-23.5,6798,-350.5,-0.051559,0.01397,0.000382
-23.0,9210,-569.0,-0.061781,0.012076,0.000517
-22.5,13003,-627.0,-0.04822,0.010144,0.00073
-22.0,16714,-983.5,-0.058843,0.008893,0.000938
-21.5,23119,-1262.0,-0.054587,0.007601,0.001298
-21.0,31214,-1193.5,-0.038236,0.006565,0.001753
-20.5,39647,-1872.0,-0.047217,0.005784,0.002226
-20.0,54546,-2516.0,-0.046126,0.004932,0.003063
-19.5,72988,-3408.5,-0.046699,0.004259,0.004098
-19.0,92776,-3924.5,-0.042301,0.00378,0.005209
-18.5,121816,-5278.5,-0.043332,0.003304,0.00684
-18.0,161904,-6503.5,-0.040169,0.002856,0.009091
-17.5,214516,-7823.0,-0.036468,0.00248,0.012045
-17.0,254014,-9078.5,-0.03574,0.002275,0.014263
-16.5,344219,-11201.5,-0.032542,0.001955,0.019328
-16.0,433542,-15119.0,-0.034873,0.001741,0.024343
-15.5,538929,-17866.0,-0.033151,0.00156,0.030261
