TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-45.0,4,4.0,1.0,0.0,0.0
-44.5,1,0.0,0.0,0.0,0.0
-44.0,1,2.0,2.0,0.0,0.0
-43.5,1,-1.0,-1.0,0.0,0.0
-43.0,5,0.0,0.0,0.565685,0.0
-42.5,6,7.0,1.166667,0.435677,0.0
-42.0,8,-4.0,-0.5,0.433013,1e-06
-41.5,11,-9.0,-0.818182,0.215828,1e-06
-41.0,18,-4.0,-0.222222,0.278394,1e-06
-40.5,12,-5.0,-0.416667,0.275336,1e-06
-40.0,27,-2.0,-0.074074,0.245262,2e-06
-39.5,38,2.0,0.052632,0.207035,2e-06
-39.0,55,11.0,0.2,0.168905,4e-06
-38.5,115,-18.5,-0.16087,0.107656,8e-06
-38.0,44,-16.0,-0.363636,0.176311,3e-06
-37.5,192,-37.0,-0.192708,0.086742,1.3e-05
-37.0,109,-6.5,-0.059633,0.117439,7e-06
-36.5,263,-52.5,-0.19962,0.074487,1.7e-05
-36.0,181,-39.0,-0.21547,0.092712,1.2e-05
-35.5,588,-47.5,-0.080782,0.051188,3.9e-05
-35.0,216,-28.0,-0.12963,0.084276,1.4e-05
-34.5,922,-131.0,-0.142082,0.040121,6e-05
-34.0,556,-49.0,-0.088129,0.052319,3.6e-05
-33.5,1454,-241.0,-0.16575,0.031675,9.5e-05
-33.0,916,-94.0,-0.10262,0.040575,6e-05
-32.5,2513,-325.0,-0.129327,0.024033,0.000165
-32.0,2302,-334.5,-0.145308,0.025008,0.000151
-31.5,3038,-373.0,-0.122778,0.021642,0.000199
-31.0,4105,-606.0,-0.147625,0.018956,0.000269
-30.5,6654,-700.5,-0.105275,0.014841,0.000437
-30.0,4854,-494.5,-0.101875,0.017297,0.000318
-29.5,9881,-1055.0,-0.106771,0.011984,0.000648
-29.0,9869,-1143.5,-0.115868,0.012158,0.000647
-28.5,15052,-1394.5,-0.092645,0.009745,0.000988
-28.0,14881,-1849.5,-0.124286,0.009832,0.000976
-27.5,23761,-2579.0,-0.108539,0.007734,0.001559
-27.0,23380,-2581.0,-0.110393,0.007773,0.001534
-26.5,33461,-3439.5,-0.102791,0.006535,0.002195
-26.0,32418,-2857.5,-0.088145,0.006617,0.002127
-25.5,48510,-4983.0,-0.102721,0.005372,0.003183
-25.0,53527,-4419.5,-0.082566,0.005141,0.003512
-24.5,81851,-6827.5,-0.083414,0.004146,0.00537
-24.0,79757,-7604.0,-0.09534,0.004191,0.005233
-23.5,117283,-10157.0,-0.086602,0.00345,0.007695
-23.0,129440,-10857.5,-0.083881,0.003287,0.008492
-22.5,180218,-14138.5,-0.078452,0.002777,0.011823
-22.0,152147,-11739.5,-0.077159,0.003025,0.009982
-21.5,268915,-19709.5,-0.073293,0.002273,0.017643
-21.0,293306,-20448.0,-0.069716,0.002171,0.019243
-20.5,323885,-23895.0,-0.073776,0.002066,0.021249
-20.0,375799,-25333.0,-0.067411,0.001916,0.024655
-19.5,570702,-38235.5,-0.066997,0.001552,0.037442
-19.0,516884,-33441.5,-0.064698,0.001626,0.033911
-18.5,666186,-41251.0,-0.061921,0.001433,0.043706
-18.0,739547,-45586.5,-0.061641,0.001358,0.048519
-17.5,1159954,-68963.5,-0.059454,0.001083,0.076101
-17.0,825972,-49172.5,-0.059533,0.001281,0.054189
-16.5,1502843,-84185.0,-0.056017,0.00095,0.098596
-16.0,1439925,-77026.0,-0.053493,0.000969,0.094469
-15.5,1734792,-88525.5,-0.051029,0.000882,0.113814
-15.0,1885057,-95900.5,-0.050874,0.000845,0.123672
-14.5,2692516,-125300.0,-0.046536,0.000706,0.176647
-14.0,2509956,-113912.5,-0.045384,0.000731,0.16467
-13.5,3086573,-135440.0,-0.04388,0.000658,0.2025
-13.0,4582210,-194102.0,-0.04236,0.00054,0.300623
-12.5,3888494,-156092.0,-0.040142,0.000585,0.255111
