TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-2.5,5,2.0,0.4,0.357771,0.0
-2.0,355,-20.5,-0.057746,0.059025,2e-05
-1.5,11170,-331.5,-0.029678,0.01079,0.000625
-1.0,329986,-6406.0,-0.019413,0.001977,0.018466
-0.5,11707202,-148186.5,-0.012658,0.00033,0.655139
0.0,139082630,-1280846.5,-0.009209,9.6e-05,7.783113
0.5,148962132,-1366894.5,-0.009176,9.2e-05,8.335973
1.0,132338437,-1172384.5,-0.008859,9.8e-05,7.405706
1.5,123954654,-1114818.0,-0.008994,0.000101,6.936546
2.0,115280045,-1014399.0,-0.008799,0.000105,6.451112
2.5,108055401,-951248.0,-0.008803,0.000108,6.046818
3.0,100034491,-872781.5,-0.008725,0.000113,5.597965
3.5,95799964,-818881.0,-0.008548,0.000115,5.361
4.0,89101980,-774145.5,-0.008688,0.000119,4.986178
4.5,83883363,-700829.0,-0.008355,0.000123,4.694143
5.0,78936286,-655285.0,-0.008301,0.000127,4.417302
5.5,75254819,-590737.0,-0.00785,0.00013,4.211286
6.0,69936784,-552025.5,-0.007893,0.000135,3.913687
6.5,65724780,-499922.0,-0.007606,0.000139,3.677982
7.0,60982981,-419531.0,-0.006879,0.000144,3.412629
7.5,55981373,-362068.5,-0.006468,0.00015,3.132737
8.0,50017232,-274536.5,-0.005489,0.000159,2.798982
8.5,44309012,-192801.5,-0.004351,0.000169,2.479548
9.0,36711639,-88377.0,-0.002407,0.000185,2.054396
9.5,29728794,-25821.5,-0.000869,0.000205,1.663634
10.0,23899868,5983.0,0.00025,0.000229,1.337445
10.5,16953690,37240.0,0.002197,0.000271,0.948734
11.0,11976674,34383.5,0.002871,0.000322,0.670219
11.5,7763663,48970.0,0.006308,0.000399,0.434457
12.0,4775517,37485.5,0.00785,0.000508,0.26724
12.5,2765170,30468.5,0.011019,0.000667,0.15474
13.0,1438454,16817.5,0.011691,0.000922,0.080496
13.5,731033,10817.5,0.014798,0.001292,0.040909
14.0,327011,4984.0,0.015241,0.001927,0.0183
14.5,137660,2801.0,0.020347,0.002963,0.007704
15.0,55717,934.0,0.016763,0.004656,0.003118
15.5,19657,607.5,0.030905,0.007829,0.0011
16.0,7014,170.0,0.024237,0.013094,0.000393
16.5,2083,-1.0,-0.00048,0.02357,0.000117
17.0,556,46.0,0.082734,0.046665,3.1e-05
17.5,133,-12.5,-0.093985,0.089778,7e-06
18.0,32,-2.0,-0.0625,0.180535,2e-06
18.5,11,-0.5,-0.045455,0.317887,1e-06
19.0,3,0.0,0.0,0.471405,0.0
20.0,1,2.0,2.0,0.0,0.0
