TrueCount,HandsPlayed,TotalPayout,EV,StdError
-47.5,1,2.000000,2.000000,0.000000
-46.0,1,-1.000000,-1.000000,0.000000
-45.5,1,-1.000000,-1.000000,0.000000
-45.0,1,-1.000000,-1.000000,0.000000
-44.5,7,-6.000000,-0.857143,0.374088
-43.5,6,1.500000,0.250000,0.664057
-43.0,8,2.000000,0.250000,0.492125
-42.5,12,-4.000000,-0.333333,0.396746
-42.0,16,-5.000000,-0.312500,0.289379
-41.5,9,-7.000000,-0.777778,0.377705
-41.0,37,-9.000000,-0.243243,0.203711
-40.5,15,-3.500000,-0.233333,0.286227
-40.0,72,-22.000000,-0.305556,0.146512
-39.5,39,9.500000,0.243590,0.195168
-39.0,66,-5.500000,-0.083333,0.159121
-38.5,114,-13.500000,-0.118421,0.116917
-38.0,135,-19.500000,-0.144444,0.097128
-37.5,237,-41.000000,-0.172996,0.079880
-37.0,230,-59.500000,-0.258696,0.076780
-36.5,370,-88.000000,-0.237838,0.061279
-36.0,460,-24.500000,-0.053261,0.057019
-35.5,728,-177.500000,-0.243819,0.044234
-35.0,381,-37.500000,-0.098425,0.060882
-34.5,1673,-345.500000,-0.206515,0.029236
-34.0,705,-113.500000,-0.160993,0.045962
-33.5,1751,-236.000000,-0.134780,0.029180
-33.0,2343,-455.500000,-0.194409,0.025144
-32.5,2238,-237.500000,-0.106122,0.026354
-32.0,4800,-573.000000,-0.119375,0.017738
-31.5,3473,-480.000000,-0.138209,0.020453
-31.0,8094,-977.000000,-0.120707,0.013520
-30.5,6066,-835.500000,-0.137735,0.015506
-30.0,9245,-1294.500000,-0.140022,0.012632
-29.5,13060,-1819.500000,-0.139319,0.010636
-29.0,15512,-2000.500000,-0.128965,0.009718
-28.5,13076,-1757.000000,-0.134368,0.010550
-28.0,20250,-2577.500000,-0.127284,0.008520
-27.5,31840,-4022.000000,-0.126319,0.006734
-27.0,31458,-3365.000000,-0.106968,0.006805
-26.5,47842,-5304.000000,-0.110865,0.005497
-26.0,48026,-5726.000000,-0.119227,0.005465
-25.5,71480,-7559.500000,-0.105757,0.004499
-25.0,73304,-7743.000000,-0.105629,0.004425
-24.5,110457,-10908.000000,-0.098753,0.003603
-24.0,110137,-10764.500000,-0.097737,0.003601
-23.5,113510,-10527.500000,-0.092745,0.003546
-23.0,214377,-20239.000000,-0.094408,0.002574
-22.5,172562,-16224.000000,-0.094018,0.002868
-22.0,222977,-19103.500000,-0.085675,0.002518
-21.5,256442,-21596.500000,-0.084216,0.002345
-21.0,427700,-34472.500000,-0.080600,0.001811
-20.5,336437,-27178.500000,-0.080783,0.002042
-20.0,578689,-44078.500000,-0.076170,0.001554
-19.5,550762,-39868.000000,-0.072387,0.001591
-19.0,670844,-48540.000000,-0.072357,0.001440
-18.5,812209,-56186.000000,-0.069177,0.001306
-18.0,731725,-50349.000000,-0.068809,0.001374
-17.5,1482077,-95099.500000,-0.064166,0.000964
-17.0,887734,-56343.000000,-0.063468,0.001244
-16.5,1951502,-116404.000000,-0.059648,0.000839
-16.0,1447116,-82670.000000,-0.057127,0.000973
-15.5,2060930,-114189.000000,-0.055407,0.000814
-15.0,2243759,-121739.500000,-0.054257,0.000779
-14.5,3040208,-158646.000000,-0.052183,0.000668
-14.0,2965089,-146766.500000,-0.049498,0.000676
-13.5,3631808,-173005.000000,-0.047636,0.000610
-13.0,4495874,-204154.500000,-0.045409,0.000547
-12.5,4016621,-173234.000000,-0.043129,0.000578
-12.0,5941227,-250671.500000,-0.042192,0.000475
-11.5,5900141,-234245.000000,-0.039702,0.000476
-11.0,7851981,-293547.500000,-0.037385,0.000412
-10.5,7312385,-259883.000000,-0.035540,0.000426
-10.0,10667949,-370383.500000,-0.034719,0.000353
-9.5,9543756,-305653.000000,-0.032026,0.000372
-9.0,12187235,-370974.500000,-0.030440,0.000329
-8.5,13875735,-399212.500000,-0.028771,0.000308
-8.0,14244922,-385806.000000,-0.027084,0.000304
-7.5,18526968,-461760.500000,-0.024924,0.000266
-7.0,18406355,-436403.000000,-0.023709,0.000266
-6.5,22998938,-505371.000000,-0.021974,0.000238
-6.0,25481654,-522730.500000,-0.020514,0.000226
-5.5,28639587,-542515.000000,-0.018943,0.000213
-5.0,29333143,-508532.500000,-0.017336,0.000210
-4.5,36537456,-581152.500000,-0.015906,0.000188
-4.0,41854804,-599803.000000,-0.014331,0.000175
-3.5,44628343,-567114.500000,-0.012707,0.000170
-3.0,50759703,-570408.000000,-0.011237,0.000159
-2.5,51288787,-530949.000000,-0.010352,0.000158
-2.0,67818918,-566932.500000,-0.008360,0.000137
-1.5,62528039,-469772.500000,-0.007513,0.000143
-1.0,70749673,-385278.500000,-0.005446,0.000134
-0.5,63045867,-306566.500000,-0.004863,0.000142
0.0,250857502,-837680.500000,-0.003339,0.000071
0.5,61436197,-71949.000000,-0.001171,0.000144
1.0,66472644,27774.500000,0.000418,0.000138
1.5,56144182,93454.000000,0.001665,0.000150
2.0,60298780,240281.500000,0.003993,0.000145
2.5,46877261,247660.500000,0.005304,0.000164
3.0,47719453,374530.000000,0.007914,0.000163
3.5,38854277,411859.000000,0.010734,0.000180
4.0,38810072,510570.000000,0.013375,0.000180
4.5,31808198,502567.000000,0.016119,0.000199
5.0,28462402,548223.500000,0.019834,0.000210
5.5,25791211,587509.500000,0.023570,0.000221
6.0,23069987,586308.500000,0.026440,0.000234
6.5,20719217,584528.500000,0.029435,0.000246
7.0,16456460,506455.000000,0.032201,0.000276
7.5,16894720,558046.000000,0.034652,0.000272
8.0,12802809,455066.500000,0.037377,0.000312
8.5,12334383,456582.500000,0.038956,0.000317
9.0,11071289,434423.000000,0.041358,0.000334
9.5,8707922,365185.000000,0.044251,0.000376
10.0,9373787,410738.500000,0.046213,0.000362
10.5,6707564,305044.000000,0.047971,0.000427
11.0,6960026,327380.500000,0.049583,0.000419
