TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-15.5,7,-2.0,-0.285714,0.26452,1e-06
-15.0,8,1.0,0.125,0.51349,1e-06
-14.5,21,-9.5,-0.452381,0.254004,2e-06
-14.0,63,-4.5,-0.071429,0.150106,5e-06
-13.5,133,1.0,0.007519,0.098175,1e-05
-13.0,376,-26.0,-0.069149,0.060103,2.7e-05
-12.5,746,-59.5,-0.079759,0.042284,5.4e-05
-12.0,1684,-150.5,-0.089371,0.027766,0.000121
-11.5,3669,-139.0,-0.037885,0.019382,0.000264
-11.0,7554,-353.0,-0.04673,0.013229,0.000544
-10.5,15854,-719.0,-0.045351,0.009202,0.001142
-10.0,30847,-1282.5,-0.041576,0.006597,0.002223
-9.5,57029,-1757.0,-0.030809,0.004814,0.004109
-9.0,112241,-4232.5,-0.037709,0.003433,0.008087
-8.5,198596,-6930.5,-0.034897,0.002577,0.014309
-8.0,358677,-11738.0,-0.032726,0.001916,0.025843
-7.5,620448,-17596.5,-0.028361,0.001454,0.044705
-7.0,1060521,-32045.5,-0.030217,0.001111,0.076413
-6.5,1760790,-44798.0,-0.025442,0.000861,0.126868
-6.0,2860960,-71686.5,-0.025057,0.000675,0.206138
-5.5,4583523,-104029.5,-0.022696,0.000532,0.330252
-5.0,7030961,-152782.5,-0.02173,0.000429,0.506595
-4.5,10712162,-214370.5,-0.020012,0.000347,0.771833
-4.0,16208366,-291668.5,-0.017995,0.000282,1.167845
-3.5,23671533,-394991.5,-0.016686,0.000233,1.705582
-3.0,33707894,-515107.0,-0.015281,0.000195,2.428722
-2.5,47830505,-639629.5,-0.013373,0.000164,3.446284
-2.0,66349628,-766920.5,-0.011559,0.000139,4.780624
-1.5,92164103,-969853.5,-0.010523,0.000118,6.640609
-1.0,125512772,-1132010.0,-0.009019,0.000101,9.043448
-0.5,173525140,-1312038.5,-0.007561,8.5e-05,12.502836
0.0,208689459,-1279155.0,-0.006129,7.8e-05,15.036496
0.5,164572865,-807997.5,-0.00491,8.8e-05,11.857806
1.0,118134539,-392854.5,-0.003325,0.000104,8.511831
1.5,86828799,-150716.5,-0.001736,0.000121,6.25619
2.0,62188402,-12035.5,-0.000194,0.000142,4.4808
2.5,44639536,52524.5,0.001177,0.000168,3.216368
3.0,31291610,82747.5,0.002644,0.0002,2.254623
3.5,21815390,107280.0,0.004918,0.00024,1.571843
4.0,14854383,79913.0,0.00538,0.00029,1.070288
4.5,9749129,77475.0,0.007961,0.000358,0.702444
5.0,6347863,77236.5,0.012381,0.000442,0.457376
5.5,4124314,85863.5,0.021649,0.00055,0.297165
6.0,2557278,60160.0,0.024719,0.000702,0.184257
6.5,1563403,40670.0,0.027489,0.000896,0.112646
7.0,934601,28000.0,0.031712,0.001157,0.06734
7.5,540368,17138.5,0.033466,0.00152,0.038935
8.0,308469,9769.5,0.033366,0.002009,0.022226
8.5,168774,6003.5,0.037204,0.002711,0.012161
9.0,94527,2950.5,0.032998,0.003613,0.006811
9.5,47820,1911.0,0.042554,0.005082,0.003446
10.0,24952,1077.5,0.046308,0.007014,0.001798
10.5,12403,406.0,0.034946,0.009898,0.000894
11.0,5632,74.5,0.013989,0.014656,0.000406
11.5,2710,89.0,0.033903,0.021316,0.000195
12.0,1275,-6.5,-0.000139,0.031436,9.2e-05
12.5,537,80.0,0.152053,0.049983,3.9e-05
13.0,249,29.0,0.119639,0.070182,1.8e-05
13.5,102,14.0,0.16273,0.106802,7e-06
14.0,53,2.0,0.034157,0.148326,4e-06
14.5,14,-1.0,-0.071429,0.314842,1e-06
15.0,6,3.0,0.5,0.456435,0.0
15.5,1,0.5,0.5,0.0,0.0
16.0,1,-1.0,-1.0,0.0,0.0
16.5,2,2.0,1.0,0.0,0.0
