TrueCount,HandsPlayed,TotalPayout,EV,StdError
-24.0,1,1.000000,1.000000,0.000000
-23.5,1,-1.000000,-1.000000,0.000000
-23.0,3,1.000000,0.333333,0.544331
-22.5,3,0.000000,0.000000,0.471405
-22.0,8,0.000000,-0.000000,0.467707
-21.5,14,-4.000000,-0.285714,0.356121
-21.0,29,-9.000000,-0.310345,0.244334
-20.5,47,-28.000000,-0.595745,0.152420
-20.0,82,-22.500000,-0.274390,0.139886
-19.5,191,-44.000000,-0.230366,0.085047
-19.0,285,-63.000000,-0.221053,0.070793
-18.5,448,-87.000000,-0.194196,0.057847
-18.0,840,-7.000000,-0.008333,0.042558
-17.5,1251,-215.000000,-0.171863,0.033545
-17.0,2114,-254.000000,-0.120151,0.026437
-16.5,4275,-482.000000,-0.112749,0.018506
-16.0,5704,-761.000000,-0.133415,0.015878
-15.5,9018,-1197.500000,-0.132790,0.012506
-15.0,16591,-1890.000000,-0.113917,0.009287
-14.5,22533,-2679.500000,-0.118914,0.007907
-14.0,36220,-4220.500000,-0.116524,0.006225
-13.5,55190,-5082.500000,-0.092091,0.005046
-13.0,78892,-7146.000000,-0.090580,0.004223
-12.5,127122,-10203.500000,-0.080265,0.003321
-12.0,185470,-15663.000000,-0.084450,0.002743
-11.5,261669,-21633.000000,-0.082673,0.002304
-11.0,404649,-30956.000000,-0.076501,0.001848
-10.5,581425,-42953.000000,-0.073875,0.001540
-10.0,807141,-56597.000000,-0.070120,0.001302
-9.5,1036096,-68392.500000,-0.066010,0.001147
-9.0,1647725,-99387.500000,-0.060318,0.000909
-8.5,2127834,-123764.500000,-0.058165,0.000798
-8.0,3008680,-160617.000000,-0.053385,0.000669
-7.5,4007035,-197524.500000,-0.049294,0.000579
-7.0,5555613,-257288.000000,-0.046311,0.000490
-6.5,7658778,-323591.500000,-0.042251,0.000417
-6.0,9953987,-393823.000000,-0.039564,0.000365
-5.5,13400601,-488284.000000,-0.036437,0.000314
-5.0,18072971,-609019.000000,-0.033698,0.000270
-4.5,23966969,-722148.000000,-0.030131,0.000234
-4.0,31874851,-867022.000000,-0.027201,0.000202
-3.5,42137721,-1026203.000000,-0.024354,0.000176
-3.0,55882870,-1196472.000000,-0.021410,0.000152
-2.5,74990184,-1401193.000000,-0.018685,0.000131
-2.0,100288558,-1551246.500000,-0.015468,0.000113
-1.5,133544694,-1764694.500000,-0.013214,0.000098
-1.0,180050080,-1911813.500000,-0.010618,0.000084
-0.5,246927042,-1980866.000000,-0.008022,0.000072
0.0,342556274,-1916271.500000,-0.005594,0.000061
0.5,233185397,-658978.500000,-0.002826,0.000074
1.0,171724867,-32553.500000,-0.000190,0.000086
1.5,127159064,306393.000000,0.002410,0.000099
2.0,95579829,498271.500000,0.005213,0.000115
2.5,71489415,573160.500000,0.008029,0.000132
3.0,53265640,688941.000000,0.013077,0.000154
3.5,40346274,840543.500000,0.021499,0.000177
4.0,30546284,836296.000000,0.028671,0.000203
4.5,22946449,742384.000000,0.034123,0.000233
5.0,17334513,630329.000000,0.038468,0.000267
5.5,12853721,505719.000000,0.041632,0.000310
6.0,9541779,409314.500000,0.045468,0.000359
6.5,7328327,336255.000000,0.048645,0.000408
7.0,5311640,258099.000000,0.051480,0.000479
7.5,3819845,198955.500000,0.055319,0.000563
8.0,2870605,159998.500000,0.059056,0.000648
8.5,2024296,118237.000000,0.061853,0.000769
9.0,1568555,95732.500000,0.064729,0.000872
9.5,979015,63521.000000,0.068993,0.001101
10.0,763930,52974.500000,0.073628,0.001244
10.5,548655,39565.000000,0.076688,0.001464
11.0,381484,26993.000000,0.074984,0.001753
11.5,246054,18414.500000,0.079516,0.002175
12.0,175242,14369.500000,0.086987,0.002571
12.5,118948,8769.000000,0.078608,0.003112
13.0,74700,6268.000000,0.089241,0.003914
13.5,51458,4633.500000,0.095398,0.004703
14.0,33583,3111.500000,0.098773,0.005826
14.5,20947,1883.000000,0.096162,0.007358
15.0,15356,1513.000000,0.105149,0.008562
15.5,8122,694.000000,0.090025,0.011805
16.0,5108,596.500000,0.123445,0.014760
16.5,3964,459.500000,0.123899,0.016698
17.0,1963,195.000000,0.106380,0.023975
17.5,1165,48.000000,0.041542,0.031372
18.0,807,82.500000,0.105486,0.036638
18.5,446,64.500000,0.160618,0.051616
19.0,244,27.500000,0.111690,0.067097
19.5,179,14.000000,0.085670,0.079790
20.0,65,10.000000,0.149969,0.118467
20.5,74,31.500000,0.441086,0.119057
21.0,36,10.500000,0.307656,0.175902
21.5,13,-2.000000,-0.159341,0.267004
22.0,5,2.000000,0.500000,0.489898
22.5,1,-1.000000,-1.000000,0.000000
23.0,1,-1.000000,-1.000000,0.000000
