TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-12.5,1,-2.0,-2.0,0.0,0.0
-12.0,1,-1.0,-1.0,0.0,0.0
-11.5,15,-2.0,-0.133333,0.338187,1e-06
-11.0,50,-9.5,-0.19,0.1714,3e-06
-10.5,130,-20.0,-0.153846,0.100125,7e-06
-10.0,365,-56.5,-0.154795,0.061902,1.9e-05
-9.5,1078,-14.5,-0.013451,0.035724,5.5e-05
-9.0,3026,-63.5,-0.020985,0.021483,0.000154
-8.5,8657,-481.0,-0.055562,0.012477,0.00044
-8.0,21726,-1108.0,-0.050999,0.007908,0.001103
-7.5,54124,-3140.0,-0.058015,0.004974,0.002748
-7.0,124222,-6019.0,-0.048454,0.003273,0.006307
-6.5,279891,-12166.5,-0.043469,0.002185,0.014211
-6.0,621396,-26015.5,-0.041866,0.001461,0.031551
-5.5,1225110,-46229.5,-0.037735,0.001039,0.062205
-5.0,2471323,-87681.0,-0.035479,0.000729,0.125481
-4.5,4834784,-151977.5,-0.031434,0.000521,0.245486
-4.0,8805691,-248533.0,-0.028224,0.000385,0.447109
-3.5,15861622,-404726.5,-0.025516,0.000286,0.805374
-3.0,27138311,-605103.0,-0.022297,0.000218,1.377947
-2.5,46258540,-884267.5,-0.019116,0.000167,2.348777
-2.0,75095888,-1251259.5,-0.016662,0.000131,3.812992
-1.5,120683500,-1659635.0,-0.013752,0.000103,6.127703
-1.0,190523273,-2146665.5,-0.011267,8.2e-05,9.673816
-0.5,309916481,-2675715.0,-0.008634,6.4e-05,15.736004
0.0,408853899,-2495741.5,-0.006104,5.6e-05,20.75955
0.5,291430700,-1023542.0,-0.003512,6.6e-05,14.797389
1.0,179878224,-161878.0,-0.0009,8.4e-05,9.133314
1.5,113917087,218425.5,0.001917,0.000105,5.784138
2.0,70739528,314793.0,0.00445,0.000133,3.591798
2.5,43420726,304338.0,0.007009,0.00017,2.204687
3.0,25363138,322565.0,0.012863,0.000223,1.287813
3.5,14830989,332143.0,0.023395,0.000291,0.753043
4.0,8194619,234308.5,0.030218,0.000391,0.416082
4.5,4486986,145205.5,0.034227,0.000527,0.227827
5.0,2287438,81254.5,0.037549,0.000736,0.116145
5.5,1127293,44248.0,0.041441,0.001046,0.057238
6.0,567281,23702.0,0.044294,0.001471,0.028804
6.5,254938,11759.5,0.048612,0.002193,0.012944
7.0,112640,5628.0,0.053447,0.003288,0.005719
7.5,48121,2721.0,0.060074,0.005009,0.002443
8.0,19445,847.0,0.045762,0.00788,0.000987
8.5,7410,536.5,0.077998,0.012817,0.000376
9.0,2676,107.0,0.042768,0.02111,0.000136
9.5,983,19.0,0.021598,0.034671,5e-05
10.0,329,9.0,0.028505,0.060375,1.7e-05
10.5,113,19.0,0.173069,0.107293,6e-06
11.0,20,-2.5,-0.125,0.228788,1e-06
11.5,12,1.0,0.083333,0.327201,1e-06
12.0,1,1.0,1.0,0.0,0.0
12.5,1,-1.0,-1.0,0.0,0.0
