TrueCount,HandsPlayed,TotalPayout,EV,StdError
-3.5,4,-4.000000,-1.000000,0.000000
-3.0,43,0.000000,0.000000,0.184587
-2.5,467,-18.500000,-0.039615,0.051012
-2.0,4465,-54.500000,-0.012206,0.017191
-1.5,47589,-273.500000,-0.005747,0.005204
-1.0,584018,-6067.000000,-0.010388,0.001484
-0.5,5218012,-54152.500000,-0.010378,0.000496
0.0,71780328,-501937.000000,-0.006993,0.000133
0.5,38090915,-324820.500000,-0.008528,0.000183
1.0,43517800,-318887.500000,-0.007328,0.000171
1.5,40109139,-297612.500000,-0.007420,0.000178
2.0,39262926,-302893.500000,-0.007714,0.000180
2.5,38919959,-296420.500000,-0.007616,0.000181
3.0,37964355,-298286.000000,-0.007857,0.000183
3.5,36841127,-271083.500000,-0.007358,0.000186
4.0,36089584,-268407.000000,-0.007437,0.000188
4.5,35199792,-261605.500000,-0.007432,0.000190
5.0,33723824,-240566.500000,-0.007133,0.000194
5.5,32899436,-234715.000000,-0.007134,0.000197
6.0,32674248,-234057.500000,-0.007163,0.000198
6.5,31490124,-230121.500000,-0.007308,0.000201
7.0,30332837,-217704.000000,-0.007177,0.000205
7.5,30315001,-220207.000000,-0.007264,0.000205
8.0,28947754,-201857.500000,-0.006973,0.000210
8.5,28800284,-199429.000000,-0.006925,0.000210
9.0,27677136,-193496.000000,-0.006991,0.000215
9.5,26811460,-198193.500000,-0.007392,0.000218
10.0,26656753,-179361.500000,-0.006729,0.000219
10.5,25880333,-177844.500000,-0.006872,0.000222
11.0,25520761,-173087.500000,-0.006782,0.000224
11.5,24776628,-172931.000000,-0.006980,0.000227
12.0,24300498,-177072.500000,-0.007287,0.000229
12.5,23193924,-146319.500000,-0.006309,0.000234
13.0,23675889,-157003.000000,-0.006631,0.000232
13.5,22344610,-144107.500000,-0.006449,0.000239
14.0,22296967,-146248.500000,-0.006559,0.000239
14.5,21313391,-154539.000000,-0.007251,0.000244
15.0,21407888,-139993.500000,-0.006539,0.000244
15.5,20871207,-142907.500000,-0.006847,0.000247
16.0,20221958,-140474.000000,-0.006947,0.000251
16.5,20090304,-147020.000000,-0.007318,0.000252
17.0,19808265,-135442.500000,-0.006838,0.000254
17.5,18833128,-117293.000000,-0.006228,0.000260
18.0,18963485,-138333.000000,-0.007295,0.000259
18.5,18465421,-113247.500000,-0.006133,0.000263
19.0,18149325,-121075.000000,-0.006671,0.000265
19.5,17704788,-117563.000000,-0.006640,0.000268
20.0,17311915,-123787.500000,-0.007150,0.000271
20.5,17844416,-116527.500000,-0.006530,0.000267
21.0,16189331,-105574.000000,-0.006521,0.000280
21.5,16252217,-100139.500000,-0.006162,0.000280
22.0,16625634,-98654.000000,-0.005934,0.000277
22.5,15009154,-99431.500000,-0.006625,0.000291
23.0,15734537,-92700.000000,-0.005891,0.000284
23.5,15048910,-89320.000000,-0.005935,0.000291
24.0,14821100,-84742.500000,-0.005718,0.000293
24.5,14247634,-73086.000000,-0.005130,0.000299
25.0,13646343,-75378.000000,-0.005524,0.000305
25.5,14294120,-68417.000000,-0.004786,0.000298
26.0,11406310,-57558.500000,-0.005046,0.000334
26.5,12962382,-53374.000000,-0.004118,0.000313
27.0,11843744,-50936.000000,-0.004301,0.000327
27.5,11115897,-34026.500000,-0.003061,0.000337
28.0,10544638,-28100.000000,-0.002665,0.000347
28.5,9566775,-833.000000,-0.000087,0.000364
29.0,8963992,-4751.000000,-0.000530,0.000376
29.5,8020414,8873.500000,0.001106,0.000397
30.0,7411746,8961.500000,0.001209,0.000413
30.5,6512842,21386.500000,0.003284,0.000440
31.0,5688005,16115.500000,0.002833,0.000471
31.5,5157792,21116.500000,0.004094,0.000494
32.0,4302162,19331.500000,0.004493,0.000540
32.5,3589766,23394.000000,0.006517,0.000590
33.0,2930640,24238.500000,0.008271,0.000652
33.5,2489739,21011.500000,0.008439,0.000707
34.0,1886256,20748.500000,0.011000,0.000812
34.5,1454458,14346.500000,0.009864,0.000923
35.0,1250482,15213.500000,0.012166,0.000994
35.5,954166,12234.500000,0.012822,0.001138
36.0,656274,10730.000000,0.016350,0.001368
36.5,493986,8342.500000,0.016888,0.001577
37.0,362470,5986.000000,0.016514,0.001837
37.5,253237,4408.000000,0.017407,0.002196
38.0,172166,3043.000000,0.017675,0.002657
38.5,116798,2468.000000,0.021130,0.003225
39.0,89095,1467.000000,0.016466,0.003679
39.5,47253,1064.000000,0.022517,0.005052
40.0,34481,716.500000,0.020780,0.005910
40.5,20145,378.000000,0.018764,0.007700
41.0,14030,443.000000,0.031575,0.009285
41.5,7517,172.500000,0.022948,0.012565
42.0,4683,89.000000,0.019005,0.016089
42.5,2747,29.500000,0.010739,0.020799
43.0,1300,83.500000,0.064231,0.030609
43.5,874,-15.500000,-0.017735,0.036915
44.0,415,-21.000000,-0.050602,0.054813
44.5,247,-23.000000,-0.093117,0.067789
45.0,86,-1.500000,-0.017442,0.115535
45.5,73,16.500000,0.226027,0.134582
46.0,36,4.000000,0.111111,0.189532
46.5,17,0.000000,0.000000,0.220097
47.0,8,0.000000,0.000000,0.353553
47.5,1,0.000000,0.000000,0.000000
48.0,1,1.500000,1.500000,0.000000
