TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-2.5,9,4.0,0.444444,0.388448,0.0
-2.0,304,2.5,0.008224,0.064396,1.2e-05
-1.5,9647,-149.0,-0.015445,0.011598,0.000378
-1.0,284069,-3954.5,-0.013921,0.002129,0.011124
-0.5,5679862,-51970.5,-0.00915,0.000475,0.222413
0.0,71944527,-497552.0,-0.006916,0.000133,2.817221
0.5,53194550,-412664.5,-0.007758,0.000155,2.083005
1.0,60441818,-459457.0,-0.007602,0.000145,2.366796
1.5,57865650,-429485.5,-0.007422,0.000148,2.265917
2.0,54055033,-411809.5,-0.007618,0.000154,2.1167
2.5,51109634,-393025.5,-0.00769,0.000158,2.001364
3.0,50433992,-378601.5,-0.007507,0.000159,1.974907
3.5,49535612,-359324.0,-0.007254,0.00016,1.939728
4.0,47811303,-354810.0,-0.007421,0.000163,1.872207
4.5,46483230,-362055.5,-0.007789,0.000166,1.820202
5.0,45726476,-342490.0,-0.00749,0.000167,1.790569
5.5,44432134,-328971.0,-0.007404,0.000169,1.739884
6.0,42655938,-314281.0,-0.007368,0.000173,1.670332
6.5,42109093,-320188.0,-0.007604,0.000174,1.648918
7.0,40785923,-304962.5,-0.007477,0.000177,1.597105
7.5,39936914,-291887.5,-0.007309,0.000179,1.56386
8.0,38849241,-275153.0,-0.007083,0.000181,1.521268
8.5,38507066,-277813.5,-0.007215,0.000182,1.507869
9.0,36540868,-271791.0,-0.007438,0.000187,1.430876
9.5,35885501,-253289.0,-0.007058,0.000188,1.405213
10.0,35884792,-252932.0,-0.007048,0.000188,1.405186
10.5,34322023,-250233.5,-0.007291,0.000193,1.34399
11.0,33758313,-243256.5,-0.007206,0.000194,1.321916
11.5,32966495,-233770.5,-0.007091,0.000197,1.29091
12.0,32259027,-232743.0,-0.007215,0.000199,1.263207
12.5,31739908,-230312.0,-0.007256,0.0002,1.242879
13.0,30350425,-210912.0,-0.006949,0.000205,1.188469
13.5,30533674,-214049.0,-0.00701,0.000204,1.195645
14.0,29589268,-209912.0,-0.007094,0.000207,1.158664
14.5,28538415,-195765.5,-0.00686,0.000211,1.117514
15.0,28345555,-201833.5,-0.00712,0.000212,1.109962
15.5,27797697,-184651.0,-0.006643,0.000214,1.088509
16.0,26850957,-194187.0,-0.007232,0.000218,1.051436
16.5,26944465,-184512.0,-0.006848,0.000217,1.055098
17.0,25394892,-177574.5,-0.006993,0.000224,0.994419
17.5,26080785,-181610.5,-0.006963,0.000221,1.021278
18.0,25188807,-174225.5,-0.006917,0.000225,0.98635
18.5,24321017,-168337.5,-0.006921,0.000229,0.952368
19.0,24082845,-163010.0,-0.006769,0.00023,0.943042
19.5,23640766,-159619.0,-0.006752,0.000232,0.925731
20.0,23228427,-162625.0,-0.007001,0.000234,0.909584
20.5,22210123,-156944.0,-0.007066,0.000239,0.869709
21.0,22775150,-151765.5,-0.006664,0.000236,0.891835
21.5,21890399,-149612.5,-0.006835,0.000241,0.85719
22.0,21115629,-140467.0,-0.006652,0.000246,0.826851
22.5,21264070,-142820.5,-0.006717,0.000245,0.832664
23.0,20861561,-144407.5,-0.006922,0.000247,0.816902
23.5,20393467,-137862.5,-0.00676,0.00025,0.798572
24.0,19825924,-145653.5,-0.007347,0.000253,0.776348
24.5,19696207,-140638.5,-0.00714,0.000254,0.771269
25.0,19512670,-131023.0,-0.006715,0.000255,0.764082
25.5,17856604,-119564.0,-0.006696,0.000267,0.699233
26.0,20749759,-146291.5,-0.00705,0.000248,0.812524
26.5,17153760,-122430.5,-0.007137,0.000272,0.671711
27.0,18215213,-126958.5,-0.00697,0.000264,0.713276
27.5,17773268,-119006.0,-0.006696,0.000268,0.69597
28.0,17204126,-110328.5,-0.006413,0.000272,0.673683
28.5,17104277,-107990.0,-0.006314,0.000273,0.669773
29.0,17022306,-110360.5,-0.006483,0.000274,0.666564
29.5,16778908,-108184.0,-0.006448,0.000276,0.657033
30.0,15928671,-112749.0,-0.007078,0.000284,0.623739
30.5,16149706,-112471.5,-0.006964,0.000282,0.632394
31.0,16028097,-95033.5,-0.005929,0.000283,0.627632
31.5,15284304,-98085.0,-0.006417,0.00029,0.598507
32.0,15352022,-104863.5,-0.006831,0.000289,0.601158
32.5,15095618,-97801.5,-0.006479,0.000291,0.591118
33.0,14860317,-101573.5,-0.006835,0.000294,0.581904
33.5,14654616,-103095.5,-0.007035,0.000296,0.573849
34.0,14589085,-103850.0,-0.007118,0.000296,0.571283
34.5,13551784,-87277.0,-0.00644,0.000307,0.530664
35.0,14405038,-103192.5,-0.007164,0.000298,0.564076
35.5,13771588,-95279.5,-0.006919,0.000305,0.539271
36.0,13755862,-87725.5,-0.006377,0.000305,0.538655
36.5,13304313,-82977.5,-0.006237,0.00031,0.520974
37.0,13051240,-84795.0,-0.006497,0.000313,0.511064
37.5,13382530,-87898.5,-0.006568,0.000309,0.524036
38.0,12711823,-77310.0,-0.006082,0.000317,0.497773
38.5,12877022,-86353.0,-0.006706,0.000315,0.504242
39.0,12032216,-85041.0,-0.007068,0.000326,0.47116
39.5,12650543,-85001.0,-0.006719,0.000318,0.495373
40.0,12015143,-84417.0,-0.007026,0.000326,0.470492
40.5,11930897,-72017.0,-0.006036,0.000328,0.467193
41.0,11638339,-81301.5,-0.006986,0.000332,0.455737
41.5,11617102,-78668.5,-0.006772,0.000332,0.454905
42.0,11457655,-66642.5,-0.005816,0.000334,0.448662
42.5,11505633,-77817.0,-0.006763,0.000334,0.45054
43.0,11444888,-71332.0,-0.006233,0.000335,0.448162
43.5,10804769,-72978.0,-0.006754,0.000344,0.423096
44.0,10900001,-71820.0,-0.006589,0.000343,0.426825
44.5,10785752,-72618.0,-0.006733,0.000345,0.422351
45.0,10533393,-75308.0,-0.007149,0.000349,0.412469
45.5,10484738,-61825.5,-0.005897,0.000349,0.410564
46.0,10045661,-65152.0,-0.006486,0.000357,0.39337
46.5,10489417,-69378.5,-0.006614,0.000349,0.410747
47.0,10111472,-53640.0,-0.005305,0.000356,0.395948
47.5,9845544,-58501.0,-0.005942,0.000361,0.385534
48.0,9644296,-54027.5,-0.005602,0.000364,0.377654
48.5,9366719,-60038.0,-0.00641,0.00037,0.366784
49.0,9720087,-54527.5,-0.00561,0.000363,0.380622
49.5,8912668,-49433.5,-0.005546,0.000379,0.349004
50.0,9336198,-35604.0,-0.003814,0.000369,0.365589
50.5,9345521,-66617.0,-0.007128,0.000371,0.365954
51.0,7288172,-14751.5,-0.002024,0.000418,0.285392
51.5,10686992,-42219.0,-0.003951,0.000346,0.418484
52.0,5224380,-22137.5,-0.004237,0.000494,0.204578
52.5,10184464,-28958.0,-0.002843,0.000354,0.398806
53.0,5689069,-5246.5,-0.000922,0.000472,0.222774
53.5,8762483,-27426.0,-0.00313,0.000381,0.343123
54.0,5918346,8762.5,0.001481,0.000462,0.231752
54.5,7186413,-16188.5,-0.002253,0.000421,0.281407
55.0,5358188,4070.0,0.00076,0.000485,0.209817
55.5,6190302,5698.5,0.000921,0.000452,0.242401
56.0,4839012,12837.0,0.002653,0.00051,0.189487
56.5,4934846,18065.0,0.003661,0.000505,0.19324
57.0,4412059,14393.5,0.003262,0.000534,0.172768
57.5,3967337,13834.0,0.003487,0.000562,0.155354
58.0,3496928,19785.0,0.005658,0.000599,0.136934
58.5,2920611,22280.0,0.007629,0.000654,0.114366
59.0,2988327,21759.0,0.007281,0.000646,0.117018
59.5,2107946,18983.0,0.009005,0.000768,0.082543
60.0,2119821,18662.0,0.008804,0.000765,0.083008
60.5,1652410,21067.5,0.01275,0.000866,0.064705
61.0,1484202,19810.5,0.013348,0.000913,0.058119
61.5,1141487,15164.5,0.013285,0.00104,0.044699
62.0,907964,17027.0,0.018753,0.001165,0.035554
62.5,853793,13254.0,0.015524,0.001201,0.033433
63.0,572636,9488.5,0.01657,0.001462,0.022423
63.5,519068,10461.5,0.020154,0.001536,0.020326
64.0,361976,7287.0,0.020131,0.001835,0.014174
64.5,310394,6976.0,0.022475,0.001981,0.012154
65.0,193461,4082.0,0.0211,0.002511,0.007576
65.5,167491,3258.0,0.019452,0.002688,0.006559
66.0,128561,3037.5,0.023627,0.00307,0.005034
66.5,89673,2882.0,0.032139,0.003672,0.003511
67.0,63986,1245.5,0.019465,0.004344,0.002506
67.5,48234,1008.0,0.020898,0.004981,0.001889
68.0,31409,718.0,0.02286,0.006153,0.00123
68.5,20158,637.5,0.031625,0.007712,0.000789
69.0,17359,658.0,0.037905,0.008293,0.00068
69.5,9196,391.0,0.042518,0.011354,0.00036
70.0,6701,222.5,0.033204,0.013333,0.000262
70.5,4629,232.5,0.050227,0.016077,0.000181
71.0,2747,55.0,0.020022,0.020613,0.000108
71.5,1794,71.5,0.039855,0.025819,7e-05
72.0,1131,24.5,0.021662,0.032108,4.4e-05
72.5,753,16.0,0.021248,0.038949,2.9e-05
73.0,403,7.0,0.01737,0.053213,1.6e-05
