TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-21.5,1,2.0,2.0,0.0,0.0
-19.5,1,1.0,1.0,0.0,0.0
-18.0,1,-1.0,-1.0,0.0,0.0
-17.5,3,1.0,0.333333,0.981307,1e-06
-17.0,1,-1.0,-1.0,0.0,0.0
-16.5,1,1.0,1.0,0.0,0.0
-16.0,12,-3.0,-0.25,0.314576,3e-06
-15.5,15,0.0,0.0,0.266667,3e-06
-15.0,23,2.0,0.086957,0.218804,5e-06
-14.5,28,-6.0,-0.214286,0.204273,6e-06
-14.0,75,-19.5,-0.26,0.14122,1.6e-05
-13.5,106,-11.0,-0.103774,0.116828,2.3e-05
-13.0,171,-39.0,-0.22807,0.086563,3.7e-05
-12.5,236,-55.0,-0.233051,0.076116,5.1e-05
-12.0,404,-50.5,-0.125,0.056658,8.8e-05
-11.5,623,-45.0,-0.072231,0.047839,0.000135
-11.0,1050,-133.0,-0.126667,0.035726,0.000228
-10.5,1581,-78.5,-0.049652,0.029767,0.000343
-10.0,2354,-173.5,-0.073704,0.024225,0.000511
-9.5,3864,-265.5,-0.068711,0.018709,0.000839
-9.0,6980,-381.5,-0.054656,0.013856,0.001516
-8.5,9555,-496.5,-0.051962,0.011916,0.002076
-8.0,16367,-640.0,-0.039103,0.00905,0.003555
-7.5,25351,-762.0,-0.030058,0.007294,0.005507
-7.0,38191,-1312.0,-0.034354,0.00592,0.008296
-6.5,59675,-1985.5,-0.033272,0.004713,0.012963
-6.0,90748,-2938.5,-0.032381,0.003818,0.019714
-5.5,141578,-4256.0,-0.030061,0.003051,0.030756
-5.0,213319,-6194.5,-0.029039,0.002484,0.04634
-4.5,345061,-8386.5,-0.024304,0.001947,0.074959
-4.0,569757,-11507.0,-0.020196,0.001513,0.123771
-3.5,809991,-17325.0,-0.021389,0.001267,0.175958
-3.0,1030108,-21060.0,-0.020444,0.001124,0.223775
-2.5,1812903,-31230.5,-0.017227,0.000846,0.393826
-2.0,2108823,-37801.5,-0.017925,0.000784,0.45811
-1.5,3244659,-50535.0,-0.015575,0.000631,0.704853
-1.0,4361251,-58201.0,-0.013345,0.000544,0.947416
-0.5,5452881,-75847.0,-0.01391,0.000487,1.184556
0.0,58523503,-280520.5,-0.004793,0.000148,12.713349
0.5,8088438,-91882.5,-0.01136,0.000399,1.757091
1.0,8706124,-78417.5,-0.009007,0.000384,1.891274
1.5,8286165,-80704.0,-0.00974,0.000394,1.800044
2.0,9851316,-90061.5,-0.009142,0.000361,2.14005
2.5,8481574,-85599.5,-0.010092,0.000389,1.842494
3.0,9995418,-89363.5,-0.00894,0.000358,2.171354
3.5,9849773,-84016.0,-0.00853,0.000361,2.139715
4.0,10199012,-72664.0,-0.007125,0.000354,2.215582
4.5,8891588,-84538.0,-0.009508,0.00038,1.931563
5.0,8745188,-65363.0,-0.007474,0.000383,1.89976
5.5,10076468,-69839.5,-0.006931,0.000356,2.188961
6.0,9331538,-69447.5,-0.007442,0.00037,2.027136
6.5,8664722,-52980.0,-0.006114,0.000384,1.88228
7.0,8499380,-67903.5,-0.007989,0.000388,1.846362
7.5,8531059,-59579.5,-0.006984,0.000387,1.853244
8.0,8326107,-58355.5,-0.007009,0.000392,1.808721
8.5,7570865,-51758.5,-0.006837,0.000411,1.644656
9.0,8437503,-51572.0,-0.006112,0.000389,1.83292
9.5,7841720,-53605.5,-0.006836,0.000404,1.703495
10.0,7439499,-57907.5,-0.007784,0.000415,1.616119
10.5,7322081,-48581.5,-0.006635,0.000418,1.590612
11.0,7299150,-43029.5,-0.005895,0.000418,1.58563
11.5,7309864,-45291.5,-0.006196,0.000418,1.587958
12.0,7224673,-39256.0,-0.005434,0.00042,1.569451
12.5,6550454,-38206.5,-0.005833,0.000441,1.422987
13.0,6775838,-45506.5,-0.006716,0.000434,1.471949
13.5,6469289,-25786.5,-0.003986,0.000444,1.405356
14.0,6496039,-33241.5,-0.005117,0.000443,1.411167
14.5,5980129,-33757.5,-0.005645,0.000462,1.299093
15.0,6071720,-24702.5,-0.004068,0.000458,1.31899
15.5,6056771,-14625.5,-0.002415,0.000458,1.315742
16.0,5559883,-25851.5,-0.00465,0.000479,1.207801
16.5,5706107,-13521.5,-0.00237,0.000472,1.239566
17.0,5261513,-20682.0,-0.003931,0.000492,1.142984
17.5,5309776,-18272.0,-0.003441,0.000489,1.153469
18.0,5708963,-14641.0,-0.002565,0.000472,1.240186
18.5,4876857,-5574.5,-0.001143,0.00051,1.059424
19.0,5085436,-8602.0,-0.001691,0.0005,1.104734
19.5,4864706,-12244.0,-0.002517,0.000511,1.056784
20.0,4519221,3460.0,0.000766,0.000529,0.981733
20.5,4363141,-8603.0,-0.001972,0.000539,0.947827
21.0,4601744,4532.5,0.000985,0.000524,0.99966
21.5,4365799,1847.5,0.000423,0.000539,0.948404
22.0,3786234,770.0,0.000203,0.000578,0.822502
22.5,3929219,4303.0,0.001095,0.000567,0.853564
23.0,3793391,6133.5,0.001617,0.000576,0.824057
23.5,3603677,4781.5,0.001327,0.000591,0.782844
24.0,3563182,5266.0,0.001478,0.000595,0.774048
24.5,3365472,8616.0,0.00256,0.000612,0.731098
25.0,3843442,11404.0,0.002967,0.000572,0.83493
25.5,2880529,17303.0,0.006007,0.000659,0.625751
26.0,2473098,8427.0,0.003407,0.000713,0.537243
26.5,2561104,15977.5,0.006239,0.000699,0.556361
27.0,3236845,18419.5,0.005691,0.000622,0.703156
27.5,2613051,14060.0,0.005381,0.000693,0.567646
28.0,2459782,17579.0,0.007147,0.000713,0.534351
28.5,2231344,16164.0,0.007244,0.000748,0.484726
29.0,2117475,19689.5,0.009299,0.000767,0.45999
29.5,2016806,14947.5,0.007411,0.000786,0.438121
30.0,1720154,15400.5,0.008953,0.00085,0.373678
30.5,1978620,19523.5,0.009867,0.000793,0.429825
31.0,1660387,17635.0,0.010621,0.000864,0.360694
31.5,1723674,17696.0,0.010266,0.000849,0.374442
32.0,1140862,15645.0,0.013713,0.00104,0.247835
32.5,1583452,16722.5,0.010561,0.000885,0.343981
33.0,1368067,19577.0,0.01431,0.00095,0.297192
33.5,885590,10859.0,0.012262,0.001178,0.192381
34.0,1233264,18020.0,0.014612,0.001,0.267908
34.5,1031572,18166.0,0.01761,0.001092,0.224093
35.0,869756,14776.0,0.016989,0.001189,0.188941
35.5,686399,9932.5,0.01447,0.001337,0.14911
36.0,991942,16573.5,0.016708,0.001112,0.215484
36.5,536512,10426.5,0.019434,0.001508,0.116549
37.0,715362,12164.5,0.017005,0.001309,0.155402
37.5,709438,14804.0,0.020867,0.001313,0.154115
38.0,476742,10274.0,0.02155,0.0016,0.103565
38.5,411012,8668.5,0.021091,0.001723,0.089286
39.0,483996,11425.0,0.023606,0.001586,0.105141
39.5,429395,9907.5,0.023073,0.001683,0.09328
40.0,221498,5036.0,0.022736,0.002337,0.048117
40.5,456764,10532.0,0.023058,0.001631,0.099225
41.0,242398,4673.0,0.019278,0.002235,0.052657
41.5,216096,5532.5,0.025602,0.002368,0.046944
42.0,212136,5361.5,0.025274,0.002389,0.046083
42.5,190417,4475.5,0.023504,0.002516,0.041365
43.0,209927,4782.5,0.022782,0.002397,0.045603
43.5,101761,2832.5,0.027835,0.003429,0.022106
44.0,172953,4812.5,0.027825,0.002641,0.037571
44.5,47830,1673.5,0.034989,0.004978,0.01039
45.0,149290,4456.5,0.029851,0.002839,0.032431
45.5,72002,2498.5,0.0347,0.004081,0.015641
46.0,76765,2177.0,0.028359,0.003941,0.016676
46.5,68982,2144.0,0.031083,0.004178,0.014985
47.0,34671,1079.0,0.031122,0.005861,0.007532
47.5,69024,2525.0,0.036594,0.004174,0.014994
48.0,7712,197.0,0.025572,0.012418,0.001675
48.5,56536,2083.0,0.036898,0.00461,0.012282
49.0,1071,-15.0,-0.013979,0.033101,0.000233
49.5,42666,1618.5,0.038013,0.005281,0.009269
50.0,22152,838.0,0.038061,0.007334,0.004812
50.5,9159,484.0,0.053167,0.011367,0.00199
51.0,22558,1000.0,0.04488,0.007261,0.0049
52.0,16083,860.0,0.054759,0.008639,0.003494
53.0,11541,498.5,0.044433,0.010068,0.002507
53.5,2020,82.0,0.042295,0.023946,0.000439
54.0,6213,341.0,0.056083,0.013812,0.00135
54.5,5436,355.5,0.068321,0.014765,0.001181
55.0,17,-1.5,-0.088235,0.267098,4e-06
55.5,3727,209.5,0.058909,0.017847,0.00081
56.0,80,13.5,0.171178,0.124154,1.7e-05
56.5,2476,137.0,0.0576,0.021768,0.000538
57.0,334,-8.5,-0.03145,0.058842,7.3e-05
57.5,1304,122.5,0.097593,0.029408,0.000283
58.0,485,42.5,0.094878,0.048894,0.000105
58.5,598,36.5,0.063051,0.043959,0.00013
59.0,679,61.0,0.095152,0.041558,0.000148
59.5,28,7.5,0.266071,0.195902,6e-06
60.0,441,17.5,0.043497,0.050055,9.6e-05
60.5,47,15.0,0.33012,0.132401,1e-05
61.0,224,4.0,0.023926,0.071442,4.9e-05
61.5,53,9.0,0.169811,0.15091,1.2e-05
62.0,76,-2.5,-0.017956,0.124271,1.7e-05
62.5,36,2.5,0.08133,0.192003,8e-06
63.0,55,-5.0,-0.092929,0.132886,1.2e-05
63.5,44,11.5,0.270022,0.168093,1e-05
64.0,5,0.5,0.1,0.60663,1e-06
64.5,17,0.0,-0.0,0.220097,4e-06
65.0,5,-1.0,-0.2,0.438178,1e-06
65.5,18,-0.5,-0.012963,0.267318,4e-06
66.0,5,3.5,0.7,0.481664,1e-06
66.5,3,-1.5,-0.5,0.513701,1e-06
67.0,9,-2.5,-0.319444,0.320754,2e-06
68.0,1,1.0,1.0,0.0,0.0
70.0,1,-1.0,-1.0,0.0,0.0
71.0,1,-1.0,-1.0,0.0,0.0
71.5,1,1.5,1.5,0.0,0.0
