TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-73.5,1,-2.0,-2.0,0.0,0.0
-67.5,2,1.0,0.5,1.06066,0.0
-67.0,1,-1.0,-1.0,0.0,0.0
-66.5,1,-1.0,-1.0,0.0,0.0
-66.0,2,0.0,0.0,0.707107,0.0
-65.5,1,-1.0,-1.0,0.0,0.0
-65.0,1,-1.0,-1.0,0.0,0.0
-64.0,4,0.0,0.0,0.612372,0.0
-63.5,7,-2.0,-0.285714,0.389363,0.0
-63.0,2,0.0,0.0,0.707107,0.0
-62.0,6,-2.0,-0.333333,0.451335,0.0
-61.5,6,2.0,0.333333,0.561084,0.0
-61.0,6,2.0,0.333333,0.561084,0.0
-60.5,14,3.0,0.214286,0.306037,1e-06
-60.0,8,4.5,0.5625,0.511107,0.0
-59.5,14,-4.5,-0.321429,0.341093,1e-06
-59.0,15,-0.5,-0.033333,0.328182,1e-06
-58.5,17,-3.0,-0.176471,0.302645,1e-06
-58.0,24,-3.0,-0.125,0.237993,1e-06
-57.5,32,-1.0,-0.03125,0.247978,2e-06
-57.0,30,-9.0,-0.3,0.20629,1e-06
-56.5,34,3.5,0.102941,0.207743,2e-06
-56.0,48,0.0,0.0,0.181621,2e-06
-55.5,62,-2.0,-0.032258,0.157978,3e-06
-55.0,61,-3.5,-0.057377,0.147586,3e-06
-54.5,81,-8.0,-0.098765,0.123894,4e-06
-54.0,106,-1.0,-0.009434,0.111021,5e-06
-53.5,151,-23.5,-0.155629,0.096673,7e-06
-53.0,166,-39.0,-0.23494,0.093585,8e-06
-52.5,207,-47.0,-0.227053,0.083929,1e-05
-52.0,258,-31.5,-0.122093,0.073224,1.2e-05
-51.5,324,-55.5,-0.171296,0.065636,1.6e-05
-51.0,382,-3.5,-0.009162,0.059937,1.8e-05
-50.5,429,-79.5,-0.185315,0.05575,2.1e-05
-50.0,535,-85.5,-0.159813,0.051853,2.6e-05
-49.5,618,-56.5,-0.091424,0.048586,3e-05
-49.0,678,-113.0,-0.166667,0.044971,3.3e-05
-48.5,778,-105.0,-0.134961,0.044309,3.8e-05
-48.0,1044,-69.0,-0.066092,0.038001,5e-05
-47.5,1205,-66.0,-0.054772,0.034271,5.8e-05
-47.0,1399,-187.5,-0.134024,0.032175,6.8e-05
-46.5,1777,-189.0,-0.106359,0.028207,8.6e-05
-46.0,2098,-197.0,-0.093899,0.025606,0.000101
-45.5,2546,-254.5,-0.099961,0.023857,0.000123
-45.0,2950,-320.5,-0.108644,0.022083,0.000142
-44.5,3510,-350.0,-0.099715,0.02031,0.000169
-44.0,3819,-459.5,-0.120319,0.019157,0.000184
-43.5,4388,-469.5,-0.106996,0.017979,0.000212
-43.0,5535,-582.5,-0.105239,0.015885,0.000267
-42.5,6661,-605.5,-0.090902,0.014598,0.000321
-42.0,7378,-733.0,-0.099349,0.013897,0.000356
-41.5,8919,-806.5,-0.090425,0.012536,0.00043
-41.0,10203,-1140.0,-0.111732,0.011768,0.000492
-40.5,12170,-951.5,-0.078184,0.010693,0.000587
-40.0,14092,-1282.5,-0.091009,0.009986,0.00068
-39.5,16490,-1219.0,-0.073924,0.009218,0.000796
-39.0,16966,-1647.0,-0.097077,0.009069,0.000819
-38.5,21818,-1805.5,-0.082753,0.008032,0.001053
-38.0,25262,-2436.0,-0.096429,0.007434,0.001219
-37.5,27699,-2276.0,-0.082169,0.007057,0.001337
-37.0,34027,-2716.5,-0.079834,0.006393,0.001642
-36.5,37557,-2712.5,-0.072224,0.006094,0.001813
-36.0,45339,-3281.0,-0.072366,0.005527,0.002188
-35.5,48246,-3806.5,-0.078898,0.005344,0.002329
-35.0,58851,-4826.5,-0.082012,0.004848,0.00284
-34.5,66790,-4654.5,-0.069689,0.004554,0.003224
-34.0,73946,-5622.0,-0.076028,0.004315,0.003569
-33.5,84028,-6660.5,-0.079265,0.004041,0.004056
-33.0,100532,-6786.0,-0.067501,0.003697,0.004852
-32.5,111838,-7593.5,-0.067897,0.0035,0.005398
-32.0,125145,-8915.0,-0.071237,0.003316,0.00604
-31.5,148019,-10629.5,-0.071812,0.003041,0.007144
-31.0,166078,-11125.0,-0.066987,0.00287,0.008016
-30.5,187481,-12580.5,-0.067103,0.002705,0.009049
-30.0,215106,-14573.0,-0.067748,0.002518,0.010382
-29.5,239353,-16112.0,-0.067315,0.002385,0.011552
-29.0,265653,-16258.5,-0.061202,0.002264,0.012822
-28.5,298743,-17937.0,-0.060042,0.002133,0.014419
-28.0,351448,-20656.5,-0.058775,0.001964,0.016963
-27.5,393192,-23598.5,-0.060018,0.001855,0.018978
-27.0,438911,-25006.0,-0.056973,0.001755,0.021184
-26.5,470479,-27362.0,-0.058158,0.001693,0.022708
-26.0,574097,-32753.5,-0.057052,0.001532,0.027709
-25.5,594679,-30586.0,-0.051433,0.001504,0.028702
-25.0,693093,-35585.5,-0.051343,0.001394,0.033452
-24.5,782090,-38958.5,-0.049813,0.001311,0.037748
-24.0,881093,-44489.5,-0.050494,0.001233,0.042526
-23.5,959563,-49552.5,-0.051641,0.001181,0.046314
-23.0,1087739,-52599.5,-0.048357,0.001109,0.0525
-22.5,1174031,-54169.0,-0.046139,0.001067,0.056665
-22.0,1364736,-63175.5,-0.046291,0.000989,0.065869
-21.5,1501532,-69009.5,-0.045959,0.000942,0.072472
-21.0,1640164,-70316.0,-0.042871,0.000902,0.079163
-20.5,1878964,-80590.5,-0.042891,0.000841,0.090689
-20.0,2045793,-83701.5,-0.040914,0.000805,0.098741
-19.5,2268040,-93218.5,-0.041101,0.000765,0.109468
-19.0,2548037,-103305.0,-0.040543,0.000721,0.122982
-18.5,2776321,-108462.5,-0.039067,0.00069,0.134
-18.0,3085458,-115028.5,-0.037281,0.000654,0.148921
-17.5,3328308,-122749.5,-0.03688,0.000629,0.160642
-17.0,3906652,-140886.0,-0.036063,0.000581,0.188556
-16.5,4324335,-150241.0,-0.034743,0.000552,0.208715
-16.0,4485978,-151819.0,-0.033843,0.000541,0.216517
-15.5,5092619,-167963.0,-0.032982,0.000508,0.245797
-15.0,5666732,-175751.0,-0.031015,0.000481,0.273506
-14.5,6217539,-189251.0,-0.030438,0.000459,0.300091
-14.0,6876710,-205465.0,-0.029878,0.000436,0.331906
-13.5,7502512,-220967.0,-0.029452,0.000417,0.362111
-13.0,8265420,-223955.5,-0.027095,0.000397,0.398933
-12.5,9198223,-250555.0,-0.02724,0.000376,0.443955
-12.0,10094115,-261595.0,-0.025916,0.000359,0.487195
-11.5,11094678,-275918.5,-0.024869,0.000342,0.535488
-11.0,12113405,-291553.0,-0.024069,0.000327,0.584657
-10.5,13397203,-318701.0,-0.023789,0.000311,0.64662
-10.0,14996374,-333486.5,-0.022238,0.000294,0.723804
-9.5,16047906,-341687.0,-0.021292,0.000284,0.774557
-9.0,17701003,-371464.5,-0.020986,0.00027,0.854344
-8.5,19626553,-394724.5,-0.020112,0.000256,0.947281
-8.0,21522582,-402386.5,-0.018696,0.000245,1.038794
-7.5,23659933,-421454.0,-0.017813,0.000233,1.141954
-7.0,26140655,-447761.0,-0.017129,0.000222,1.261686
-6.5,28757871,-464418.5,-0.016149,0.000211,1.388007
-6.0,31461395,-485586.5,-0.015434,0.000202,1.518493
-5.5,34788184,-512614.5,-0.014735,0.000192,1.679062
-5.0,38425081,-529873.5,-0.01379,0.000182,1.854598
-4.5,42062162,-534436.0,-0.012706,0.000174,2.030143
-4.0,46413449,-564891.0,-0.012171,0.000166,2.240159
-3.5,51611418,-581347.5,-0.011264,0.000157,2.49104
-3.0,56020917,-595569.0,-0.010631,0.000151,2.703866
-2.5,62217616,-598337.0,-0.009617,0.000143,3.002951
-2.0,69256978,-615838.0,-0.008892,0.000135,3.342708
-1.5,76430796,-621645.5,-0.008133,0.000129,3.688955
-1.0,82440214,-599868.5,-0.007276,0.000124,3.979001
-0.5,86058344,-557843.0,-0.006482,0.000121,4.153631
0.0,140092377,-831734.0,-0.005937,9.5e-05,6.761599
0.5,83949049,-407332.0,-0.004852,0.000123,4.051825
1.0,78607088,-304880.5,-0.003879,0.000127,3.793994
1.5,72381919,-206653.5,-0.002855,0.000132,3.493534
2.0,65883490,-158587.0,-0.002407,0.000139,3.179886
2.5,59740839,-76901.0,-0.001287,0.000146,2.883409
3.0,53751969,-33619.5,-0.000625,0.000153,2.594354
3.5,49191521,5733.0,0.000117,0.00016,2.374243
4.0,44379143,62308.5,0.001404,0.000169,2.141972
4.5,40192754,87041.0,0.002166,0.000177,1.939915
5.0,36770565,111960.0,0.003045,0.000185,1.774742
5.5,33287434,125211.5,0.003762,0.000194,1.606628
6.0,30076577,135555.0,0.004507,0.000204,1.451655
6.5,27494541,157959.0,0.005745,0.000214,1.327032
7.0,24997378,154460.0,0.006179,0.000224,1.206506
7.5,22605545,162956.5,0.007209,0.000236,1.091063
8.0,20558021,157769.0,0.007674,0.000247,0.992239
8.5,18741603,161063.5,0.008594,0.000259,0.904569
9.0,16882494,166607.5,0.009869,0.000274,0.814838
9.5,15294053,148906.5,0.009738,0.000288,0.738172
10.0,14301087,160295.5,0.011225,0.000299,0.690246
10.5,12825434,175687.5,0.01377,0.000315,0.619023
11.0,11620272,173840.5,0.01511,0.000331,0.560856
11.5,10646883,182661.0,0.017389,0.000345,0.513875
12.0,9681709,185980.5,0.019572,0.000362,0.467291
12.5,8810526,196620.5,0.022935,0.000379,0.425243
13.0,7912460,192832.5,0.025255,0.000398,0.381897
13.5,7179951,201261.0,0.029169,0.000418,0.346542
14.0,6576185,190898.0,0.03037,0.000436,0.317401
14.5,5942358,184172.5,0.032552,0.000458,0.28681
15.0,5424104,180103.0,0.034957,0.000479,0.261796
15.5,4883499,170557.0,0.036886,0.000504,0.235704
16.0,4292347,153624.5,0.037857,0.000538,0.207171
16.5,4143548,154524.5,0.039529,0.000547,0.19999
17.0,3737644,143827.0,0.040828,0.000575,0.180398
17.5,3185261,129862.0,0.043235,0.000623,0.153738
18.0,2947805,125681.5,0.045211,0.000647,0.142277
18.5,2650224,111434.0,0.044599,0.000682,0.127914
19.0,2437392,102985.0,0.044884,0.00071,0.117641
19.5,2166444,98592.5,0.048466,0.000753,0.104564
20.0,1955222,87435.0,0.047443,0.000792,0.094369
20.5,1792108,83146.5,0.049298,0.000827,0.086497
21.0,1564983,72657.5,0.049216,0.000884,0.075534
21.5,1431152,68207.0,0.050743,0.000924,0.069075
22.0,1300255,65108.0,0.053246,0.000968,0.062757
22.5,1119103,55961.5,0.053195,0.001043,0.054014
