TrueCount,HandsPlayed,TotalPayout,EV,StdError
-30.5,2,-2.000000,-1.000000,0.000000
-30.0,1,-1.000000,-1.000000,0.000000
-29.0,1,1.000000,1.000000,0.000000
-28.5,2,-1.000000,-0.500000,1.060660
-28.0,2,-2.000000,-1.000000,0.000000
-27.5,4,-1.000000,-0.250000,0.649519
-27.0,11,4.500000,0.409091,0.307067
-26.5,10,-1.000000,-0.100000,0.298329
-26.0,14,-8.000000,-0.571429,0.298197
-25.5,21,-9.000000,-0.428571,0.265742
-25.0,55,6.000000,0.109091,0.167476
-24.5,78,-6.000000,-0.076923,0.137806
-24.0,113,8.500000,0.075221,0.109324
-23.5,201,-4.000000,-0.019900,0.086088
-23.0,357,-77.000000,-0.215686,0.061267
-22.5,502,-32.500000,-0.064741,0.052464
-22.0,887,-80.000000,-0.090192,0.040363
-21.5,1134,-74.500000,-0.065697,0.035078
-21.0,1865,-215.500000,-0.115550,0.027599
-20.5,3020,-195.500000,-0.064735,0.021446
-20.0,4369,-326.000000,-0.074617,0.017742
-19.5,6300,-531.000000,-0.084286,0.014823
-19.0,9472,-592.500000,-0.062553,0.012049
-18.5,13974,-883.000000,-0.063189,0.009936
-18.0,19113,-1375.500000,-0.071967,0.008442
-17.5,28155,-1768.000000,-0.062795,0.006998
-17.0,43722,-2852.000000,-0.065230,0.005575
-16.5,60308,-3337.000000,-0.055333,0.004751
-16.0,84219,-5414.000000,-0.064285,0.004006
-15.5,119216,-5900.000000,-0.049490,0.003365
-15.0,162986,-9410.000000,-0.057735,0.002877
-14.5,227237,-11499.500000,-0.050606,0.002430
-14.0,308057,-14941.500000,-0.048502,0.002089
-13.5,424078,-19003.000000,-0.044810,0.001775
-13.0,573645,-26385.500000,-0.045996,0.001525
-12.5,767109,-34910.500000,-0.045509,0.001320
-12.0,1028518,-42405.000000,-0.041229,0.001137
-11.5,1339939,-55538.500000,-0.041449,0.000996
-11.0,1784995,-68814.500000,-0.038552,0.000861
-10.5,2308063,-85398.500000,-0.037000,0.000757
-10.0,3069473,-112618.000000,-0.036690,0.000655
-9.5,3877951,-129877.500000,-0.033491,0.000583
-9.0,5031093,-169731.000000,-0.033736,0.000511
-8.5,6444469,-201188.500000,-0.031219,0.000451
-8.0,8108714,-236617.500000,-0.029181,0.000402
-7.5,10407752,-289848.500000,-0.027849,0.000354
-7.0,13023704,-348210.000000,-0.026737,0.000316
-6.5,16225294,-399860.000000,-0.024644,0.000283
-6.0,20550788,-468919.000000,-0.022818,0.000251
-5.5,25437367,-542461.000000,-0.021325,0.000225
-5.0,31464255,-622736.000000,-0.019792,0.000203
-4.5,39132049,-724511.000000,-0.018515,0.000181
-4.0,47967028,-821146.500000,-0.017119,0.000164
-3.5,60061982,-941040.500000,-0.015668,0.000146
-3.0,72399970,-1013157.500000,-0.013994,0.000133
-2.5,89587074,-1116848.000000,-0.012467,0.000119
-2.0,110185471,-1245459.500000,-0.011303,0.000108
-1.5,134009145,-1350558.500000,-0.010078,0.000097
-1.0,169768959,-1477104.500000,-0.008701,0.000086
-0.5,206417779,-1512933.500000,-0.007329,0.000078
0.0,244526396,-1484891.500000,-0.006073,0.000072
0.5,198503275,-952350.500000,-0.004798,0.000080
1.0,161879733,-540281.500000,-0.003338,0.000088
1.5,128396095,-247154.500000,-0.001925,0.000099
2.0,105460764,-52554.000000,-0.000498,0.000109
2.5,85728462,76790.000000,0.000896,0.000121
3.0,69211631,139799.500000,0.002020,0.000135
3.5,57342462,212883.500000,0.003712,0.000148
4.0,45746111,228050.500000,0.004985,0.000166
4.5,37274044,223829.500000,0.006005,0.000183
5.0,29938415,230350.000000,0.007694,0.000204
5.5,24188508,226074.500000,0.009364,0.000229
6.0,19498531,260204.500000,0.013503,0.000255
6.5,15445028,279596.500000,0.018577,0.000286
7.0,12395427,291834.000000,0.024560,0.000319
7.5,9875474,272118.500000,0.028978,0.000356
8.0,7698815,232959.000000,0.031967,0.000403
8.5,6107499,195638.500000,0.033896,0.000452
9.0,4764087,157737.500000,0.035039,0.000511
9.5,3680467,132083.000000,0.037961,0.000581
10.0,2904641,111861.000000,0.040709,0.000653
10.5,2182967,81102.000000,0.039410,0.000752
11.0,1686971,68984.000000,0.043359,0.000855
11.5,1263396,54158.500000,0.045368,0.000986
12.0,968397,41755.000000,0.045644,0.001125
12.5,720309,33023.500000,0.048511,0.001302
13.0,538711,25730.500000,0.050625,0.001508
13.5,398817,18987.500000,0.050307,0.001746
14.0,288391,15270.500000,0.055976,0.002054
14.5,212459,11500.000000,0.057214,0.002386
15.0,152205,7024.000000,0.048877,0.002817
15.5,111117,6755.500000,0.064387,0.003296
16.0,77894,4932.000000,0.066668,0.003933
16.5,56367,3634.500000,0.068110,0.004607
17.0,40833,2265.000000,0.058723,0.005407
17.5,26416,1999.500000,0.080688,0.006697
18.0,17615,1342.500000,0.080252,0.008270
18.5,13031,758.500000,0.061114,0.009523
19.0,8859,826.500000,0.100064,0.011573
19.5,5978,439.000000,0.077100,0.014140
20.0,4197,97.500000,0.024537,0.016711
20.5,2749,271.500000,0.102617,0.020803
21.0,1771,78.500000,0.047640,0.025722
21.5,1164,95.000000,0.084524,0.031638
22.0,778,74.500000,0.104536,0.037709
22.5,534,52.000000,0.105898,0.045787
23.0,322,13.500000,0.045627,0.060294
23.5,174,10.000000,0.050293,0.086103
24.0,134,-4.500000,-0.029791,0.093244
24.5,74,9.000000,0.132684,0.122708
25.0,53,15.500000,0.277897,0.146094
25.5,26,-5.000000,-0.221554,0.196915
26.0,20,14.000000,0.750000,0.201556
26.5,13,-7.000000,-0.538462,0.206847
27.0,7,1.000000,0.285714,0.426867
27.5,7,-0.500000,-0.095238,0.293911
28.0,1,1.000000,1.000000,0.000000
