TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-8.5,1,-2.0,-2.0,0.0,0.0
-8.0,3,0.0,0.0,0.816497,1e-06
-7.5,2,2.0,1.0,0.0,1e-06
-7.0,35,-1.0,-0.028571,0.206963,1.1e-05
-6.5,83,1.5,0.018072,0.140103,2.6e-05
-6.0,289,5.0,0.017301,0.069885,9e-05
-5.5,1006,-91.5,-0.090954,0.036326,0.000314
-5.0,2801,-227.0,-0.081042,0.022176,0.000875
-4.5,7256,-340.0,-0.046858,0.013742,0.002267
-4.0,24171,-1512.5,-0.062575,0.007482,0.007551
-3.5,64797,-2533.0,-0.039091,0.004558,0.020244
-3.0,166196,-6549.5,-0.039408,0.002833,0.051922
-2.5,437017,-13974.5,-0.031977,0.00174,0.136531
-2.0,1096373,-30917.5,-0.0282,0.001095,0.342525
-1.5,3108496,-63820.0,-0.020531,0.000647,0.971144
-1.0,7788267,-127882.0,-0.01642,0.000407,2.433181
-0.5,15756464,-221837.5,-0.014079,0.000286,4.922574
0.0,62313690,-341423.0,-0.005479,0.000143,19.467805
0.5,27236329,-293381.0,-0.010772,0.000217,8.50907
1.0,27999415,-195482.0,-0.006982,0.000213,8.74747
1.5,25964775,-155544.0,-0.005991,0.000221,8.111816
2.0,24259895,-119529.0,-0.004927,0.000229,7.579184
2.5,20634735,-89592.0,-0.004342,0.000248,6.446625
3.0,18685194,-58518.5,-0.003132,0.000261,5.837557
3.5,16506145,-13798.5,-0.000836,0.000277,5.156787
4.0,14972717,-5162.5,-0.000345,0.000291,4.677719
4.5,11462354,16190.0,0.001412,0.000332,3.581025
5.0,10030348,35755.5,0.003565,0.000354,3.133643
5.5,8620990,39786.0,0.004615,0.000381,2.693337
6.0,6084346,42627.0,0.007006,0.000453,1.900848
6.5,4769169,43479.0,0.009117,0.000511,1.489966
7.0,3870409,41437.0,0.010706,0.000566,1.209178
7.5,2705924,35622.0,0.013164,0.000675,0.845374
8.0,2012297,30499.0,0.015156,0.000782,0.628674
8.5,1156772,20592.5,0.017802,0.001029,0.361394
9.0,929229,15754.0,0.016954,0.001147,0.290306
9.5,592798,12800.5,0.021593,0.001433,0.1852
10.0,339884,7340.0,0.021596,0.001887,0.106185
10.5,240368,6299.5,0.026208,0.002242,0.075095
11.0,110958,2513.5,0.022653,0.003289,0.034665
11.5,54295,1095.5,0.020177,0.004697,0.016963
12.0,44463,1515.5,0.034085,0.005186,0.013891
12.5,18258,726.0,0.039763,0.008087,0.005704
13.0,10428,228.5,0.021912,0.010608,0.003258
13.5,3659,95.0,0.025963,0.017975,0.001143
14.0,1860,72.0,0.03871,0.025086,0.000581
14.5,466,-3.0,-0.006438,0.049658,0.000146
15.0,250,41.0,0.164,0.066786,7.8e-05
15.5,142,17.0,0.119718,0.093682,4.4e-05
16.0,28,4.5,0.160714,0.195703,9e-06
16.5,8,-3.0,-0.375,0.246063,2e-06
17.0,3,0.5,0.166667,0.593171,1e-06
17.5,1,1.0,1.0,0.0,0.0
18.5,1,1.0,1.0,0.0,0.0
