TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-18.0,1,-1.0,-1.0,0.0,0.0
-17.5,1,1.0,1.0,0.0,0.0
-17.0,10,7.0,0.7,0.44833,1e-06
-16.5,11,-6.0,-0.545455,0.29775,1e-06
-16.0,33,3.5,0.106061,0.205254,2e-06
-15.5,67,-12.0,-0.179104,0.136264,4e-06
-15.0,151,4.0,0.02649,0.098983,1e-05
-14.5,281,-36.5,-0.129893,0.070415,1.8e-05
-14.0,630,-16.0,-0.025397,0.048187,4e-05
-13.5,1375,-103.5,-0.075273,0.030915,8.7e-05
-13.0,2442,-132.0,-0.054054,0.023639,0.000154
-12.5,5066,-268.5,-0.053,0.0164,0.00032
-12.0,9908,-383.5,-0.038706,0.011599,0.000625
-11.5,18148,-962.5,-0.053036,0.008585,0.001145
-11.0,34337,-1526.0,-0.044442,0.006234,0.002167
-10.5,59135,-2430.0,-0.041092,0.004742,0.003732
-10.0,109435,-4306.5,-0.039352,0.003479,0.006907
-9.5,182453,-5501.0,-0.03015,0.002699,0.011515
-9.0,311787,-10623.5,-0.034073,0.00206,0.019678
-8.5,525644,-17277.5,-0.032869,0.001584,0.033175
-8.0,827554,-24383.5,-0.029465,0.001262,0.05223
-7.5,1361736,-40208.5,-0.029527,0.000981,0.085944
-7.0,2094539,-57700.0,-0.027548,0.000791,0.132193
-6.5,3181007,-81525.0,-0.025629,0.000641,0.200764
-6.0,4982770,-123469.0,-0.024779,0.000511,0.314479
-5.5,7224074,-170120.5,-0.023549,0.000424,0.455935
-5.0,10537920,-224060.0,-0.021262,0.000351,0.665083
-4.5,15357322,-304959.5,-0.019858,0.00029,0.969251
-4.0,21531602,-378985.5,-0.017601,0.000245,1.35893
-3.5,30780229,-523135.5,-0.016996,0.000204,1.942641
-3.0,41490911,-628977.5,-0.015159,0.000176,2.618627
-2.5,57149436,-758892.5,-0.013279,0.00015,3.606888
-2.0,77243253,-923217.5,-0.011952,0.000129,4.875074
-1.5,101847148,-1064460.5,-0.010452,0.000112,6.427907
-1.0,139968228,-1254893.0,-0.008966,9.5e-05,8.833853
-0.5,183539792,-1348706.5,-0.007348,8.3e-05,11.583796
0.0,223818788,-1351126.5,-0.006037,7.5e-05,14.125936
0.5,174469772,-846041.0,-0.004849,8.5e-05,11.011358
1.0,132419568,-424166.0,-0.003203,9.8e-05,8.357432
1.5,96386753,-148890.0,-0.001545,0.000115,6.083283
2.0,72842959,-4540.5,-6.2e-05,0.000132,4.597357
2.5,53723497,76912.5,0.001432,0.000153,3.390666
3.0,38854106,102207.0,0.002631,0.00018,2.45221
3.5,28693126,117425.0,0.004092,0.000209,1.810917
4.0,19976746,112843.0,0.005649,0.00025,1.260798
4.5,14190883,102893.5,0.007268,0.000296,0.895633
5.0,9677731,124903.0,0.01311,0.000358,0.610793
5.5,6620253,131466.0,0.020628,0.000434,0.417826
6.0,4553969,110655.5,0.025585,0.000526,0.287416
6.5,2888430,78895.0,0.028859,0.00066,0.182298
7.0,1892524,52722.0,0.029321,0.000813,0.119443
7.5,1223048,37180.0,0.032012,0.001011,0.077191
8.0,735897,22523.5,0.03227,0.001301,0.046445
8.5,466878,16770.0,0.037923,0.001629,0.029466
9.0,274095,9621.5,0.037042,0.002123,0.017299
9.5,158988,5661.0,0.037812,0.002779,0.010034
10.0,94676,4001.0,0.044454,0.003605,0.005975
10.5,50597,2035.0,0.042145,0.004927,0.003193
11.0,28964,848.5,0.030791,0.006513,0.001828
11.5,15098,526.5,0.036946,0.009049,0.000953
12.0,8332,315.5,0.039937,0.012078,0.000526
12.5,4378,189.0,0.044921,0.016615,0.000276
13.0,2195,146.5,0.066733,0.023415,0.000139
13.5,1165,99.5,0.089435,0.032244,7.4e-05
14.0,505,22.5,0.046944,0.04882,3.2e-05
14.5,261,-3.0,-0.008223,0.068317,1.6e-05
15.0,132,-2.0,-0.014034,0.092133,8e-06
15.5,58,12.0,0.210753,0.127344,4e-06
16.0,23,0.5,0.073455,0.246981,1e-06
16.5,9,3.0,0.222222,0.445215,1e-06
17.0,4,0.5,0.125,0.569402,0.0
17.5,1,0.0,0.0,0.0,0.0
