TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-39.0,1,1.0,1.0,0.0,0.0
-38.0,1,-1.0,-1.0,0.0,0.0
-37.0,2,-4.0,-2.0,0.0,0.0
-36.5,11,-14.0,-1.272727,0.260035,0.0
-36.0,8,-8.0,-1.0,0.306186,0.0
-35.5,22,-15.0,-0.681818,0.275639,1e-06
-35.0,2,1.0,0.5,1.06066,0.0
-34.5,52,-15.0,-0.288462,0.159364,2e-06
-34.0,26,-21.0,-0.807692,0.224394,1e-06
-33.5,75,-46.0,-0.613333,0.140972,3e-06
-33.0,32,-7.5,-0.234375,0.206089,1e-06
-32.5,276,-121.0,-0.438406,0.074602,1.2e-05
-32.0,47,-23.0,-0.489362,0.172517,2e-06
-31.5,271,-74.0,-0.273063,0.078952,1.2e-05
-31.0,718,-241.0,-0.335655,0.046467,3.2e-05
-30.5,300,-74.5,-0.248333,0.074068,1.3e-05
-30.0,207,-54.5,-0.263285,0.086674,9e-06
-29.5,1022,-355.5,-0.347847,0.038784,4.5e-05
-29.0,1960,-511.5,-0.260969,0.028777,8.7e-05
-28.5,1527,-442.5,-0.289784,0.031479,6.7e-05
-28.0,2223,-569.0,-0.25596,0.026578,9.8e-05
-27.5,1924,-472.5,-0.245582,0.028459,8.5e-05
-27.0,9038,-2464.5,-0.272682,0.013071,0.000399
-26.5,441,-123.5,-0.280045,0.058108,1.9e-05
-26.0,11303,-2815.5,-0.249093,0.011713,0.000499
-25.5,1449,-457.5,-0.315735,0.032847,6.4e-05
-25.0,23551,-5818.0,-0.247038,0.008068,0.00104
-24.5,13865,-3076.0,-0.221854,0.010531,0.000612
-24.0,17299,-3380.5,-0.195416,0.009427,0.000764
-23.5,28666,-6117.0,-0.213389,0.007268,0.001266
-23.0,44172,-9556.5,-0.216347,0.005852,0.001951
-22.5,57036,-10882.0,-0.190792,0.005138,0.002519
-22.0,33212,-5812.0,-0.174997,0.006743,0.001467
-21.5,54943,-10386.5,-0.189041,0.005221,0.002427
-21.0,140699,-24937.0,-0.177237,0.003253,0.006215
-20.5,99150,-15834.0,-0.159697,0.003866,0.00438
-20.0,88820,-14745.0,-0.16601,0.004079,0.003923
-19.5,284932,-44322.0,-0.155553,0.002273,0.012586
-19.0,177804,-26247.5,-0.14762,0.002873,0.007854
-18.5,313992,-44007.5,-0.140155,0.00216,0.01387
-18.0,348053,-46547.0,-0.133735,0.002048,0.015375
-17.5,586923,-75855.0,-0.129242,0.001572,0.025926
-17.0,365034,-45276.0,-0.124032,0.001992,0.016125
-16.5,629427,-75325.0,-0.119672,0.001512,0.027804
-16.0,660255,-74410.5,-0.1127,0.001475,0.029166
-15.5,1097286,-119666.5,-0.109057,0.001141,0.048471
-15.0,1173493,-119521.5,-0.101851,0.001102,0.051837
-14.5,1308997,-128584.5,-0.098231,0.00104,0.057823
-14.0,1567954,-146141.5,-0.093205,0.000949,0.069262
-13.5,2272950,-197421.5,-0.086857,0.000786,0.100404
-13.0,1958370,-164543.0,-0.08402,0.000846,0.086508
-12.5,2688806,-219883.5,-0.081777,0.00072,0.118773
-12.0,2972700,-225821.0,-0.075965,0.000684,0.131314
-11.5,4466450,-317917.0,-0.071179,0.000556,0.197297
-11.0,5458692,-359988.0,-0.065948,0.000502,0.241128
-10.5,5095805,-321343.0,-0.06306,0.000519,0.225098
-10.0,6992586,-419051.5,-0.059928,0.000442,0.308885
-9.5,8236640,-452342.5,-0.054918,0.000406,0.363839
-9.0,8935954,-466095.5,-0.05216,0.000389,0.39473
-8.5,11180679,-547736.5,-0.04899,0.000347,0.493887
-8.0,11715857,-530940.0,-0.045318,0.000339,0.517527
-7.5,17130984,-717704.0,-0.041895,0.00028,0.756731
-7.0,17982484,-692242.5,-0.038495,0.000272,0.794344
-6.5,21107477,-758949.5,-0.035956,0.000251,0.932385
-6.0,26853058,-871036.0,-0.032437,0.000222,1.186186
-5.5,28738410,-839914.0,-0.029226,0.000214,1.269468
