TrueCount,HandsPlayed,TotalPayout,EV,StdError
-11.5,1,-1.000000,-1.000000,0.000000
-11.0,1,1.000000,1.000000,0.000000
-10.5,1,-1.000000,-1.000000,0.000000
-10.0,9,4.500000,0.500000,0.293972
-9.5,42,1.000000,0.023810,0.173297
-9.0,261,-28.500000,-0.109195,0.073263
-8.5,926,-39.500000,-0.042657,0.038780
-8.0,3270,-248.500000,-0.075994,0.020301
-7.5,11185,-500.000000,-0.044703,0.011043
-7.0,34744,-1903.500000,-0.054786,0.006199
-6.5,102541,-4449.000000,-0.043388,0.003595
-6.0,286979,-11024.000000,-0.038414,0.002151
-5.5,715007,-26909.000000,-0.037635,0.001360
-5.0,1743315,-56620.000000,-0.032478,0.000869
-4.5,4053261,-114448.000000,-0.028236,0.000569
-4.0,8579804,-225947.500000,-0.026335,0.000390
-3.5,17676346,-402968.500000,-0.022797,0.000271
-3.0,34146369,-670735.000000,-0.019643,0.000195
-2.5,64116069,-1086430.000000,-0.016945,0.000142
-2.0,112034863,-1605362.500000,-0.014329,0.000107
-1.5,192060226,-2221893.500000,-0.011569,0.000082
-1.0,308524980,-2746374.500000,-0.008902,0.000064
-0.5,468426148,-3005162.000000,-0.006415,0.000052
0.0,845029780,-3305957.000000,-0.003912,0.000039
0.5,428132209,-501279.000000,-0.001171,0.000054
1.0,285235570,354121.500000,0.001242,0.000067
1.5,176112267,664505.000000,0.003773,0.000085
2.0,102028025,657777.500000,0.006447,0.000111
2.5,58013289,504924.000000,0.008704,0.000147
3.0,30627568,427688.000000,0.014115,0.000203
3.5,15771330,374324.500000,0.024715,0.000283
4.0,7585654,229512.500000,0.032027,0.000406
4.5,3555640,117963.500000,0.035009,0.000592
5.0,1514503,54709.000000,0.038211,0.000905
5.5,615260,24196.000000,0.041665,0.001416
6.0,242646,10797.000000,0.047045,0.002248
6.5,86576,3934.000000,0.048135,0.003763
7.0,28895,1508.000000,0.054641,0.006493
7.5,9205,544.500000,0.063055,0.011438
8.0,2753,135.000000,0.052677,0.020747
8.5,777,64.000000,0.087261,0.039133
9.0,186,14.000000,0.081485,0.080680
9.5,48,-8.000000,-0.139790,0.166204
10.0,5,-1.000000,-0.200000,0.334664
10.5,2,0.000000,0.000000,0.707107
11.0,2,1.000000,0.500000,1.060660
