TrueCount,HandsPlayed,TotalPayout,EV,StdError
-9.5,2,0.000000,0.000000,0.707107
-9.0,6,4.000000,0.666667,0.384900
-8.5,12,1.500000,0.125000,0.236621
-8.0,24,-2.000000,-0.083333,0.211777
-7.5,84,-16.500000,-0.196429,0.119647
-7.0,198,-2.500000,-0.012626,0.080764
-6.5,551,-28.000000,-0.050817,0.050085
-6.0,1371,-134.500000,-0.098104,0.031224
-5.5,3740,-34.000000,-0.009091,0.019030
-5.0,9697,-381.000000,-0.039291,0.011695
-4.5,23622,-952.500000,-0.040323,0.007538
-4.0,62312,-1982.000000,-0.031808,0.004623
-3.5,154541,-4259.000000,-0.027559,0.002923
-3.0,310402,-6369.500000,-0.020520,0.002053
-2.5,831910,-17290.000000,-0.020783,0.001252
-2.0,1934047,-34875.500000,-0.018032,0.000819
-1.5,4011097,-62557.500000,-0.015596,0.000569
-1.0,7694531,-102173.000000,-0.013279,0.000410
-0.5,12814476,-146305.500000,-0.011417,0.000318
0.0,173032970,-508094.000000,-0.002936,0.000086
0.5,25962106,-250316.500000,-0.009642,0.000223
1.0,32216290,-255734.000000,-0.007938,0.000200
1.5,35441105,-230392.000000,-0.006501,0.000190
2.0,38554493,-239892.500000,-0.006222,0.000182
2.5,37106149,-205618.000000,-0.005541,0.000186
3.0,37453976,-175805.000000,-0.004694,0.000185
3.5,37951043,-203695.000000,-0.005367,0.000184
4.0,37794186,-188663.000000,-0.004992,0.000184
4.5,32147618,-180088.500000,-0.005602,0.000200
5.0,29202483,-154260.500000,-0.005282,0.000209
5.5,35267599,-167572.000000,-0.004751,0.000190
6.0,33826982,-154679.000000,-0.004573,0.000194
6.5,31344956,-129542.000000,-0.004133,0.000202
7.0,29132451,-132168.000000,-0.004537,0.000209
7.5,30639669,-98915.500000,-0.003228,0.000204
8.0,28118968,-109006.500000,-0.003877,0.000213
8.5,26008169,-75493.000000,-0.002903,0.000221
9.0,28943495,-71585.000000,-0.002473,0.000210
9.5,25863638,-49221.500000,-0.001903,0.000222
10.0,24587390,-59396.000000,-0.002416,0.000228
10.5,23484943,-41252.500000,-0.001757,0.000233
11.0,23043909,-19811.500000,-0.000860,0.000235
11.5,20864791,14024.000000,0.000672,0.000246
12.0,22345742,12599.500000,0.000564,0.000238
12.5,19011159,36857.500000,0.001939,0.000258
13.0,16934513,31116.000000,0.001837,0.000273
13.5,17539631,54299.500000,0.003096,0.000268
14.0,16132422,56543.000000,0.003505,0.000279
14.5,12091532,69456.500000,0.005744,0.000322
15.0,13559476,79191.000000,0.005840,0.000304
15.5,13172236,87070.000000,0.006610,0.000309
16.0,9662520,76686.000000,0.007936,0.000360
16.5,9618853,92740.500000,0.009642,0.000360
17.0,7450590,73655.000000,0.009886,0.000409
17.5,6501561,69962.500000,0.010761,0.000437
18.0,7224982,91932.500000,0.012724,0.000414
18.5,5534625,71130.500000,0.012852,0.000473
19.0,4276359,60546.000000,0.014158,0.000537
19.5,3651874,60735.500000,0.016631,0.000580
20.0,2742285,45267.500000,0.016507,0.000669
20.5,2516597,43634.500000,0.017339,0.000698
21.0,2248219,47128.000000,0.020962,0.000737
21.5,1365058,26332.500000,0.019290,0.000945
22.0,1449710,33684.000000,0.023235,0.000916
22.5,827774,17984.000000,0.021726,0.001209
23.0,840885,20087.500000,0.023889,0.001200
23.5,560172,14810.500000,0.026439,0.001468
24.0,394245,9857.500000,0.025003,0.001747
24.5,361934,10349.500000,0.028595,0.001820
25.0,159636,4194.000000,0.026272,0.002740
25.5,225266,5667.000000,0.025157,0.002305
26.0,76534,2831.500000,0.036997,0.003946
26.5,105756,3609.500000,0.034130,0.003351
27.0,34449,1264.500000,0.036706,0.005840
27.5,36072,1442.000000,0.039976,0.005732
28.0,22752,648.000000,0.028481,0.007224
28.5,12175,503.000000,0.041314,0.009804
29.0,11281,461.500000,0.040909,0.010219
29.5,3909,176.000000,0.045024,0.017417
30.0,3995,122.500000,0.030663,0.017030
30.5,1502,135.000000,0.089880,0.028061
31.0,1044,-25.000000,-0.023946,0.032923
31.5,633,41.500000,0.065561,0.042830
32.0,280,-19.000000,-0.067857,0.065193
32.5,178,-13.000000,-0.073034,0.079460
33.0,123,7.000000,0.056911,0.099440
33.5,48,4.000000,0.083333,0.157518
34.0,13,3.000000,0.230769,0.264326
34.5,6,2.000000,0.333333,0.384900
35.0,1,-2.000000,-2.000000,0.000000
35.5,2,2.000000,1.000000,0.707107
36.5,2,1.000000,0.500000,1.060660
