TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-3.0,2,1.0,0.5,1.06066,0.0
-2.5,43,0.0,0.0,0.163619,1e-06
-2.0,984,36.5,0.037093,0.03669,1.8e-05
-1.5,29680,-571.5,-0.019255,0.006608,0.000554
-1.0,853791,-7589.5,-0.008889,0.001227,0.015942
-0.5,17054283,-129148.5,-0.007573,0.000274,0.318446
0.0,216032019,-1099575.5,-0.00509,7.7e-05,4.033853
0.5,160447773,-936318.0,-0.005836,8.9e-05,2.995957
1.0,182002595,-990184.0,-0.00544,8.4e-05,3.398439
1.5,174277471,-956589.5,-0.005489,8.6e-05,3.254192
2.0,162753305,-889881.5,-0.005468,8.8e-05,3.039007
2.5,153926062,-844355.5,-0.005485,9.1e-05,2.874181
3.0,151881105,-819780.0,-0.005398,9.2e-05,2.835997
3.5,149176589,-808479.5,-0.00542,9.2e-05,2.785497
4.0,143956157,-775325.0,-0.005386,9.4e-05,2.688018
4.5,139999894,-752572.0,-0.005376,9.5e-05,2.614145
5.0,137716687,-736416.0,-0.005347,9.6e-05,2.571512
5.5,133787912,-701008.5,-0.00524,9.8e-05,2.498152
6.0,128495982,-703752.0,-0.005477,0.0001,2.399338
6.5,126779444,-670270.0,-0.005287,0.0001,2.367286
7.0,122820379,-631972.0,-0.005145,0.000102,2.293361
7.5,120321949,-617221.5,-0.00513,0.000103,2.246709
8.0,116976444,-608336.0,-0.005201,0.000104,2.18424
8.5,115957164,-611367.5,-0.005272,0.000105,2.165208
9.0,110031702,-580089.5,-0.005272,0.000108,2.054564
9.5,108085457,-573526.0,-0.005306,0.000109,2.018223
10.0,108078802,-543228.0,-0.005026,0.000109,2.018099
10.5,103376081,-538685.0,-0.005211,0.000111,1.930288
11.0,101656167,-510049.5,-0.005017,0.000112,1.898172
11.5,99310090,-513221.0,-0.005168,0.000113,1.854365
12.0,97129695,-491765.0,-0.005063,0.000114,1.813652
12.5,95594170,-484828.5,-0.005072,0.000115,1.78498
13.0,91383976,-484111.5,-0.005298,0.000118,1.706365
13.5,91965443,-469842.0,-0.005109,0.000118,1.717223
14.0,89131074,-445959.0,-0.005003,0.00012,1.664298
14.5,85959701,-439846.5,-0.005117,0.000122,1.605081
15.0,85359146,-428729.0,-0.005023,0.000122,1.593867
15.5,83710246,-425153.5,-0.005079,0.000123,1.563078
16.0,80866638,-400497.5,-0.004953,0.000125,1.50998
16.5,81123265,-408063.0,-0.00503,0.000125,1.514772
17.0,76415467,-356068.0,-0.00466,0.000129,1.426866
17.5,78457419,-405318.0,-0.005166,0.000127,1.464994
18.0,75707787,-366144.0,-0.004836,0.00013,1.413652
18.5,72948624,-349606.0,-0.004792,0.000132,1.362132
19.0,72025856,-307595.0,-0.004271,0.000133,1.344901
19.5,70374367,-315769.5,-0.004487,0.000134,1.314064
20.0,68679551,-307447.5,-0.004477,0.000136,1.282417
20.5,65053444,-255292.5,-0.003924,0.00014,1.214709
21.0,65717063,-252529.5,-0.003843,0.000139,1.2271
21.5,61741613,-240272.5,-0.003892,0.000143,1.152869
22.0,58188705,-183001.0,-0.003145,0.000148,1.086527
22.5,56225057,-143003.5,-0.002543,0.00015,1.049861
23.0,52892967,-104831.0,-0.001982,0.000155,0.987643
23.5,48722525,-69519.5,-0.001427,0.000161,0.90977
24.0,43894024,-21110.5,-0.000481,0.00017,0.81961
24.5,40176988,16939.5,0.000422,0.000177,0.750204
25.0,35229400,43336.5,0.00123,0.000189,0.65782
25.5,29273797,68961.5,0.002356,0.000207,0.546614
26.0,27690270,86130.0,0.00311,0.000213,0.517046
26.5,20123510,94040.5,0.004673,0.000249,0.375756
27.0,17788752,89911.5,0.005054,0.000265,0.33216
27.5,13759243,81720.0,0.005939,0.000301,0.256919
28.0,10565189,72150.5,0.006829,0.000343,0.197278
28.5,7955162,69160.5,0.008694,0.000395,0.148543
29.0,5701105,59041.5,0.010356,0.000467,0.106454
29.5,4292302,51098.5,0.011905,0.000538,0.080148
30.0,2807221,32174.5,0.011461,0.000664,0.052418
30.5,1851632,27310.5,0.014749,0.000817,0.034575
31.0,1317296,19607.0,0.014884,0.000967,0.024597
31.5,759793,10903.0,0.01435,0.001273,0.014187
32.0,481981,6152.0,0.012764,0.001595,0.009
32.5,300096,4618.5,0.01539,0.002019,0.005604
33.0,154768,3409.0,0.022027,0.00281,0.00289
33.5,94233,2032.5,0.021569,0.003599,0.00176
34.0,50474,1198.0,0.023735,0.004897,0.000942
34.5,25395,723.5,0.02849,0.006915,0.000474
35.0,11622,221.5,0.019059,0.010152,0.000217
35.5,6267,24.5,0.003909,0.013849,0.000117
36.0,3082,86.5,0.028066,0.019828,5.8e-05
36.5,1329,37.0,0.02784,0.03005,2.5e-05
37.0,569,-25.0,-0.043937,0.045283,1.1e-05
37.5,246,11.0,0.044715,0.068927,5e-06
38.0,109,9.0,0.082569,0.107287,2e-06
38.5,30,-8.0,-0.266667,0.188169,1e-06
39.0,20,-1.0,-0.05,0.24975,0.0
39.5,2,1.0,0.5,1.06066,0.0
40.0,1,-1.0,-1.0,0.0,0.0
40.5,1,1.0,1.0,0.0,0.0
