TrueCount,HandsPlayed,TotalPayout,EV,StdError
-12.0,1,-1.000000,-1.000000,0.000000
-11.5,2,-1.000000,-0.500000,1.060660
-11.0,3,-2.000000,-0.666667,0.720082
-10.5,6,0.500000,0.083333,0.447472
-10.0,17,7.000000,0.411765,0.297729
-9.5,40,-10.500000,-0.262500,0.182849
-9.0,98,-7.000000,-0.071429,0.119871
-8.5,174,5.000000,0.028736,0.088729
-8.0,437,-11.000000,-0.025172,0.057742
-7.5,941,-17.000000,-0.018066,0.038525
-7.0,2411,-2.000000,-0.000830,0.023888
-6.5,5123,-230.000000,-0.044896,0.016276
-6.0,10735,-604.000000,-0.056265,0.011259
-5.5,23954,-1202.000000,-0.050180,0.007487
-5.0,53814,-2214.000000,-0.041142,0.004990
-4.5,111747,-3405.000000,-0.030471,0.003443
-4.0,256359,-8226.500000,-0.032090,0.002273
-3.5,557913,-14984.500000,-0.026858,0.001535
-3.0,827731,-20459.500000,-0.024718,0.001259
-2.5,1909416,-37856.500000,-0.019826,0.000827
-2.0,3719331,-68024.000000,-0.018289,0.000591
-1.5,6652316,-97091.000000,-0.014595,0.000442
-1.0,12521077,-162074.000000,-0.012944,0.000321
-0.5,20689639,-249677.500000,-0.012068,0.000250
0.0,184027489,-614153.000000,-0.003337,0.000083
0.5,38857484,-354361.500000,-0.009120,0.000182
1.0,42873702,-282432.000000,-0.006588,0.000173
1.5,41675446,-263431.000000,-0.006321,0.000175
2.0,45251313,-290637.500000,-0.006423,0.000168
2.5,39014375,-268922.500000,-0.006893,0.000181
3.0,44573490,-254181.500000,-0.005703,0.000169
3.5,42798738,-249584.000000,-0.005832,0.000173
4.0,43843214,-212164.500000,-0.004839,0.000171
4.5,40389419,-216782.000000,-0.005367,0.000178
5.0,35766580,-183668.000000,-0.005135,0.000189
5.5,40084139,-193190.500000,-0.004820,0.000179
6.0,35650638,-200316.500000,-0.005619,0.000189
6.5,34558787,-158395.000000,-0.004583,0.000192
7.0,35617516,-176710.500000,-0.004961,0.000190
7.5,32580186,-152264.500000,-0.004674,0.000198
8.0,33120203,-143234.000000,-0.004325,0.000196
8.5,28912210,-168306.500000,-0.005821,0.000210
9.0,31656643,-136089.500000,-0.004299,0.000201
9.5,29515712,-115378.500000,-0.003909,0.000208
10.0,28617763,-158564.000000,-0.005541,0.000212
10.5,28496075,-90793.500000,-0.003186,0.000211
11.0,28202966,-83625.500000,-0.002965,0.000213
11.5,27182152,-119751.000000,-0.004406,0.000217
12.0,24876617,-97596.000000,-0.003923,0.000226
12.5,23197697,-65995.500000,-0.002845,0.000234
13.0,28294315,-114281.000000,-0.004039,0.000212
13.5,21846946,-73502.500000,-0.003364,0.000242
14.0,23009066,-51137.500000,-0.002222,0.000235
14.5,24265986,-96408.500000,-0.003973,0.000229
15.0,21046347,-51315.000000,-0.002438,0.000246
15.5,20444903,-57823.500000,-0.002828,0.000250
16.0,20479777,-36851.500000,-0.001799,0.000249
16.5,21866318,-89685.500000,-0.004102,0.000242
17.0,17128911,24990.000000,0.001459,0.000272
17.5,22438686,-67938.000000,-0.003028,0.000238
18.0,18758259,17985.500000,0.000959,0.000260
18.5,16822327,-28781.500000,-0.001711,0.000275
19.0,17544586,11819.000000,0.000674,0.000269
19.5,17854493,5021.500000,0.000281,0.000266
20.0,16932222,-23357.500000,-0.001379,0.000274
20.5,14664495,31121.000000,0.002122,0.000294
21.0,17706974,-4091.500000,-0.000231,0.000268
21.5,15382402,42760.500000,0.002780,0.000286
22.0,12896378,28953.500000,0.002245,0.000313
22.5,13734245,49284.500000,0.003588,0.000303
23.0,15241521,30072.500000,0.001973,0.000288
23.5,12199759,72369.500000,0.005932,0.000321
24.0,12217728,55177.500000,0.004516,0.000321
24.5,12859215,62987.000000,0.004898,0.000313
25.0,11101487,75273.000000,0.006780,0.000336
25.5,10989218,58083.000000,0.005285,0.000338
26.0,9759243,71934.000000,0.007371,0.000358
26.5,10182904,70574.000000,0.006931,0.000351
27.0,8984976,88639.000000,0.009865,0.000372
27.5,9562983,87067.000000,0.009105,0.000361
28.0,7997917,88373.500000,0.011050,0.000394
28.5,6594637,91757.000000,0.013914,0.000433
29.0,7092028,80922.500000,0.011410,0.000418
29.5,7506471,97754.500000,0.013023,0.000406
30.0,5718166,76962.500000,0.013459,0.000465
30.5,4913740,74967.500000,0.015257,0.000500
31.0,6906625,101638.000000,0.014716,0.000423
31.5,3723892,62542.500000,0.016795,0.000574
32.0,5808220,94128.000000,0.016206,0.000460
32.5,3415872,66938.500000,0.019596,0.000597
33.0,3655577,67654.500000,0.018507,0.000579
33.5,3584825,78955.500000,0.022025,0.000583
34.0,1681451,39729.000000,0.023628,0.000849
34.5,4228455,95034.500000,0.022475,0.000537
35.0,1250545,32544.000000,0.026024,0.000985
35.5,2476664,62148.000000,0.025093,0.000701
36.0,1880154,47596.000000,0.025315,0.000803
36.5,1889035,49661.500000,0.026289,0.000801
37.0,1443433,43035.500000,0.029815,0.000915
37.5,1441828,42195.000000,0.029265,0.000915
38.0,1081535,32020.000000,0.029606,0.001054
38.5,1069622,35232.000000,0.032981,0.001061
39.0,555431,18859.500000,0.034003,0.001469
39.5,439888,15689.500000,0.035759,0.001645
40.0,952008,36395.500000,0.038436,0.001122
40.5,298075,11880.000000,0.040165,0.001996
41.0,676022,28410.500000,0.042646,0.001330
41.5,197596,9062.500000,0.046623,0.002449
42.0,317877,14360.500000,0.046281,0.001938
42.5,281131,14182.500000,0.051770,0.002055
43.0,215855,12387.500000,0.059562,0.002344
43.5,182074,11180.500000,0.063719,0.002543
44.0,18628,1390.500000,0.078390,0.007887
44.5,237284,15358.000000,0.067615,0.002227
45.0,10104,696.000000,0.072501,0.010669
45.5,141575,9732.500000,0.072236,0.002875
46.0,14070,1022.500000,0.076230,0.009005
46.5,87389,6599.000000,0.079575,0.003647
47.0,7357,711.000000,0.102657,0.012515
47.5,46292,3351.000000,0.076353,0.004987
