TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-3.5,2,1.0,0.5,0.353553,0.0
-3.0,34,-1.5,-0.044118,0.202031,0.0
-2.5,420,29.0,0.069048,0.056869,5e-06
-2.0,7143,-141.0,-0.01974,0.013402,8.6e-05
-1.5,114693,-1347.5,-0.011749,0.003345,0.001385
-1.0,2092659,-22695.0,-0.010845,0.000781,0.025275
-0.5,30868175,-233116.0,-0.007552,0.000203,0.372817
0.0,251652105,-1262365.5,-0.005016,7.1e-05,3.039381
0.5,224071270,-1278733.0,-0.005707,7.5e-05,2.706267
1.0,234383544,-1273241.5,-0.005432,7.4e-05,2.830816
1.5,210907733,-1149131.0,-0.005449,7.7e-05,2.547282
2.0,201136727,-1077276.0,-0.005356,7.9e-05,2.429271
2.5,194183135,-1034259.5,-0.005326,8.1e-05,2.345287
3.0,187084209,-1018639.5,-0.005445,8.2e-05,2.259549
3.5,183524723,-979932.0,-0.00534,8.3e-05,2.216558
4.0,174951631,-927073.0,-0.005299,8.5e-05,2.113015
4.5,168658186,-892794.5,-0.005294,8.7e-05,2.037004
5.0,165330068,-851478.0,-0.00515,8.8e-05,1.996808
5.5,157936381,-789322.0,-0.004998,9e-05,1.90751
6.0,152499425,-805740.0,-0.005284,9.1e-05,1.841844
6.5,148745514,-743316.5,-0.004997,9.2e-05,1.796505
7.0,143546262,-732896.5,-0.005106,9.4e-05,1.73371
7.5,139025009,-674228.0,-0.00485,9.5e-05,1.679104
8.0,135118639,-659075.5,-0.004878,9.7e-05,1.631924
8.5,130118465,-667428.5,-0.005129,9.9e-05,1.571533
9.0,128055636,-644030.5,-0.005029,9.9e-05,1.546619
9.5,121906311,-591234.5,-0.00485,0.000102,1.472349
10.0,120200494,-589467.5,-0.004904,0.000103,1.451747
10.5,117265623,-591517.5,-0.005044,0.000104,1.4163
11.0,113603213,-516608.5,-0.004547,0.000106,1.372066
11.5,110127356,-535108.0,-0.004859,0.000107,1.330086
