TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-19.5,1,1.0,1.0,0.0,0.0
-19.0,2,0.0,0.0,0.707107,0.0
-18.5,2,0.0,0.0,0.707107,0.0
-18.0,8,-3.5,-0.4375,0.462985,0.0
-17.5,7,0.5,0.071429,0.383706,0.0
-17.0,6,1.0,0.166667,0.495349,0.0
-16.5,18,-1.0,-0.055556,0.298889,1e-06
-16.0,22,-11.0,-0.5,0.263087,1e-06
-15.5,50,-13.0,-0.26,0.154428,3e-06
-15.0,63,2.0,0.031746,0.142801,4e-06
-14.5,92,-6.5,-0.070652,0.117718,5e-06
-14.0,189,-22.0,-0.116402,0.082383,1.1e-05
-13.5,272,-22.0,-0.080882,0.0689,1.6e-05
-13.0,437,-43.0,-0.098398,0.056135,2.6e-05
-12.5,736,-81.5,-0.110734,0.043281,4.3e-05
-12.0,1234,-110.5,-0.089546,0.033431,7.3e-05
-11.5,2051,-64.5,-0.031448,0.026073,0.000121
-11.0,3184,-180.5,-0.05669,0.020558,0.000188
-10.5,4751,-133.0,-0.027994,0.016986,0.00028
-10.0,7030,-465.5,-0.066216,0.013932,0.000415
-9.5,11468,-476.0,-0.041507,0.010932,0.000676
-9.0,20682,-1030.0,-0.049802,0.008074,0.00122
-8.5,28522,-1520.0,-0.053292,0.006872,0.001682
-8.0,49051,-1652.5,-0.033689,0.005204,0.002893
-7.5,75585,-2940.5,-0.038903,0.004197,0.004457
-7.0,115736,-3913.0,-0.03381,0.003388,0.006825
-6.5,180374,-5383.0,-0.029844,0.002709,0.010637
-6.0,272513,-8229.0,-0.030197,0.002201,0.016071
-5.5,423802,-11404.0,-0.026909,0.001764,0.024993
-5.0,642669,-14988.0,-0.023321,0.00143,0.0379
-4.5,1036408,-23550.0,-0.022723,0.001124,0.06112
-4.0,1716923,-33383.0,-0.019444,0.000872,0.101252
-3.5,2437978,-46261.5,-0.018975,0.00073,0.143775
-3.0,3092353,-56104.5,-0.018143,0.000648,0.182365
-2.5,5448956,-82140.0,-0.015074,0.000488,0.321341
-2.0,6334462,-98334.5,-0.015524,0.000452,0.373562
-1.5,9756478,-135912.5,-0.01393,0.000364,0.575369
-1.0,13098262,-152347.5,-0.011631,0.000314,0.772444
-0.5,16433517,-188246.5,-0.011455,0.00028,0.969134
0.0,175687912,-522240.0,-0.002973,8.5e-05,10.360842
0.5,24321591,-238433.0,-0.009803,0.00023,1.434317
1.0,26370061,-209402.5,-0.007941,0.000221,1.555121
1.5,25011599,-190843.5,-0.00763,0.000227,1.475009
2.0,29727767,-214926.0,-0.00723,0.000208,1.753135
2.5,25626888,-199243.0,-0.007775,0.000224,1.511294
3.0,30082533,-203671.5,-0.00677,0.000206,1.774057
3.5,29793509,-186670.0,-0.006265,0.000207,1.757012
4.0,30730507,-176599.0,-0.005747,0.000204,1.81227
4.5,26866128,-182984.5,-0.006811,0.000218,1.584376
5.0,26318821,-162895.5,-0.006189,0.00022,1.5521
5.5,30360027,-160308.0,-0.00528,0.000205,1.790422
6.0,28204264,-158341.5,-0.005614,0.000213,1.66329
6.5,26241802,-154892.5,-0.005903,0.000221,1.547558
7.0,25610222,-156989.0,-0.00613,0.000224,1.510312
7.5,25864166,-132047.5,-0.005105,0.000222,1.525287
8.0,25152764,-127849.5,-0.005083,0.000225,1.483334
8.5,22964985,-117740.5,-0.005127,0.000236,1.354314
9.0,25496997,-115014.5,-0.004511,0.000224,1.503634
9.5,23776952,-113216.0,-0.004762,0.000232,1.402198
10.0,22817218,-124967.0,-0.005477,0.000237,1.3456
10.5,22277786,-121939.0,-0.005474,0.00024,1.313788
11.0,22264363,-98317.0,-0.004416,0.00024,1.312996
11.5,22119392,-113589.0,-0.005135,0.00024,1.304447
12.0,22290374,-102195.5,-0.004585,0.000239,1.31453
12.5,20007749,-73545.5,-0.003676,0.000253,1.179917
13.0,21050184,-131941.0,-0.006268,0.000247,1.241392
13.5,20016672,-76735.5,-0.003834,0.000252,1.180443
14.0,20129775,-88968.5,-0.00442,0.000252,1.187113
14.5,18701165,-100718.0,-0.005386,0.000262,1.102864
15.0,18955517,-70259.0,-0.003707,0.000259,1.117864
15.5,19110240,-65844.0,-0.003445,0.000258,1.126988
16.0,17482679,-78991.5,-0.004518,0.00027,1.031006
16.5,18657240,-77889.5,-0.004175,0.000262,1.100273
17.0,16389204,-53326.5,-0.003254,0.000279,0.96652
17.5,17760583,-93301.5,-0.005253,0.000268,1.047395
18.0,18412888,-48091.5,-0.002612,0.000263,1.085863
18.5,16160918,-52500.5,-0.003249,0.000281,0.953058
19.0,16811408,-57323.5,-0.00341,0.000275,0.991419
19.5,16226863,-59095.0,-0.003642,0.00028,0.956947
20.0,15969373,-56280.5,-0.003524,0.000283,0.941762
20.5,14589988,-35278.0,-0.002418,0.000295,0.860415
21.0,16558661,-50164.5,-0.00303,0.000277,0.976514
21.5,15450522,-55125.5,-0.003568,0.000287,0.911164
22.0,13654658,-38245.0,-0.002801,0.000305,0.805256
22.5,14465082,-31151.0,-0.002154,0.000297,0.853049
23.0,15028157,-52391.0,-0.003486,0.000291,0.886255
23.5,13951883,-25352.5,-0.001817,0.000302,0.822784
24.0,13576743,-25919.0,-0.001909,0.000306,0.800661
24.5,13771792,-36813.0,-0.002673,0.000304,0.812164
25.0,14743074,-12656.0,-0.000858,0.000293,0.869443
25.5,12686126,-11464.5,-0.000904,0.000316,0.748139
26.0,10947480,-33095.5,-0.003023,0.000341,0.645606
26.5,12102714,-16211.0,-0.001339,0.000324,0.713733
27.0,13594439,5211.0,0.000383,0.000305,0.801705
27.5,12596152,-13355.5,-0.00106,0.000318,0.742833
28.0,11559675,-5434.5,-0.00047,0.000331,0.681709
28.5,11338694,630.0,5.6e-05,0.000334,0.668677
29.0,11883703,7955.0,0.000669,0.000327,0.700818
29.5,11554378,-5031.5,-0.000435,0.000332,0.681396
30.0,9751571,4433.5,0.000455,0.00036,0.575079
30.5,10969449,25869.5,0.002358,0.00034,0.646901
31.0,11731741,-10401.0,-0.000887,0.000329,0.691856
31.5,9179773,22047.0,0.002402,0.000371,0.541359
32.0,10437466,2614.5,0.00025,0.000349,0.615529
32.5,10058507,32058.0,0.003187,0.000354,0.59318
33.0,9145971,24973.5,0.002731,0.000371,0.539365
33.5,9096797,15200.5,0.001671,0.000373,0.536465
34.0,8002674,51138.5,0.00639,0.000396,0.471942
34.5,11407730,30717.5,0.002693,0.000333,0.672748
35.0,5933040,39597.0,0.006674,0.00046,0.349889
35.5,9442796,34612.0,0.003665,0.000366,0.55687
36.0,8251236,48519.5,0.00588,0.00039,0.4866
36.5,7963660,37596.0,0.004721,0.000398,0.469641
37.0,7366302,47538.5,0.006454,0.000413,0.434413
37.5,8420297,56280.5,0.006684,0.000386,0.49657
38.0,6575869,46886.0,0.00713,0.000437,0.387799
38.5,7393664,47006.0,0.006358,0.000412,0.436027
39.0,6934727,74269.5,0.01071,0.000424,0.408962
39.5,5418349,55409.0,0.010226,0.00048,0.319536
40.0,7267204,55411.5,0.007625,0.000416,0.428569
40.5,5350164,65251.5,0.012196,0.000483,0.315515
41.0,7068355,62574.5,0.008853,0.000421,0.416842
41.5,4453091,57145.0,0.012833,0.00053,0.262612
42.0,5545329,67309.0,0.012138,0.000474,0.327025
42.5,5797393,70266.5,0.01212,0.000464,0.34189
43.0,4787090,59653.0,0.012461,0.00051,0.282309
43.5,5231615,66936.0,0.012795,0.000489,0.308524
44.0,3239993,58863.0,0.018168,0.000617,0.191072
44.5,6136890,69532.0,0.01133,0.000452,0.361911
45.0,2652444,49445.5,0.018641,0.000683,0.156423
45.5,4873980,64564.0,0.013249,0.000507,0.287433
46.0,3576947,69092.0,0.019319,0.000588,0.210943
46.5,4079143,57762.5,0.01417,0.000554,0.240559
47.0,3092241,61605.5,0.019933,0.000632,0.182359
47.5,2886114,47257.0,0.016406,0.000658,0.170203
48.0,3798047,82038.0,0.021648,0.000571,0.223982
48.5,1461386,25899.5,0.017787,0.000924,0.086182
49.0,4409749,96875.5,0.022061,0.000531,0.260056
49.5,215806,8364.0,0.038869,0.002354,0.012727
50.0,5009401,115850.0,0.023337,0.000497,0.295419
50.5,27896,1147.5,0.041363,0.006522,0.001645
51.0,4457633,122976.5,0.027967,0.000527,0.26288
51.5,1,-1.0,-1.0,0.0,0.0
52.0,3908294,119276.5,0.031233,0.000563,0.230484
53.0,3392884,116683.5,0.035334,0.000603,0.200089
53.5,5871,446.5,0.078419,0.014165,0.000346
54.0,2927143,114517.0,0.040606,0.000648,0.172622
54.5,32641,1871.5,0.05996,0.006013,0.001925
55.0,1325866,61496.0,0.048349,0.000959,0.07819
55.5,1195558,44037.0,0.038471,0.001018,0.070506
56.0,1067910,52406.0,0.051388,0.001065,0.062978
56.5,1063890,45798.5,0.045081,0.001075,0.062741
57.0,555562,29763.0,0.05641,0.001471,0.032763
57.5,1200777,53986.5,0.047257,0.001009,0.070813
58.0,442135,25112.0,0.059848,0.001646,0.026074
58.5,1035536,49313.5,0.050067,0.001085,0.061069
59.0,193452,11864.5,0.06462,0.002478,0.011408
59.5,994699,48906.0,0.051756,0.001103,0.05866
60.0,149652,8687.0,0.061372,0.002811,0.008825
60.5,512592,29150.0,0.060005,0.001531,0.030229
61.0,419267,22916.5,0.057697,0.001696,0.024725
61.5,225501,13300.0,0.061897,0.002297,0.013298
62.0,528680,28989.5,0.057718,0.001507,0.031178
62.5,173705,10229.5,0.062252,0.002616,0.010244
63.0,425816,24799.0,0.061333,0.001676,0.025112
63.5,133888,7506.5,0.059252,0.002974,0.007896
64.0,338965,20219.0,0.062806,0.001874,0.01999
64.5,101977,6693.5,0.069192,0.003401,0.006014
65.0,111539,6938.0,0.065709,0.003262,0.006578
65.5,191846,11941.5,0.065408,0.002489,0.011314
66.0,127441,7031.0,0.058177,0.003038,0.007516
66.5,148559,9379.5,0.066885,0.002821,0.008761
67.0,96267,5928.5,0.065129,0.003497,0.005677
67.5,114366,7072.0,0.065186,0.003211,0.006745
68.0,29297,2024.0,0.0725,0.006295,0.001728
68.5,130345,7756.5,0.062542,0.003001,0.007687
69.0,21088,1247.5,0.062069,0.007419,0.001244
69.5,97246,6055.5,0.065791,0.003467,0.005735
70.0,15325,1413.5,0.096653,0.008672,0.000904
70.5,32852,2544.0,0.081584,0.00594,0.001937
71.0,50320,3392.0,0.070647,0.004813,0.002968
71.5,19520,1477.5,0.080129,0.007694,0.001151
72.0,40846,2936.0,0.076405,0.005339,0.002409
72.5,13953,996.5,0.076063,0.009086,0.000823
73.0,29839,2053.5,0.072604,0.006207,0.00176
73.5,9980,770.0,0.08165,0.010704,0.000589
74.0,17875,1292.5,0.076339,0.008021,0.001054
74.5,3921,265.5,0.071749,0.017171,0.000231
75.0,18889,1408.0,0.078597,0.007819,0.001114
75.5,2671,181.0,0.069899,0.020722,0.000158
76.0,5260,385.5,0.078412,0.014637,0.00031
76.5,9633,595.5,0.065635,0.010867,0.000568
77.0,3482,255.0,0.079996,0.017841,0.000205
77.5,6712,459.5,0.072079,0.013028,0.000396
78.0,2293,153.5,0.071318,0.021976,0.000135
78.5,4634,373.0,0.086204,0.015626,0.000273
79.0,1469,73.5,0.053634,0.027559,8.7e-05
79.5,3104,263.0,0.087669,0.018996,0.000183
80.0,979,74.0,0.074806,0.034701,5.8e-05
80.5,334,37.0,0.116602,0.056378,2e-05
81.0,1799,120.5,0.069523,0.024683,0.000106
81.5,729,117.5,0.172459,0.039158,4.3e-05
82.0,1128,8.5,0.008787,0.031622,6.7e-05
82.5,373,41.5,0.114545,0.054349,2.2e-05
83.0,844,28.5,0.034736,0.03651,5e-05
83.5,236,31.0,0.136947,0.071104,1.4e-05
84.0,535,34.0,0.067607,0.045715,3.2e-05
84.5,118,14.0,0.118194,0.100106,7e-06
85.0,351,-8.0,-0.018118,0.056952,2.1e-05
85.5,78,12.5,0.170189,0.127074,5e-06
86.0,12,-1.5,-0.125,0.277169,1e-06
86.5,216,50.0,0.241151,0.071267,1.3e-05
87.0,8,1.0,0.125,0.327753,0.0
87.5,126,20.5,0.174663,0.093451,7e-06
88.0,42,3.5,0.095524,0.157699,2e-06
88.5,64,-4.5,-0.068539,0.132089,4e-06
89.0,11,5.0,0.454545,0.290728,1e-06
89.5,36,3.0,0.090774,0.160369,2e-06
90.0,12,-1.5,-0.090278,0.336794,1e-06
90.5,24,-7.5,-0.327381,0.200227,1e-06
91.0,11,4.5,0.386364,0.28041,1e-06
91.5,2,0.0,0.0,0.707107,0.0
92.0,25,-1.5,-0.04,0.201832,1e-06
92.5,1,-1.0,-1.0,0.0,0.0
93.0,11,0.5,0.075758,0.270216,1e-06
94.0,3,0.5,0.5,0.612372,0.0
94.5,1,-1.0,-1.0,0.0,0.0
95.0,2,0.0,0.0,0.707107,0.0
96.5,2,-2.0,-1.0,0.0,0.0
102.0,1,-1.0,-1.0,0.0,0.0
