TrueCount,HandsPlayed,TotalPayout,EV,StdError
-5.5,2,1.000000,0.500000,1.060660
-5.0,15,8.000000,0.533333,0.296148
-4.5,76,-13.000000,-0.171053,0.116413
-4.0,442,15.000000,0.033937,0.054109
-3.5,2524,69.500000,0.027536,0.022917
-3.0,12778,-414.000000,-0.032399,0.010183
-2.5,63660,-1223.500000,-0.019219,0.004542
-2.0,333153,-4323.500000,-0.012978,0.001984
-1.5,1778019,-19558.500000,-0.011000,0.000857
-1.0,9943053,-97293.500000,-0.009785,0.000362
-0.5,42506948,-320307.500000,-0.007535,0.000175
0.0,223440890,-1220371.000000,-0.005462,0.000076
0.5,138564268,-907840.000000,-0.006552,0.000097
1.0,156314939,-943969.000000,-0.006039,0.000091
1.5,150267569,-887313.000000,-0.005905,0.000093
2.0,142676213,-864881.000000,-0.006062,0.000095
2.5,136324492,-818224.500000,-0.006002,0.000097
3.0,134407814,-780480.500000,-0.005807,0.000098
3.5,132895716,-780602.500000,-0.005874,0.000099
4.0,128486476,-750592.500000,-0.005842,0.000100
4.5,125139194,-755622.500000,-0.006038,0.000102
5.0,123678629,-720227.000000,-0.005823,0.000102
5.5,120442228,-691874.500000,-0.005744,0.000104
6.0,115968815,-665506.000000,-0.005739,0.000106
6.5,114716625,-652601.500000,-0.005689,0.000106
7.0,111776763,-647590.000000,-0.005794,0.000108
7.5,109274013,-621316.000000,-0.005686,0.000109
8.0,106946441,-597128.500000,-0.005583,0.000110
8.5,105560329,-583442.500000,-0.005527,0.000111
9.0,101310892,-572144.500000,-0.005647,0.000113
9.5,99213815,-543048.500000,-0.005474,0.000114
10.0,99594390,-554437.500000,-0.005567,0.000114
10.5,95467410,-536254.500000,-0.005617,0.000116
11.0,93985070,-536976.000000,-0.005713,0.000117
11.5,92095944,-521822.500000,-0.005666,0.000119
12.0,90269283,-495231.500000,-0.005486,0.000120
12.5,88470236,-482300.000000,-0.005452,0.000121
13.0,86408812,-463670.000000,-0.005366,0.000122
13.5,85306781,-460366.000000,-0.005397,0.000123
14.0,83437816,-454243.500000,-0.005444,0.000125
14.5,81105172,-449437.000000,-0.005541,0.000126
15.0,80206907,-448435.000000,-0.005591,0.000127
15.5,78755338,-428505.500000,-0.005441,0.000128
16.0,76367323,-401494.500000,-0.005257,0.000130
16.5,76611437,-416106.500000,-0.005431,0.000130
17.0,72841405,-378068.000000,-0.005190,0.000133
17.5,74167412,-404134.000000,-0.005449,0.000132
18.0,71983752,-390219.500000,-0.005421,0.000134
18.5,70044457,-371250.500000,-0.005300,0.000136
19.0,69042510,-368143.000000,-0.005332,0.000137
19.5,68092402,-373295.500000,-0.005482,0.000138
20.0,66601906,-357409.500000,-0.005366,0.000139
20.5,64387871,-313823.000000,-0.004874,0.000142
21.0,65618700,-335260.000000,-0.005109,0.000140
21.5,63447201,-323051.500000,-0.005092,0.000143
22.0,61127891,-330461.500000,-0.005406,0.000145
22.5,61485226,-320005.000000,-0.005205,0.000145
23.0,60787466,-302011.500000,-0.004968,0.000146
23.5,59269575,-298767.000000,-0.005041,0.000148
24.0,57662497,-281044.000000,-0.004874,0.000150
24.5,57401301,-297343.000000,-0.005180,0.000150
25.0,56437960,-309046.500000,-0.005476,0.000151
25.5,53810095,-260212.000000,-0.004836,0.000155
26.0,58436564,-308183.000000,-0.005274,0.000149
26.5,51832687,-251363.500000,-0.004850,0.000158
27.0,53056794,-273223.500000,-0.005150,0.000156
27.5,52180678,-257579.000000,-0.004936,0.000157
28.0,50759682,-256319.500000,-0.005050,0.000160
28.5,50497303,-254648.000000,-0.005043,0.000160
29.0,49716174,-251665.500000,-0.005062,0.000161
29.5,49825547,-242043.500000,-0.004858,0.000161
30.0,47141519,-242286.000000,-0.005140,0.000166
30.5,47732149,-232922.000000,-0.004880,0.000165
31.0,47793687,-235885.500000,-0.004935,0.000164
31.5,44749067,-226116.000000,-0.005053,0.000170
32.0,45606802,-209945.500000,-0.004603,0.000168
32.5,44902452,-211046.500000,-0.004700,0.000170
33.0,44006848,-207739.500000,-0.004721,0.000171
33.5,43523706,-208445.000000,-0.004789,0.000172
34.0,42777565,-218218.000000,-0.005101,0.000174
34.5,43034280,-177941.500000,-0.004135,0.000173
35.0,41168686,-222136.500000,-0.005396,0.000177
35.5,40800316,-214921.500000,-0.005268,0.000178
36.0,40924870,-197568.000000,-0.004828,0.000178
36.5,40002221,-192194.000000,-0.004805,0.000180
37.0,39379833,-190323.000000,-0.004833,0.000182
37.5,39246087,-201826.000000,-0.005143,0.000182
38.0,38342142,-180678.500000,-0.004712,0.000184
38.5,38304209,-183517.500000,-0.004791,0.000184
39.0,36693563,-168643.500000,-0.004596,0.000188
39.5,37588883,-176160.500000,-0.004687,0.000186
40.0,36324330,-170128.000000,-0.004684,0.000189
40.5,35984213,-164024.500000,-0.004558,0.000190
41.0,35406178,-161685.000000,-0.004567,0.000192
41.5,34600219,-166196.500000,-0.004803,0.000194
42.0,34831129,-159555.000000,-0.004581,0.000193
42.5,34668687,-166889.500000,-0.004814,0.000194
43.0,34550861,-161858.500000,-0.004685,0.000194
43.5,32706311,-141774.500000,-0.004335,0.000199
44.0,32810988,-160218.500000,-0.004883,0.000199
44.5,32563021,-153047.000000,-0.004700,0.000200
45.0,32071033,-139754.000000,-0.004358,0.000201
45.5,32082049,-159035.000000,-0.004957,0.000201
46.0,30408441,-141593.000000,-0.004656,0.000207
46.5,32096858,-153370.500000,-0.004778,0.000201
47.0,30786950,-156041.000000,-0.005068,0.000206
47.5,29794169,-135456.500000,-0.004546,0.000209
48.0,30060584,-137618.000000,-0.004578,0.000208
48.5,28756316,-132843.500000,-0.004620,0.000213
49.0,30036694,-142692.500000,-0.004751,0.000208
49.5,28320059,-134930.500000,-0.004764,0.000214
50.0,29158922,-124729.000000,-0.004278,0.000211
50.5,26847697,-134597.500000,-0.005013,0.000220
51.0,28470237,-78839.500000,-0.002769,0.000213
51.5,33275281,-175001.000000,-0.005259,0.000198
52.0,16653765,-93448.500000,-0.005611,0.000280
52.5,33264066,-187778.500000,-0.005645,0.000198
53.0,25794001,-42329.500000,-0.001641,0.000224
53.5,25872480,-163314.000000,-0.006312,0.000224
54.0,26615179,-101143.500000,-0.003800,0.000221
54.5,25261847,-120533.000000,-0.004771,0.000227
55.0,25249904,-108774.500000,-0.004308,0.000227
55.5,25652080,-126558.000000,-0.004934,0.000225
56.0,24745359,-114279.500000,-0.004618,0.000229
56.5,24568665,-109799.500000,-0.004469,0.000230
57.0,24738092,-109854.500000,-0.004441,0.000229
57.5,24689524,-102441.500000,-0.004149,0.000229
58.0,23248329,-110746.500000,-0.004764,0.000236
58.5,23708048,-103110.000000,-0.004349,0.000234
59.0,23887741,-98677.000000,-0.004131,0.000233
59.5,22622279,-97459.000000,-0.004308,0.000240
60.0,23307490,-112598.500000,-0.004831,0.000236
60.5,22518102,-108471.000000,-0.004817,0.000240
61.0,22269015,-101469.000000,-0.004557,0.000242
61.5,21936808,-93429.000000,-0.004259,0.000243
62.0,21802130,-95848.500000,-0.004396,0.000244
62.5,22621931,-104949.000000,-0.004639,0.000240
63.0,21392172,-95711.000000,-0.004474,0.000247
63.5,21199871,-97090.500000,-0.004580,0.000248
64.0,21064141,-89188.000000,-0.004234,0.000248
64.5,21744945,-112921.000000,-0.005193,0.000245
65.0,19635676,-73482.500000,-0.003742,0.000257
65.5,20942997,-105960.000000,-0.005059,0.000249
66.0,20515538,-88203.500000,-0.004299,0.000252
66.5,19478150,-92396.000000,-0.004744,0.000258
67.0,20301224,-84227.000000,-0.004149,0.000253
67.5,20008966,-79120.500000,-0.003954,0.000255
68.0,18900854,-93721.000000,-0.004959,0.000262
68.5,19857499,-85822.500000,-0.004322,0.000256
69.0,19977233,-79198.500000,-0.003964,0.000255
69.5,18482191,-86995.500000,-0.004707,0.000265
70.0,18342468,-76687.500000,-0.004181,0.000266
70.5,18957505,-69579.500000,-0.003670,0.000262
71.0,18283587,-83204.500000,-0.004551,0.000267
71.5,18210110,-83063.000000,-0.004561,0.000267
72.0,18319997,-81158.500000,-0.004430,0.000266
72.5,18284967,-82403.500000,-0.004507,0.000267
73.0,17205593,-74592.000000,-0.004335,0.000275
73.5,17643994,-77511.500000,-0.004393,0.000271
74.0,17901020,-80620.000000,-0.004504,0.000269
74.5,16628492,-66762.500000,-0.004015,0.000280
75.0,17688575,-80949.000000,-0.004576,0.000271
75.5,17169826,-77433.000000,-0.004510,0.000275
76.0,16716308,-76456.000000,-0.004574,0.000279
76.5,16576246,-70379.500000,-0.004246,0.000280
77.0,17306161,-76829.000000,-0.004439,0.000274
77.5,14190632,-43274.500000,-0.003050,0.000302
78.0,19286580,-109420.500000,-0.005673,0.000260
78.5,13826136,-49677.000000,-0.003593,0.000306
79.0,16826011,-76105.000000,-0.004523,0.000278
79.5,15702287,-75223.000000,-0.004791,0.000288
80.0,15540639,-63258.500000,-0.004071,0.000289
80.5,15939028,-68511.000000,-0.004298,0.000286
81.0,15058400,-65754.500000,-0.004367,0.000294
81.5,15449135,-74480.000000,-0.004821,0.000290
82.0,15334696,-67641.000000,-0.004411,0.000291
82.5,15226988,-63394.000000,-0.004163,0.000292
83.0,14585977,-73117.500000,-0.005013,0.000299
83.5,14873983,-66283.500000,-0.004456,0.000296
84.0,15155206,-63820.500000,-0.004211,0.000293
84.5,14137851,-66562.500000,-0.004708,0.000303
85.0,14832842,-58489.000000,-0.003943,0.000296
85.5,14032340,-55969.500000,-0.003989,0.000304
86.0,14514447,-80316.500000,-0.005534,0.000300
86.5,13535338,-51799.500000,-0.003827,0.000310
87.0,14407708,-46860.000000,-0.003252,0.000300
87.5,13746475,-79823.000000,-0.005807,0.000308
88.0,13791519,-46402.500000,-0.003365,0.000307
88.5,13504110,-65500.000000,-0.004850,0.000310
89.0,13351682,-63462.000000,-0.004753,0.000312
89.5,14040260,-45461.500000,-0.003238,0.000304
90.0,13365820,-57158.000000,-0.004276,0.000312
90.5,12344525,-44805.000000,-0.003630,0.000324
91.0,14348057,-74621.500000,-0.005201,0.000301
91.5,12407860,-49983.500000,-0.004028,0.000324
92.0,13035816,-59837.500000,-0.004590,0.000316
92.5,12585332,-41061.000000,-0.003263,0.000321
93.0,12947102,-75716.000000,-0.005848,0.000317
93.5,12119040,-39326.500000,-0.003245,0.000327
94.0,13157114,-55980.500000,-0.004255,0.000314
94.5,12352578,-55187.000000,-0.004468,0.000324
95.0,11507307,-60869.500000,-0.005290,0.000336
95.5,12984079,-54795.500000,-0.004220,0.000316
96.0,12297275,-51170.000000,-0.004161,0.000325
96.5,11511470,-46282.000000,-0.004021,0.000336
97.0,12121358,-40503.500000,-0.003341,0.000327
97.5,12160988,-56029.000000,-0.004607,0.000327
98.0,11603535,-55016.000000,-0.004741,0.000335
98.5,11385132,-51925.000000,-0.004561,0.000338
