TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-51.0,1,1.0,1.0,0.0,0.0
-50.0,1,1.0,1.0,0.0,0.0
-47.5,2,0.0,0.0,0.707107,0.0
-47.0,4,0.0,0.0,0.5,0.0
-46.5,3,-2.0,-0.666667,0.272166,0.0
-46.0,6,1.0,0.166667,0.548567,0.0
-45.5,9,-2.0,-0.222222,0.409087,0.0
-45.0,6,-2.5,-0.416667,0.380363,0.0
-44.5,23,-1.0,-0.043478,0.233962,0.0
-44.0,18,-5.0,-0.277778,0.291924,0.0
-43.5,28,-9.0,-0.321429,0.23175,0.0
-43.0,38,-3.0,-0.078947,0.201729,1e-06
-42.5,52,0.0,0.0,0.171467,1e-06
-42.0,60,-8.5,-0.141667,0.160767,1e-06
-41.5,97,-3.5,-0.036082,0.125046,1e-06
-41.0,115,-25.0,-0.217391,0.103827,2e-06
-40.5,140,0.0,0.0,0.102395,2e-06
-40.0,217,-21.5,-0.099078,0.08174,3e-06
-39.5,289,-23.5,-0.081315,0.069492,4e-06
-39.0,314,-28.5,-0.090764,0.069494,4e-06
-38.5,488,-27.0,-0.055328,0.053456,7e-06
-38.0,613,-36.0,-0.058728,0.046853,9e-06
-37.5,834,-44.5,-0.053357,0.040862,1.2e-05
-37.0,1007,-68.0,-0.067527,0.038131,1.4e-05
-36.5,1418,-117.0,-0.082511,0.030876,2e-05
-36.0,1936,-113.0,-0.058368,0.026874,2.7e-05
-35.5,2324,-141.0,-0.060671,0.024348,3.3e-05
-35.0,3198,-96.0,-0.030019,0.020921,4.5e-05
-34.5,3943,-341.0,-0.086482,0.018756,5.5e-05
-34.0,4788,-284.0,-0.059315,0.017044,6.7e-05
-33.5,6364,-531.5,-0.083517,0.014603,8.9e-05
-33.0,8096,-858.5,-0.10604,0.013006,0.000114
-32.5,10261,-632.0,-0.061592,0.011554,0.000144
-32.0,13511,-977.0,-0.072311,0.010109,0.00019
-31.5,17535,-1193.5,-0.068064,0.008864,0.000247
-31.0,20644,-1135.5,-0.055004,0.008118,0.00029
-30.5,26177,-1840.5,-0.07031,0.007232,0.000368
-30.0,34389,-2220.0,-0.064556,0.006321,0.000484
-29.5,42098,-2762.0,-0.065609,0.005696,0.000592
-29.0,52306,-3024.0,-0.057814,0.005105,0.000735
-28.5,65386,-3572.5,-0.054637,0.004559,0.000919
-28.0,79704,-4279.5,-0.053692,0.004125,0.001121
-27.5,97299,-4861.5,-0.049965,0.003741,0.001368
-27.0,127500,-7453.5,-0.058459,0.003255,0.001793
-26.5,156309,-8061.5,-0.051574,0.002935,0.002198
-26.0,167540,-8860.0,-0.052883,0.002835,0.002356
-25.5,233581,-12180.0,-0.052145,0.002401,0.003284
