TrueCount,HandsPlayed,TotalPayout,EV,StdError
-62.0,1,1.000000,1.000000,0.000000
-60.5,3,-3.000000,-1.000000,0.000000
-59.0,3,-1.000000,-0.333333,0.981307
-58.5,1,-1.000000,-1.000000,0.000000
-58.0,1,-1.000000,-1.000000,0.000000
-57.5,11,0.500000,0.045455,0.354747
-57.0,3,0.000000,0.000000,0.816497
-56.0,17,-3.000000,-0.176471,0.266144
-55.5,2,-1.000000,-0.500000,1.060660
-55.0,20,-5.000000,-0.250000,0.281736
-54.5,17,0.000000,0.000000,0.311265
-53.5,75,-13.000000,-0.173333,0.155633
-53.0,12,-3.000000,-0.250000,0.426956
-52.0,144,-33.000000,-0.229167,0.101455
-51.0,28,-8.000000,-0.285714,0.213434
-50.5,231,-56.500000,-0.244589,0.080574
-49.5,264,-60.500000,-0.229167,0.079625
-49.0,181,-33.000000,-0.182320,0.095531
-48.5,80,-19.000000,-0.237500,0.134912
-48.0,736,-222.000000,-0.301630,0.045593
-47.5,44,-19.500000,-0.443182,0.193660
-47.0,360,-135.000000,-0.375000,0.064183
-46.5,1066,-143.000000,-0.134146,0.037592
-46.0,217,-4.500000,-0.020737,0.088181
-45.5,780,-165.500000,-0.212179,0.042975
-45.0,1445,-269.500000,-0.186505,0.032783
-44.5,603,-150.000000,-0.248756,0.048468
-44.0,2104,-514.000000,-0.244297,0.026766
-43.5,1914,-458.000000,-0.239289,0.028019
-43.0,1402,-197.500000,-0.140870,0.032662
-42.5,3045,-595.500000,-0.195567,0.022521
-42.0,3491,-707.500000,-0.202664,0.021132
-41.5,3166,-587.500000,-0.185565,0.021876
-41.0,7029,-1239.000000,-0.176270,0.014666
-40.5,3503,-512.500000,-0.146303,0.020812
-40.0,4195,-705.500000,-0.168176,0.018962
-39.5,12571,-2339.000000,-0.186063,0.010881
-39.0,3729,-747.000000,-0.200322,0.019774
-38.5,13482,-2262.500000,-0.167816,0.010486
-38.0,13179,-2252.500000,-0.170916,0.010612
-37.5,13475,-2222.000000,-0.164898,0.010513
-37.0,17544,-2680.000000,-0.152759,0.009151
-36.5,23796,-3656.500000,-0.153660,0.007852
-36.0,18198,-2835.500000,-0.155814,0.008979
-35.5,24246,-3397.500000,-0.140126,0.007849
-35.0,33143,-4385.000000,-0.132305,0.006660
-34.5,33306,-4468.500000,-0.134165,0.006672
-34.0,51362,-7207.000000,-0.140318,0.005351
-33.5,61243,-8536.500000,-0.139387,0.004896
-33.0,56929,-7690.500000,-0.135089,0.005052
-32.5,75364,-9606.000000,-0.127461,0.004387
-32.0,64772,-8092.000000,-0.124931,0.004746
-31.5,85238,-10834.000000,-0.127103,0.004127
-31.0,124294,-14566.500000,-0.117194,0.003406
-30.5,105151,-11702.500000,-0.111292,0.003711
-30.0,142315,-16279.000000,-0.114387,0.003186
-29.5,207435,-22509.000000,-0.108511,0.002631
-29.0,126057,-13919.500000,-0.110422,0.003369
-28.5,236013,-24449.000000,-0.103592,0.002462
-28.0,287506,-28601.500000,-0.099481,0.002228
-27.5,254601,-25564.000000,-0.100408,0.002362
-27.0,196277,-19164.500000,-0.097640,0.002693
-26.5,461139,-42461.000000,-0.092079,0.001754
-26.0,467686,-41876.000000,-0.089539,0.001740
-25.5,615919,-56213.000000,-0.091267,0.001513
-25.0,372504,-33246.000000,-0.089250,0.001943
-24.5,545650,-46671.000000,-0.085533,0.001605
-24.0,753049,-62998.500000,-0.083658,0.001363
-23.5,839804,-66066.000000,-0.078668,0.001290
-23.0,753487,-58719.000000,-0.077930,0.001360
