TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-34.5,1,1.0,1.0,0.0,0.0
-32.5,2,-2.0,-1.0,0.0,0.0
-32.0,1,1.0,1.0,0.0,0.0
-31.5,5,2.0,0.4,0.536656,0.0
-31.0,9,-3.0,-0.333333,0.31427,0.0
-30.5,13,-2.0,-0.153846,0.304719,0.0
-30.0,14,-7.0,-0.5,0.262445,0.0
-29.5,28,-2.5,-0.089286,0.236974,0.0
-29.0,39,-15.5,-0.397436,0.193738,1e-06
-28.5,73,-7.0,-0.09589,0.143887,1e-06
-28.0,117,-1.5,-0.012821,0.11927,2e-06
-27.5,154,-21.5,-0.13961,0.090967,2e-06
-27.0,260,-54.5,-0.209615,0.072398,3e-06
-26.5,451,-21.5,-0.047672,0.05819,6e-06
-26.0,623,-70.0,-0.11236,0.047253,8e-06
-25.5,1001,-83.0,-0.082917,0.037514,1.3e-05
-25.0,1366,-134.0,-0.098097,0.03208,1.8e-05
-24.5,1948,-211.0,-0.108316,0.026759,2.5e-05
-24.0,3196,-436.0,-0.136421,0.020518,4.1e-05
-23.5,4374,-287.0,-0.065615,0.018145,5.7e-05
-23.0,6622,-493.0,-0.074449,0.014502,8.6e-05
-22.5,9098,-882.5,-0.096999,0.012252,0.000118
-22.0,13643,-1140.5,-0.083596,0.010097,0.000177
-21.5,19194,-1509.0,-0.078618,0.008525,0.000249
-21.0,25867,-1565.5,-0.060521,0.007337,0.000336
-20.5,39597,-2513.0,-0.063464,0.005908,0.000514
-20.0,53771,-3649.0,-0.067862,0.005067,0.000698
-19.5,72338,-4344.5,-0.060058,0.004356,0.000939
-19.0,103649,-6425.0,-0.061988,0.003642,0.001345
-18.5,145695,-9831.5,-0.06748,0.003066,0.001891
-18.0,196871,-12486.5,-0.063425,0.002632,0.002555
-17.5,243393,-15338.5,-0.063019,0.002366,0.003159
-17.0,378343,-22597.0,-0.059726,0.001898,0.00491
-16.5,490088,-27400.5,-0.055909,0.001664,0.00636
-16.0,618186,-34005.5,-0.055009,0.00148,0.008023
-15.5,866621,-48584.5,-0.056062,0.001248,0.011247
-15.0,1133270,-56544.5,-0.049895,0.001091,0.014707
-14.5,1428054,-72205.0,-0.050562,0.00097,0.018533
-14.0,1969534,-94404.5,-0.047932,0.000826,0.02556
-13.5,2457481,-112790.0,-0.045897,0.000738,0.031893
-13.0,3231566,-139768.0,-0.043251,0.000643,0.041939
-12.5,4186553,-173930.5,-0.041545,0.000564,0.054332
-12.0,5299212,-209083.5,-0.039456,0.000501,0.068772
-11.5,6728695,-260491.5,-0.038714,0.000444,0.087324
-11.0,8408745,-301804.5,-0.035892,0.000397,0.109127
-10.5,11037066,-384881.5,-0.034872,0.000346,0.143237
-10.0,13588978,-444548.0,-0.032714,0.000311,0.176355
-9.5,16769732,-525477.0,-0.031335,0.00028,0.217635
-9.0,21225147,-637702.0,-0.030045,0.000249,0.275456
-8.5,25939172,-740442.0,-0.028545,0.000225,0.336634
-8.0,32537753,-873305.0,-0.02684,0.0002,0.422269
-7.5,39675089,-995824.5,-0.025099,0.000181,0.514897
-7.0,49168689,-1172052.5,-0.023837,0.000163,0.638103
