TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-3.5,5,3.5,0.7,0.481664,0.0
-3.0,82,-11.0,-0.134146,0.12965,3e-06
-2.5,1317,-77.5,-0.058846,0.031874,4.8e-05
-2.0,18446,-530.0,-0.028733,0.008394,0.000677
-1.5,248067,-5913.5,-0.023838,0.002294,0.009108
-1.0,3254269,-56720.5,-0.01743,0.00063,0.119489
-0.5,48778720,-544766.0,-0.011168,0.000162,1.791032
0.0,343244181,-2430059.0,-0.00708,6.1e-05,12.603065
0.5,329944591,-2448728.0,-0.007422,6.2e-05,12.114737
1.0,295859507,-2138824.5,-0.007229,6.6e-05,10.863218
1.5,274935711,-1916637.5,-0.006971,6.8e-05,10.094949
2.0,253978449,-1677131.5,-0.006603,7.1e-05,9.325451
2.5,233001904,-1440910.0,-0.006184,7.4e-05,8.555245
3.0,208734297,-1171629.5,-0.005613,7.8e-05,7.664199
3.5,186939637,-874079.5,-0.004676,8.2e-05,6.863954
4.0,155890507,-525475.5,-0.003371,9e-05,5.723908
4.5,127500305,-259616.0,-0.002036,9.9e-05,4.681491
5.0,96176334,-36203.5,-0.000376,0.000114,3.531354
5.5,66608096,105689.5,0.001587,0.000137,2.445682
6.0,44946332,152507.5,0.003393,0.000167,1.650316
6.5,26481228,158759.0,0.005995,0.000217,0.972324
7.0,14784783,116986.0,0.007913,0.000289,0.54286
7.5,7053370,65586.0,0.009299,0.000418,0.258982
8.0,3196869,39940.0,0.012493,0.00062,0.117381
8.5,1283108,16918.0,0.013185,0.000977,0.047113
9.0,433436,6507.0,0.015013,0.001678,0.015915
9.5,152055,3391.0,0.022301,0.002831,0.005583
10.0,39469,723.5,0.018331,0.005547,0.001449
10.5,9892,307.0,0.031035,0.011077,0.000363
11.0,2270,86.5,0.038106,0.023089,8.3e-05
11.5,419,31.0,0.073986,0.053378,1.5e-05
12.0,71,-4.0,-0.056338,0.122604,3e-06
12.5,7,-4.0,-0.571429,0.39678,0.0
13.0,2,-2.0,-1.0,0.0,0.0
