TrueCount,HandsPlayed,TotalPayout,EV,StdError
-3.0,1,-1.000000,-1.000000,0.000000
-2.5,23,1.000000,0.043478,0.249599
-2.0,997,-60.500000,-0.060682,0.036144
-1.5,33208,-737.500000,-0.022209,0.006259
-1.0,991296,-18599.500000,-0.018763,0.001141
-0.5,35166110,-380551.000000,-0.010822,0.000191
0.0,418191786,-2991473.500000,-0.007153,0.000055
0.5,448735647,-3261991.500000,-0.007269,0.000053
1.0,398578916,-2770105.500000,-0.006950,0.000056
1.5,373339122,-2636792.500000,-0.007063,0.000058
2.0,347156115,-2385548.500000,-0.006872,0.000060
2.5,325425823,-2219538.500000,-0.006820,0.000062
3.0,301420408,-2011450.500000,-0.006673,0.000065
3.5,288603733,-1893260.000000,-0.006560,0.000066
4.0,268514209,-1740830.000000,-0.006483,0.000069
4.5,252913975,-1630354.500000,-0.006446,0.000071
5.0,238272388,-1513821.500000,-0.006353,0.000073
5.5,227792319,-1438740.500000,-0.006316,0.000075
6.0,213105232,-1345712.000000,-0.006315,0.000077
6.5,202750601,-1264841.500000,-0.006238,0.000079
7.0,192420550,-1168928.500000,-0.006075,0.000081
7.5,182850896,-1083858.000000,-0.005928,0.000083
8.0,173966050,-1062298.000000,-0.006106,0.000085
8.5,167365804,-1016557.000000,-0.006074,0.000087
9.0,156325420,-912717.000000,-0.005839,0.000090
9.5,149617634,-852976.000000,-0.005701,0.000092
10.0,145468252,-831755.500000,-0.005718,0.000093
10.5,137726924,-778111.500000,-0.005650,0.000096
11.0,132119139,-739491.000000,-0.005597,0.000098
11.5,126365240,-716272.500000,-0.005668,0.000100
12.0,120974992,-672522.500000,-0.005559,0.000102
12.5,116417078,-629060.000000,-0.005404,0.000104
13.0,109285334,-520056.000000,-0.004759,0.000108
13.5,106470572,-504037.000000,-0.004734,0.000109
14.0,99912617,-410638.000000,-0.004110,0.000112
14.5,93820812,-336798.000000,-0.003590,0.000116
15.0,87696932,-251635.000000,-0.002869,0.000120
15.5,81709051,-171554.500000,-0.002100,0.000124
16.0,72112977,-42360.500000,-0.000587,0.000132
16.5,67261672,14007.500000,0.000208,0.000137
17.0,58645747,112990.500000,0.001927,0.000146
17.5,49006401,148375.000000,0.003028,0.000160
18.0,40937016,194802.000000,0.004759,0.000174
18.5,33581564,210432.000000,0.006266,0.000192
19.0,26452497,212394.500000,0.008029,0.000216
19.5,19712150,195079.500000,0.009896,0.000250
20.0,15129651,179807.500000,0.011884,0.000285
20.5,10810428,150422.000000,0.013915,0.000337
21.0,7200210,110889.000000,0.015401,0.000412
21.5,4810370,81557.000000,0.016954,0.000503
22.0,3006281,54145.500000,0.018011,0.000635
22.5,1916550,41138.000000,0.021465,0.000794
23.0,1185138,26469.000000,0.022334,0.001007
23.5,611547,15540.000000,0.025411,0.001399
24.0,323097,7463.000000,0.023098,0.001921
24.5,170365,3959.500000,0.023241,0.002641
25.0,106562,3003.000000,0.028181,0.003338
25.5,37828,1017.000000,0.026885,0.005595
26.0,17544,557.500000,0.031777,0.008193
26.5,8313,239.000000,0.028750,0.011889
27.0,4237,197.500000,0.046613,0.016764
27.5,1166,66.000000,0.056604,0.031368
28.0,477,47.000000,0.098532,0.050287
28.5,209,-16.500000,-0.078947,0.075265
29.0,83,6.000000,0.072289,0.115917
29.5,22,0.000000,0.000000,0.240523
30.0,6,0.500000,0.083333,0.447472
30.5,2,0.000000,0.000000,0.707107
