TrueCount,HandsPlayed,TotalPayout,EV,StdError
-26.5,1,1.000000,1.000000,0.000000
-26.0,2,-2.000000,-1.000000,0.000000
-25.5,3,-3.000000,-1.000000,0.816497
-25.0,4,2.000000,0.500000,0.559017
-24.5,7,3.000000,0.428571,0.396780
-24.0,9,1.500000,0.166667,0.444444
-23.5,10,1.000000,0.100000,0.359166
-23.0,27,1.000000,0.037037,0.237046
-22.5,42,-4.500000,-0.107143,0.207249
-22.0,107,-12.000000,-0.112150,0.109850
-21.5,154,-2.000000,-0.012987,0.093419
-21.0,283,-34.000000,-0.120141,0.072710
-20.5,460,-16.000000,-0.034783,0.056205
-20.0,765,-45.000000,-0.058824,0.042456
-19.5,1280,-77.000000,-0.060156,0.032802
-19.0,2271,-84.500000,-0.037208,0.024691
-18.5,3488,-75.500000,-0.021646,0.020087
-18.0,6029,-371.000000,-0.061536,0.015187
-17.5,8403,-542.500000,-0.064560,0.012778
-17.0,15875,-843.500000,-0.053134,0.009374
-16.5,23576,-1517.500000,-0.064366,0.007634
-16.0,36639,-2354.000000,-0.064248,0.006116
-15.5,55612,-3189.000000,-0.057344,0.004951
-15.0,87791,-5136.500000,-0.058508,0.003938
-14.5,126181,-6680.000000,-0.052940,0.003282
-14.0,194886,-9390.000000,-0.048182,0.002642
-13.5,272673,-13976.000000,-0.051256,0.002225
-13.0,456877,-20905.500000,-0.045757,0.001720
-12.5,604057,-27837.000000,-0.046083,0.001492
-12.0,874305,-37247.000000,-0.042602,0.001239
-11.5,1241744,-51576.500000,-0.041536,0.001039
-11.0,1739769,-67262.000000,-0.038661,0.000876
-10.5,2442798,-96392.500000,-0.039460,0.000738
-10.0,3459558,-125597.500000,-0.036304,0.000620
-9.5,4558123,-159680.500000,-0.035032,0.000539
-9.0,6348513,-202213.000000,-0.031852,0.000456
-8.5,8285659,-250971.000000,-0.030290,0.000399
-8.0,11383977,-326545.000000,-0.028685,0.000340
-7.5,14697460,-398781.500000,-0.027133,0.000299
-7.0,19669008,-490772.000000,-0.024952,0.000258
-6.5,25737323,-603275.500000,-0.023440,0.000225
-6.0,32633790,-705799.500000,-0.021628,0.000200
-5.5,42962190,-865190.500000,-0.020138,0.000174
-5.0,54624225,-1016008.500000,-0.018600,0.000154
-4.5,69012590,-1180035.500000,-0.017099,0.000137
-4.0,87508676,-1355076.500000,-0.015485,0.000121
-3.5,110644838,-1535147.500000,-0.013875,0.000108
-3.0,137055481,-1701614.500000,-0.012416,0.000097
-2.5,172169882,-1878679.500000,-0.010912,0.000086
-2.0,214238344,-1992198.000000,-0.009299,0.000077
-1.5,263748040,-2103192.500000,-0.007974,0.000069
-1.0,325100023,-2091429.000000,-0.006433,0.000062
-0.5,383724621,-2008727.000000,-0.005235,0.000057
0.0,583155967,-2234074.000000,-0.003831,0.000047
0.5,364439903,-828699.500000,-0.002274,0.000059
1.0,307238855,-268071.500000,-0.000873,0.000064
1.5,251020340,160495.500000,0.000639,0.000071
2.0,202745769,400114.000000,0.001973,0.000079
2.5,162369895,553454.500000,0.003409,0.000088
3.0,129161022,629691.000000,0.004875,0.000099
3.5,104028812,675073.000000,0.006489,0.000110
4.0,82048664,636216.500000,0.007756,0.000123
4.5,64506055,668589.000000,0.010414,0.000139
5.0,50989179,750677.500000,0.014959,0.000156
5.5,40132829,811428.500000,0.020865,0.000176
6.0,30396065,762708.000000,0.026241,0.000203
6.5,23907939,675711.000000,0.029768,0.000229
7.0,18243350,552935.000000,0.032002,0.000262
7.5,13555348,432696.000000,0.033713,0.000303
8.0,10483855,354706.000000,0.035676,0.000344
8.5,7596574,272163.500000,0.037780,0.000404
9.0,5816237,222152.500000,0.040311,0.000461
9.5,4157801,163995.500000,0.041634,0.000544
10.0,3151036,130362.500000,0.043636,0.000625
10.5,2216003,94917.500000,0.045217,0.000744
11.0,1572632,71875.500000,0.048202,0.000882
11.5,1118390,50987.500000,0.048048,0.001044
12.0,786083,37987.000000,0.050937,0.001243
12.5,542813,26610.000000,0.051640,0.001495
13.0,409453,20487.000000,0.052827,0.001718
13.5,243441,12682.000000,0.054945,0.002224
14.0,173284,9702.500000,0.059281,0.002627
14.5,111783,6893.000000,0.064875,0.003280
15.0,77172,4098.000000,0.056183,0.003936
15.5,48683,2787.000000,0.059781,0.004947
16.0,31895,1947.000000,0.064362,0.006098
16.5,20521,1291.000000,0.066684,0.007568
17.0,13718,995.500000,0.077014,0.009273
17.5,7045,410.500000,0.061775,0.013024
18.0,5221,216.000000,0.044396,0.014985
18.5,3001,113.500000,0.040620,0.019629
19.0,1935,88.500000,0.048512,0.024873
19.5,1094,58.000000,0.054984,0.032692
20.0,632,31.500000,0.056878,0.042704
20.5,390,64.500000,0.171027,0.054654
21.0,221,43.000000,0.209468,0.074126
21.5,140,-5.000000,-0.045422,0.092222
22.0,71,-5.000000,-0.071678,0.131380
22.5,27,0.000000,0.001307,0.206200
23.0,20,-3.000000,-0.116333,0.261251
23.5,12,-5.500000,-0.500000,0.251385
24.0,10,0.500000,0.050000,0.277939
24.5,4,0.000000,0.000000,0.500000
25.0,1,-1.000000,-1.000000,0.000000
25.5,1,-1.000000,-1.000000,0.000000
26.5,1,1.500000,1.500000,0.000000
