TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-22.5,1,-1.0,-1.0,0.0,0.0
-21.5,1,-1.0,-1.0,0.0,0.0
-21.0,2,0.5,0.25,0.883883,0.0
-20.5,3,0.0,0.0,0.816497,0.0
-20.0,5,-2.0,-0.4,0.357771,0.0
-19.5,4,2.0,0.5,0.433013,0.0
-19.0,14,-2.0,-0.142857,0.283152,0.0
-18.5,19,0.0,-0.0,0.235376,0.0
-18.0,49,-2.5,-0.05102,0.173316,1e-06
-17.5,146,-14.0,-0.09589,0.0932,3e-06
-17.0,255,-5.5,-0.021569,0.071898,5e-06
-16.5,483,-67.5,-0.139752,0.052818,9e-06
-16.0,957,-56.0,-0.058516,0.038311,1.8e-05
-15.5,1771,-94.5,-0.05336,0.028106,3.3e-05
-15.0,3696,-260.5,-0.070482,0.019341,6.9e-05
-14.5,6426,-304.5,-0.047386,0.014692,0.00012
-14.0,12330,-583.0,-0.047283,0.010468,0.00023
-13.5,21976,-1016.0,-0.046232,0.007837,0.00041
-13.0,37852,-2068.5,-0.054647,0.005979,0.000706
-12.5,68244,-2939.5,-0.043073,0.004442,0.001272
-12.0,117730,-4530.0,-0.038478,0.003372,0.002195
-11.5,197616,-8354.0,-0.042274,0.002604,0.003684
-11.0,329688,-14086.5,-0.042727,0.002014,0.006147
-10.5,529286,-18277.5,-0.034532,0.001586,0.009868
-10.0,880210,-34312.0,-0.038982,0.001228,0.01641
-9.5,1360906,-48219.5,-0.035432,0.000987,0.025372
-9.0,2116207,-68169.5,-0.032213,0.000791,0.039454
-8.5,3302775,-102415.0,-0.031009,0.000632,0.061576
-8.0,4872506,-142750.5,-0.029297,0.000519,0.090842
-7.5,7418278,-203526.0,-0.027436,0.00042,0.138304
-7.0,10906392,-275149.0,-0.025228,0.000346,0.203336
-6.5,15617312,-379197.5,-0.024281,0.000289,0.291165
-6.0,22755004,-506810.5,-0.022272,0.000239,0.424238
-5.5,31300031,-652148.5,-0.020835,0.000204,0.583549
-5.0,43833841,-833342.5,-0.019011,0.000172,0.817226
-4.5,61373826,-1061343.0,-0.017293,0.000145,1.144236
-4.0,83205520,-1324278.0,-0.015916,0.000124,1.55126
-3.5,112898175,-1618794.0,-0.014339,0.000107,2.104842
-3.0,147954039,-1900934.5,-0.012848,9.3e-05,2.758414
-2.5,198941330,-2243541.0,-0.011277,8e-05,3.709007
-2.0,261432625,-2523694.5,-0.009653,7e-05,4.874077
-1.5,341654119,-2829351.5,-0.008281,6.1e-05,6.369704
-1.0,450001123,-3091122.0,-0.006869,5.3e-05,8.389695
-0.5,581962277,-3184551.0,-0.005472,4.7e-05,10.849942
0.0,718176227,-2974465.0,-0.004142,4.2e-05,13.389477
0.5,555210047,-1517194.5,-0.002733,4.8e-05,10.351181
1.0,427566426,-494211.0,-0.001156,5.4e-05,7.971429
1.5,325198267,64432.0,0.000198,6.2e-05,6.062906
2.0,248046701,437790.0,0.001765,7.1e-05,4.624513
2.5,188308134,604847.0,0.003212,8.2e-05,3.510764
3.0,139659772,639048.5,0.004576,9.5e-05,2.603778
3.5,106217943,633068.5,0.00596,0.000109,1.980298
4.0,78019201,575099.5,0.007371,0.000127,1.454568
4.5,57361040,538102.5,0.009405,0.000147,1.069423
5.0,40766346,572113.0,0.014257,0.000175,0.760036
5.5,29125377,603890.5,0.021527,0.000207,0.543005
6.0,21119076,532237.0,0.026487,0.000244,0.393738
6.5,14447255,411522.5,0.030029,0.000295,0.269351
7.0,10039585,300980.5,0.031627,0.000353,0.187175
7.5,6799702,222883.5,0.034574,0.000428,0.126772
8.0,4444542,145613.5,0.034573,0.000529,0.082863
8.5,3003560,108601.0,0.038154,0.000642,0.055998
9.0,1918432,71924.5,0.039575,0.000803,0.035767
9.5,1228168,47070.0,0.040416,0.001002,0.022898
10.0,789570,32770.0,0.043792,0.001247,0.014721
10.5,470905,18522.5,0.041652,0.001613,0.008779
11.0,292897,13258.0,0.047659,0.002043,0.005461
11.5,174407,8400.5,0.050802,0.002642,0.003252
12.0,103078,4757.0,0.048975,0.003436,0.001922
12.5,60345,3602.5,0.062963,0.004476,0.001125
13.0,32994,1979.5,0.063669,0.006071,0.000615
13.5,18964,1033.5,0.05715,0.007999,0.000354
14.0,10560,715.5,0.072676,0.010707,0.000197
14.5,5526,285.5,0.05459,0.014741,0.000103
15.0,3022,205.0,0.072087,0.019856,5.6e-05
15.5,1395,111.0,0.082347,0.029501,2.6e-05
16.0,822,54.5,0.074408,0.037834,1.5e-05
16.5,408,-3.5,-0.005896,0.050748,8e-06
17.0,178,46.5,0.281593,0.082715,3e-06
17.5,108,10.0,0.094962,0.106446,2e-06
18.0,54,8.5,0.138889,0.158448,1e-06
18.5,18,2.0,0.109259,0.242732,0.0
19.0,26,-1.5,-0.057692,0.214709,0.0
19.5,9,-5.0,-0.631944,0.422586,0.0
20.0,3,1.0,0.333333,0.544331,0.0
20.5,4,-2.0,-0.5,0.433013,0.0
21.0,1,-1.0,-1.0,0.0,0.0
