TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-27.0,1,-1.0,-1.0,0.0,0.0
-26.0,1,-1.0,-1.0,0.0,0.0
-25.5,4,-1.0,-0.25,0.649519,0.0
-25.0,11,4.0,0.363636,0.391495,0.0
-24.5,9,3.0,0.333333,0.41574,0.0
-24.0,31,-7.0,-0.225806,0.264869,1e-06
-23.5,37,9.0,0.243243,0.172658,2e-06
-23.0,104,-13.0,-0.125,0.115934,4e-06
-22.5,124,-34.5,-0.278226,0.103481,5e-06
-22.0,161,-52.0,-0.322981,0.09556,7e-06
-21.5,315,-73.0,-0.231746,0.068647,1.3e-05
-21.0,473,-78.5,-0.165962,0.055079,2e-05
-20.5,874,-168.0,-0.19222,0.041336,3.7e-05
-20.0,1239,-258.0,-0.208232,0.03392,5.2e-05
-19.5,1639,-332.5,-0.202868,0.030063,6.9e-05
-19.0,3184,-477.0,-0.149812,0.021832,0.000134
-18.5,4092,-704.5,-0.172165,0.01881,0.000172
-18.0,7572,-879.5,-0.116152,0.014063,0.000319
-17.5,10606,-1425.0,-0.134358,0.011715,0.000447
-17.0,14076,-2033.0,-0.14443,0.010139,0.000593
-16.5,24513,-3003.5,-0.122527,0.007666,0.001033
-16.0,27407,-3521.5,-0.128489,0.007264,0.001155
-15.5,47019,-5152.0,-0.109573,0.005538,0.001982
-15.0,64080,-7279.5,-0.1136,0.004706,0.002701
-14.5,85453,-9521.5,-0.111424,0.004074,0.003601
-14.0,141816,-14200.0,-0.10013,0.003156,0.005977
-13.5,158485,-15401.5,-0.09718,0.002984,0.006679
-13.0,272565,-25164.5,-0.092325,0.00227,0.011487
-12.5,324905,-28197.5,-0.086787,0.002076,0.013693
-12.0,472312,-39248.0,-0.083098,0.001716,0.019905
-11.5,635596,-50551.0,-0.079533,0.001477,0.026786
-11.0,816327,-60289.0,-0.073854,0.001301,0.034403
-10.5,1235203,-85943.0,-0.069578,0.001055,0.052055
-10.0,1585147,-103115.5,-0.065051,0.000929,0.066803
-9.5,1923922,-119813.0,-0.062275,0.000842,0.08108
-9.0,2816280,-162729.0,-0.057782,0.000694,0.118687
-8.5,3386190,-185547.0,-0.054795,0.000632,0.142705
-8.0,4629378,-235470.0,-0.050864,0.000539,0.195097
-7.5,5901460,-276368.5,-0.046831,0.000477,0.248706
-7.0,7786407,-335553.5,-0.043095,0.000414,0.328144
-6.5,10087582,-401380.0,-0.03979,0.000363,0.425123
-6.0,12883924,-473794.5,-0.036774,0.000321,0.542969
-5.5,17075525,-582172.5,-0.034094,0.000278,0.719617
-5.0,21570184,-657134.5,-0.030465,0.000247,0.909036
-4.5,27751380,-763209.5,-0.027502,0.000217,1.169531
-4.0,36925308,-910622.0,-0.024661,0.000188,1.55615
-3.5,46638055,-1028128.5,-0.022045,0.000167,1.965476
-3.0,61901305,-1191018.0,-0.019241,0.000145,2.608717
-2.5,80398156,-1290978.0,-0.016057,0.000127,3.388233
-2.0,105303482,-1426740.0,-0.013549,0.00011,4.437823
-1.5,142840335,-1556316.5,-0.010895,9.5e-05,6.019745
-1.0,184877485,-1545664.0,-0.00836,8.3e-05,7.791324
-0.5,252982184,-1520556.0,-0.006011,7.1e-05,10.661472
0.0,353137859,-1255200.5,-0.003554,6e-05,14.88235
0.5,239139703,-178141.0,-0.000745,7.3e-05,10.078106
1.0,176425618,304363.0,0.001725,8.5e-05,7.435135
1.5,136438236,611490.5,0.004482,9.6e-05,5.74994
2.0,100542561,722504.0,0.007186,0.000112,4.237183
2.5,76866462,772706.0,0.010071,0.000128,3.239397
3.0,59194390,890899.0,0.01522,0.000146,2.494639
3.5,44804047,994517.0,0.022862,0.000168,1.888185
4.0,35561461,1030529.5,0.030312,0.000188,1.498673
4.5,26695961,899264.5,0.035457,0.000216,1.125052
5.0,20783474,779480.5,0.039619,0.000244,0.875882
5.5,16488433,687355.0,0.044114,0.000273,0.694875
6.0,12415786,554503.0,0.047279,0.000314,0.523241
6.5,9717343,465851.5,0.050808,0.000354,0.40952
7.0,7498497,379850.5,0.053675,0.000403,0.31601
7.5,5675575,303520.5,0.056643,0.000461,0.239187
8.0,4440602,252479.5,0.060247,0.00052,0.187141
8.5,3241331,194429.5,0.063615,0.000608,0.1366
9.0,2695605,168356.0,0.066184,0.000665,0.113601
9.5,1837572,122585.5,0.070819,0.000804,0.077441
10.0,1515319,102028.0,0.071486,0.000883,0.06386
10.5,1178954,84141.5,0.075776,0.000998,0.049685
11.0,776538,55836.5,0.076421,0.001227,0.032726
11.5,604685,47340.0,0.083215,0.001388,0.025483
