TrueCount,HandsPlayed,TotalPayout,EV,StdError
-8.0,5,2.000000,0.400000,0.536656
-7.5,14,-1.500000,-0.107143,0.312081
-7.0,135,-5.000000,-0.037037,0.097095
-6.5,543,-11.500000,-0.021179,0.049175
-6.0,2950,-131.500000,-0.044576,0.021082
-5.5,13603,-603.500000,-0.044365,0.009819
-5.0,54153,-1945.500000,-0.035926,0.004931
-4.5,194364,-5798.000000,-0.029831,0.002599
-4.0,633991,-17160.500000,-0.027067,0.001434
-3.5,1967738,-44839.000000,-0.022787,0.000813
-3.0,5232168,-105864.500000,-0.020233,0.000497
-2.5,12857790,-223348.000000,-0.017371,0.000317
-2.0,28834783,-423590.500000,-0.014690,0.000211
-1.5,59329628,-700186.000000,-0.011802,0.000147
-1.0,119355255,-1106397.500000,-0.009270,0.000103
-0.5,236779220,-1534932.500000,-0.006483,0.000073
0.0,303460684,-1267613.000000,-0.004177,0.000065
0.5,218839705,-387708.000000,-0.001772,0.000076
1.0,110053204,90381.500000,0.000821,0.000107
1.5,54290930,199315.500000,0.003671,0.000152
2.0,26161870,150562.500000,0.005755,0.000219
2.5,11546213,94079.500000,0.008148,0.000329
3.0,4642749,63123.500000,0.013729,0.000521
3.5,1730010,41532.500000,0.025114,0.000853
4.0,552249,16930.500000,0.032395,0.001507
4.5,168619,5475.000000,0.034265,0.002717
5.0,46514,1907.000000,0.043669,0.005162
5.5,11664,377.500000,0.034008,0.010271
6.0,2473,95.000000,0.042361,0.022512
6.5,474,-6.500000,-0.014488,0.051767
7.0,95,-16.000000,-0.187884,0.120463
7.5,18,-1.000000,-0.071759,0.261591
8.0,5,-3.000000,-0.600000,0.357771
