TrueCount,HandsPlayed,TotalPayout,EV,StdError
-3.5,6,2.000000,0.333333,0.384900
-3.0,30,-1.000000,-0.033333,0.183989
-2.5,473,-7.000000,-0.014799,0.052829
-2.0,4534,-7.000000,-0.001544,0.016927
-1.5,47094,-941.500000,-0.019992,0.005240
-1.0,584191,-6809.000000,-0.011655,0.001483
-0.5,5223172,-39770.000000,-0.007614,0.000495
0.0,71837878,-351998.500000,-0.004900,0.000133
0.5,38308797,-233021.000000,-0.006083,0.000183
1.0,43718379,-240145.500000,-0.005493,0.000171
1.5,40225185,-214586.500000,-0.005335,0.000178
2.0,39423741,-218256.500000,-0.005536,0.000180
2.5,39061584,-211703.500000,-0.005420,0.000181
3.0,38105583,-213753.500000,-0.005610,0.000183
3.5,36991050,-195880.000000,-0.005295,0.000186
4.0,36227752,-207211.500000,-0.005720,0.000188
4.5,35337733,-182573.500000,-0.005167,0.000190
5.0,33851793,-180582.500000,-0.005335,0.000194
5.5,33016259,-173929.500000,-0.005268,0.000196
6.0,32817073,-165167.000000,-0.005033,0.000197
6.5,31612462,-160450.500000,-0.005076,0.000201
7.0,30446034,-161013.500000,-0.005288,0.000205
7.5,30434357,-162609.000000,-0.005343,0.000205
8.0,29058075,-159104.000000,-0.005475,0.000209
8.5,28902078,-142138.000000,-0.004918,0.000210
9.0,27790661,-150622.500000,-0.005420,0.000214
9.5,26916762,-144218.500000,-0.005358,0.000218
10.0,26760076,-129701.000000,-0.004847,0.000218
10.5,25982846,-136288.500000,-0.005245,0.000221
11.0,25631745,-125250.500000,-0.004887,0.000223
11.5,24866450,-115812.000000,-0.004657,0.000226
12.0,24394799,-122472.500000,-0.005020,0.000229
12.5,23290625,-133507.500000,-0.005732,0.000234
13.0,23776705,-124730.000000,-0.005246,0.000231
13.5,22418842,-107428.000000,-0.004792,0.000238
14.0,22386366,-103906.500000,-0.004642,0.000239
14.5,21394022,-102734.000000,-0.004802,0.000244
15.0,21479295,-97327.000000,-0.004531,0.000243
15.5,20938617,-95589.500000,-0.004565,0.000247
16.0,20276058,-84188.000000,-0.004152,0.000251
16.5,20123625,-93255.500000,-0.004634,0.000252
17.0,19818239,-110760.500000,-0.005589,0.000254
17.5,18803831,-75419.000000,-0.004011,0.000260
18.0,18875211,-84440.000000,-0.004474,0.000260
18.5,18312733,-79938.000000,-0.004365,0.000264
19.0,17884227,-73579.500000,-0.004114,0.000267
19.5,17302224,-66476.500000,-0.003842,0.000271
20.0,16705449,-54548.000000,-0.003265,0.000276
20.5,16952869,-55164.500000,-0.003254,0.000274
21.0,15058920,-40557.000000,-0.002693,0.000290
21.5,14684758,-31789.000000,-0.002165,0.000294
22.0,14625523,-26372.500000,-0.001803,0.000294
22.5,12621983,-14792.000000,-0.001172,0.000317
23.0,12535175,-10294.500000,-0.000821,0.000318
23.5,11363779,2261.500000,0.000199,0.000333
24.0,10364986,9642.500000,0.000930,0.000349
24.5,9488191,20386.500000,0.002149,0.000364
25.0,7569500,22113.500000,0.002921,0.000407
25.5,8050758,30815.000000,0.003828,0.000395
26.0,5220194,30239.000000,0.005793,0.000490
26.5,5912121,36155.000000,0.006115,0.000460
27.0,3842770,26058.500000,0.006781,0.000569
27.5,3651059,33332.500000,0.009130,0.000584
28.0,2783198,24299.000000,0.008731,0.000668
28.5,2161162,21326.000000,0.009868,0.000758
29.0,1714344,19440.000000,0.011340,0.000851
29.5,1211858,16444.500000,0.013570,0.001011
30.0,959964,13183.000000,0.013733,0.001134
30.5,673449,11139.000000,0.016540,0.001353
31.0,437762,7323.000000,0.016728,0.001676
31.5,340689,6800.500000,0.019961,0.001896
32.0,217036,4484.000000,0.020660,0.002372
32.5,132403,2710.000000,0.020468,0.003034
33.0,91191,1040.000000,0.011405,0.003649
33.5,52820,1374.500000,0.026022,0.004805
34.0,32865,610.000000,0.018561,0.006077
34.5,19518,399.500000,0.020468,0.007873
35.0,12288,8.000000,0.000651,0.009882
35.5,6697,85.500000,0.012767,0.013365
36.0,3621,73.000000,0.020160,0.018228
36.5,1788,41.500000,0.023210,0.025668
37.0,954,62.500000,0.065514,0.035363
37.5,494,64.000000,0.129555,0.049635
38.0,250,20.000000,0.080000,0.069846
38.5,127,-14.500000,-0.114173,0.093198
39.0,56,10.500000,0.187500,0.142613
39.5,19,2.500000,0.131579,0.251979
40.0,15,-7.000000,-0.466667,0.264435
40.5,4,3.500000,0.875000,0.272431
41.0,4,-2.000000,-0.500000,0.433013
