TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-3.5,3,-1.0,-0.333333,0.544331,0.0
-3.0,36,1.5,0.041667,0.188782,2e-06
-2.5,473,10.0,0.021142,0.05449,3.2e-05
-2.0,4522,-117.5,-0.025984,0.016828,0.000305
-1.5,47940,-301.0,-0.006279,0.005196,0.003229
-1.0,583983,-5540.5,-0.009487,0.001485,0.039331
-0.5,5221453,-38410.5,-0.007356,0.000495,0.351659
0.0,71839278,-361095.0,-0.005026,0.000133,4.838293
0.5,38301647,-245978.0,-0.006422,0.000183,2.579572
1.0,43719063,-240720.5,-0.005506,0.000171,2.944429
1.5,40218837,-216238.0,-0.005377,0.000178,2.708693
2.0,39418412,-210683.5,-0.005345,0.00018,2.654785
2.5,39061166,-209328.5,-0.005359,0.000181,2.630725
3.0,38110714,-193645.5,-0.005081,0.000183,2.566713
3.5,36992053,-206298.0,-0.005577,0.000186,2.491372
4.0,36213525,-200529.0,-0.005537,0.000188,2.438939
4.5,35346446,-201993.5,-0.005715,0.00019,2.380543
5.0,33843939,-170113.5,-0.005026,0.000194,2.279351
5.5,33029257,-171490.0,-0.005192,0.000196,2.224483
6.0,32821408,-176905.5,-0.00539,0.000197,2.210484
6.5,31617259,-160720.0,-0.005083,0.000201,2.129386
7.0,30444681,-164696.0,-0.00541,0.000205,2.050414
7.5,30439651,-151426.0,-0.004975,0.000205,2.050076
8.0,29065290,-144481.5,-0.004971,0.000209,1.957514
8.5,28913179,-147551.5,-0.005103,0.00021,1.947269
9.0,27789645,-139348.5,-0.005014,0.000214,1.871601
9.5,26908557,-138455.5,-0.005145,0.000218,1.81226
10.0,26767342,-141171.5,-0.005274,0.000218,1.80275
10.5,25985468,-123745.5,-0.004762,0.000221,1.750092
11.0,25624422,-124748.0,-0.004868,0.000223,1.725775
11.5,24877370,-128113.0,-0.00515,0.000226,1.675462
12.0,24407561,-114606.0,-0.004696,0.000228,1.643821
12.5,23279355,-119722.0,-0.005143,0.000234,1.567838
13.0,23773094,-114432.5,-0.004814,0.000231,1.601091
13.5,22431365,-110168.0,-0.004911,0.000238,1.510727
14.0,22380495,-103037.5,-0.004604,0.000239,1.507301
14.5,21405755,-109568.0,-0.005119,0.000244,1.441653
15.0,21490921,-105353.5,-0.004902,0.000243,1.447389
15.5,20955003,-94440.0,-0.004507,0.000246,1.411295
16.0,20297073,-101496.0,-0.005001,0.00025,1.366985
16.5,20172924,-99533.0,-0.004934,0.000251,1.358623
17.0,19880078,-115376.0,-0.005804,0.000253,1.3389
17.5,18903378,-75024.0,-0.003969,0.000259,1.273121
18.0,19022845,-94704.0,-0.004978,0.000259,1.281167
18.5,18542284,-91998.5,-0.004962,0.000262,1.248802
19.0,18221089,-95466.0,-0.005239,0.000264,1.227169
19.5,17767993,-86702.5,-0.00488,0.000268,1.196654
20.0,17376206,-86095.5,-0.004955,0.000271,1.170268
20.5,17915306,-80937.5,-0.004518,0.000267,1.206575
21.0,16244710,-65237.0,-0.004016,0.00028,1.094063
21.5,16319436,-74892.0,-0.004589,0.000279,1.099095
22.0,16691882,-73265.5,-0.004389,0.000276,1.124179
22.5,15071097,-61853.0,-0.004104,0.000291,1.015021
23.0,15798029,-71370.5,-0.004518,0.000284,1.063979
23.5,15100783,-59045.0,-0.00391,0.00029,1.01702
24.0,14875823,-53128.0,-0.003571,0.000292,1.00187
24.5,14297274,-52289.5,-0.003657,0.000298,0.962905
25.0,13701887,-47813.0,-0.00349,0.000305,0.922806
25.5,14356980,-33791.0,-0.002354,0.000297,0.966926
26.0,11452992,-36316.0,-0.003171,0.000333,0.771346
26.5,13019433,-7809.5,-0.0006,0.000312,0.876844
27.0,11888295,-13488.0,-0.001135,0.000327,0.800663
27.5,11154624,-7944.0,-0.000712,0.000337,0.751251
28.0,10589291,-692.5,-6.5e-05,0.000346,0.713177
28.5,9615913,5720.5,0.000595,0.000363,0.647621
29.0,8999942,12433.0,0.001381,0.000375,0.606136
29.5,8049800,18891.5,0.002347,0.000396,0.542145
30.0,7448706,28125.5,0.003776,0.000412,0.501662
30.5,6550286,29072.0,0.004438,0.000439,0.441154
31.0,5709324,28973.5,0.005075,0.000469,0.384516
31.5,5181652,35631.5,0.006876,0.000492,0.348978
32.0,4326829,30868.0,0.007134,0.000538,0.291407
32.5,3610571,29799.0,0.008253,0.000589,0.243168
33.0,2942997,23830.5,0.008097,0.000651,0.198207
33.5,2504005,22374.0,0.008935,0.000705,0.168642
34.0,1896940,22546.5,0.011886,0.000809,0.127757
34.5,1462619,21850.0,0.014939,0.000921,0.098506
35.0,1257473,16107.5,0.012809,0.000992,0.084689
35.5,960778,15814.5,0.01646,0.001133,0.064707
36.0,660176,9221.0,0.013967,0.001364,0.044462
36.5,499851,8019.5,0.016044,0.001567,0.033664
37.0,366041,6410.0,0.017512,0.001826,0.024652
37.5,253865,5812.0,0.022894,0.00219,0.017098
38.0,173474,2390.5,0.01378,0.002646,0.011683
38.5,116891,3207.0,0.027436,0.00323,0.007872
39.0,90526,2499.0,0.027605,0.003666,0.006097
39.5,47856,1687.0,0.035252,0.005039,0.003223
40.0,34809,1048.5,0.030122,0.00588,0.002344
40.5,20654,541.5,0.026218,0.007632,0.001391
41.0,14081,540.0,0.03835,0.009211,0.000948
41.5,7405,382.5,0.051654,0.012713,0.000499
42.0,4712,163.5,0.034699,0.01596,0.000317
42.5,2714,123.5,0.045505,0.021069,0.000183
43.0,1310,72.0,0.054962,0.030122,8.8e-05
43.5,871,27.5,0.031573,0.036566,5.9e-05
44.0,383,31.5,0.082245,0.056884,2.6e-05
44.5,269,-14.5,-0.053903,0.067528,1.8e-05
45.0,124,9.5,0.076613,0.095087,8e-06
45.5,69,6.0,0.086957,0.126327,5e-06
46.0,21,-4.5,-0.214286,0.209121,1e-06
46.5,15,6.5,0.433333,0.286227,1e-06
47.0,7,2.0,0.285714,0.332847,0.0
47.5,1,-1.0,-1.0,0.0,0.0
48.0,2,3.0,1.5,0.353553,0.0
