TrueCount,HandsPlayed,TotalPayout,EV,StdError
-11.0,1,-1.000000,-1.000000,0.000000
-10.5,1,-1.000000,-1.000000,0.000000
-10.0,3,-1.000000,-0.333333,0.544331
-9.5,9,12.000000,1.333333,0.157135
-9.0,29,2.500000,0.086207,0.246339
-8.5,71,9.000000,0.126761,0.127820
-8.0,124,-18.000000,-0.145161,0.098072
-7.5,312,-54.000000,-0.173077,0.067014
-7.0,707,-82.000000,-0.115983,0.043308
-6.5,1743,-52.500000,-0.030120,0.028028
-6.0,3476,-73.000000,-0.021001,0.019833
-5.5,7901,-422.000000,-0.053411,0.013057
-5.0,17835,-334.500000,-0.018755,0.008641
-4.5,36978,-1258.500000,-0.034034,0.005986
-4.0,85388,-2905.500000,-0.034027,0.003936
-3.5,186234,-4780.000000,-0.025667,0.002656
-3.0,276142,-6665.000000,-0.024136,0.002182
-2.5,635461,-12383.000000,-0.019487,0.001435
-2.0,1239977,-20672.000000,-0.016671,0.001024
-1.5,2218214,-32513.000000,-0.014657,0.000765
-1.0,4176529,-54739.000000,-0.013106,0.000557
-0.5,6888949,-83731.000000,-0.012154,0.000433
0.0,61333016,-218021.500000,-0.003555,0.000144
0.5,12951465,-118781.000000,-0.009171,0.000315
1.0,14286342,-90888.000000,-0.006362,0.000300
1.5,13896212,-84033.500000,-0.006047,0.000304
2.0,15091799,-104149.000000,-0.006901,0.000291
2.5,13004881,-87067.000000,-0.006695,0.000314
3.0,14860067,-88619.500000,-0.005964,0.000294
3.5,14269233,-86553.000000,-0.006066,0.000300
4.0,14615472,-70187.000000,-0.004802,0.000296
4.5,13462457,-70361.000000,-0.005226,0.000308
5.0,11923884,-66626.500000,-0.005588,0.000327
5.5,13370022,-67257.500000,-0.005030,0.000309
6.0,11881437,-63903.500000,-0.005378,0.000328
6.5,11523162,-52868.000000,-0.004588,0.000333
7.0,11874283,-59325.500000,-0.004996,0.000328
7.5,10853705,-51401.500000,-0.004736,0.000343
8.0,11041857,-51458.000000,-0.004660,0.000340
8.5,9638610,-49955.000000,-0.005183,0.000364
9.0,10559301,-49753.000000,-0.004712,0.000348
9.5,9848185,-37583.000000,-0.003816,0.000360
10.0,9548569,-59206.000000,-0.006201,0.000366
10.5,9510439,-32360.000000,-0.003403,0.000366
11.0,9406442,-30426.500000,-0.003235,0.000368
11.5,9078890,-40747.500000,-0.004488,0.000375
12.0,8301217,-35587.000000,-0.004287,0.000392
12.5,7769418,-28558.000000,-0.003676,0.000405
13.0,9448841,-34552.000000,-0.003657,0.000368
13.5,7322671,-21619.500000,-0.002952,0.000418
14.0,7707651,-23524.000000,-0.003052,0.000406
14.5,8152422,-40655.000000,-0.004987,0.000396
15.0,7067034,-22285.000000,-0.003153,0.000425
15.5,6871668,-21366.500000,-0.003109,0.000431
16.0,6956067,-24933.000000,-0.003584,0.000428
16.5,7346288,-37916.000000,-0.005161,0.000417
17.0,5846928,-5128.500000,-0.000877,0.000466
17.5,7650318,-39766.000000,-0.005198,0.000409
18.0,6473923,-7566.000000,-0.001169,0.000443
18.5,5772856,-22076.000000,-0.003824,0.000470
19.0,6152071,-16182.000000,-0.002630,0.000455
19.5,6200527,-20125.000000,-0.003246,0.000453
20.0,5850933,-23214.000000,-0.003968,0.000467
20.5,5280080,-9839.000000,-0.001863,0.000491
21.0,6238058,-15371.000000,-0.002464,0.000452
21.5,5679096,-10049.500000,-0.001770,0.000473
22.0,4780338,-13956.500000,-0.002920,0.000516
22.5,5333703,-12645.000000,-0.002371,0.000489
23.0,5692922,-17796.000000,-0.003126,0.000473
23.5,5052257,-15799.000000,-0.003127,0.000502
24.0,4578987,-1336.500000,-0.000292,0.000527
24.5,4848030,1687.500000,0.000348,0.000511
25.0,4731387,-734.500000,-0.000155,0.000518
25.5,4768909,-14640.500000,-0.003070,0.000518
26.0,4735497,-12182.000000,-0.002572,0.000519
26.5,4749848,-23607.500000,-0.004970,0.000518
27.0,4390516,2459.000000,0.000560,0.000537
27.5,4107607,-67.500000,-0.000016,0.000555
28.0,3728709,-7174.000000,-0.001924,0.000584
28.5,4212262,-13132.000000,-0.003118,0.000550
29.0,3857661,6738.000000,0.001747,0.000573
29.5,4595024,-2342.000000,-0.000510,0.000526
30.0,3671276,-4301.000000,-0.001172,0.000588
30.5,3655599,6703.500000,0.001834,0.000589
31.0,4099165,5380.000000,0.001312,0.000556
31.5,3251197,-2516.000000,-0.000774,0.000625
32.0,3548419,14776.500000,0.004164,0.000596
32.5,3144140,2581.000000,0.000821,0.000635
33.0,3361838,11064.500000,0.003291,0.000614
33.5,3202472,4447.000000,0.001389,0.000629
34.0,3312841,285.000000,0.000086,0.000621
34.5,3754795,38678.000000,0.010301,0.000579
35.0,2516887,3106.500000,0.001234,0.000712
35.5,2542154,11915.500000,0.004687,0.000706
36.0,2765732,25912.000000,0.009369,0.000674
36.5,2874403,14509.500000,0.005048,0.000664
37.0,2742663,17239.000000,0.006285,0.000679
37.5,2673737,25158.000000,0.009421,0.000687
38.0,2393312,21381.500000,0.008956,0.000727
38.5,3003992,29655.500000,0.009909,0.000649
39.0,1257377,21758.500000,0.017416,0.000998
39.5,3066569,28604.000000,0.009396,0.000643
40.0,1780105,32421.000000,0.018474,0.000837
40.5,1719128,35036.000000,0.020746,0.000853
41.0,2370638,31843.500000,0.013669,0.000732
41.5,1787098,40431.500000,0.023311,0.000839
42.0,1807995,38727.000000,0.022051,0.000836
42.5,1908312,44160.000000,0.023940,0.000813
43.0,1298225,47443.500000,0.038087,0.000977
43.5,1499071,42595.500000,0.029612,0.000914
44.0,1860625,51609.000000,0.028926,0.000822
44.5,939856,41444.500000,0.046077,0.001141
45.0,1504286,40358.000000,0.028131,0.000916
45.5,1271193,48250.500000,0.039947,0.000988
