TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-11.0,1,0.0,0.0,0.0,0.0
-10.5,6,0.0,-0.0,0.408248,1e-06
-10.0,4,2.0,0.5,0.75,1e-06
-9.5,8,3.0,0.375,0.584634,1e-06
-9.0,28,-3.0,-0.107143,0.227785,4e-06
-8.5,64,12.5,0.195313,0.138269,9e-06
-8.0,140,-12.5,-0.089286,0.100162,2e-05
-7.5,361,-11.0,-0.030471,0.061235,5.1e-05
-7.0,771,-59.5,-0.077173,0.042101,0.000109
-6.5,1734,-119.5,-0.068916,0.027852,0.000245
-6.0,3679,-94.0,-0.02555,0.019107,0.000521
-5.5,7988,-441.5,-0.05527,0.012973,0.001131
-5.0,17709,-653.5,-0.036902,0.0087,0.002507
-4.5,37347,-1362.5,-0.036482,0.005951,0.005287
-4.0,85021,-2136.5,-0.025129,0.003942,0.012036
-3.5,185393,-3388.5,-0.018277,0.002668,0.026245
-3.0,276098,-5714.0,-0.020696,0.002181,0.039086
-2.5,635363,-12565.0,-0.019776,0.001435,0.089945
-2.0,1239015,-23354.0,-0.018849,0.001025,0.1754
-1.5,2216886,-31035.5,-0.014,0.000765,0.313832
-1.0,4172619,-54341.0,-0.013023,0.000557,0.590693
-0.5,6897207,-83401.5,-0.012092,0.000433,0.976398
0.0,61341156,-206485.0,-0.003366,0.000144,8.683711
0.5,12955183,-130735.5,-0.010091,0.000315,1.83399
1.0,14288298,-99835.0,-0.006987,0.0003,2.022711
1.5,13888545,-85858.0,-0.006182,0.000304,1.966121
2.0,15081077,-99599.5,-0.006604,0.000292,2.134941
2.5,13009027,-93522.5,-0.007189,0.000314,1.841612
3.0,14859819,-80323.5,-0.005405,0.000294,2.103618
3.5,14271581,-86598.5,-0.006068,0.0003,2.020345
4.0,14610690,-73292.0,-0.005016,0.000296,2.068351
4.5,13461405,-75228.0,-0.005588,0.000308,1.905653
5.0,11917847,-61026.0,-0.005121,0.000327,1.68714
5.5,13364877,-71884.0,-0.005379,0.000309,1.891988
6.0,11885577,-61876.0,-0.005206,0.000328,1.682572
6.5,11528577,-61756.5,-0.005357,0.000333,1.632034
7.0,11876324,-56893.5,-0.00479,0.000328,1.681262
7.5,10860251,-50914.0,-0.004688,0.000343,1.537423
8.0,11047749,-49452.5,-0.004476,0.00034,1.563966
8.5,9641956,-48984.5,-0.00508,0.000364,1.364956
9.0,10559258,-40992.5,-0.003882,0.000348,1.494813
