TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-18.5,1,1.5,1.5,0.0,0.0
-18.0,1,0.0,0.0,0.0,0.0
-17.5,2,-2.0,-1.0,0.0,0.0
-17.0,3,4.0,1.333333,0.544331,0.0
-16.5,2,-1.0,-0.5,0.353553,0.0
-16.0,10,-4.0,-0.4,0.32249,1e-06
-15.5,12,-4.0,-0.333333,0.446177,2e-06
-15.0,29,6.0,0.206897,0.239546,4e-06
-14.5,38,-4.5,-0.118421,0.181783,5e-06
-14.0,56,2.0,0.035714,0.160643,8e-06
-13.5,98,-16.5,-0.168367,0.109651,1.4e-05
-13.0,162,14.0,0.08642,0.091826,2.3e-05
-12.5,218,-31.0,-0.142202,0.080058,3.1e-05
-12.0,425,4.5,0.010588,0.055242,6e-05
-11.5,709,-66.5,-0.093794,0.043404,0.0001
-11.0,1052,-46.5,-0.044202,0.035741,0.000149
-10.5,1572,-80.5,-0.051209,0.029845,0.000222
-10.0,2293,-4.5,-0.001962,0.024314,0.000324
-9.5,3808,-135.5,-0.035583,0.018942,0.000538
-9.0,6764,-260.0,-0.038439,0.014166,0.000956
-8.5,9505,-549.5,-0.057812,0.011884,0.001344
-8.0,16503,-373.0,-0.022602,0.008988,0.002334
-7.5,25406,-855.0,-0.033653,0.007279,0.003593
-7.0,39060,-1295.0,-0.033154,0.005832,0.005523
-6.5,60028,-2456.5,-0.040923,0.004689,0.008488
-6.0,90071,-2494.5,-0.027695,0.003831,0.012736
-5.5,140981,-3374.0,-0.023932,0.003056,0.019935
-5.0,214320,-6092.5,-0.028427,0.002475,0.030306
-4.5,345815,-8704.5,-0.025171,0.001945,0.0489
-4.0,571258,-12032.5,-0.021063,0.001512,0.080778
-3.5,812881,-14609.0,-0.017972,0.001265,0.114944
-3.0,1030599,-19540.0,-0.01896,0.001123,0.14573
-2.5,1816757,-28876.0,-0.015894,0.000844,0.256896
-2.0,2114722,-32463.0,-0.015351,0.000782,0.299029
-1.5,3253574,-47451.5,-0.014584,0.00063,0.460067
-1.0,4367517,-48672.5,-0.011144,0.000544,0.617583
