TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-109.0,2,0.0,0.0,0.707107,0.0
-107.0,2,-4.0,-2.0,0.0,0.0
-105.5,1,-1.0,-1.0,0.0,0.0
-104.0,2,-1.0,-0.5,0.353553,0.0
-102.5,3,-2.0,-0.666667,0.272166,0.0
-101.0,4,-2.0,-0.5,0.559017,1e-06
-99.5,4,-3.0,-0.75,0.544862,1e-06
-99.0,3,-1.0,-0.333333,0.981307,0.0
-98.0,2,-2.0,-1.0,0.0,0.0
-97.5,10,-7.0,-0.7,0.284605,1e-06
-97.0,4,5.0,1.25,0.414578,1e-06
-96.5,5,2.0,0.4,0.536656,1e-06
-96.0,17,-4.0,-0.235294,0.282468,2e-06
-95.0,8,-2.0,-0.25,0.342327,1e-06
-94.5,33,-8.0,-0.242424,0.222806,5e-06
-94.0,4,0.0,0.0,0.790569,1e-06
-93.5,14,1.0,0.071429,0.397239,2e-06
-93.0,14,4.0,0.285714,0.370171,2e-06
-92.5,31,-6.0,-0.193548,0.25975,4e-06
-92.0,19,-12.0,-0.631579,0.280586,3e-06
-91.5,24,-13.0,-0.541667,0.235549,3e-06
-91.0,40,-17.0,-0.425,0.183329,6e-06
-90.5,8,2.0,0.25,0.459279,1e-06
-90.0,54,-17.0,-0.314815,0.176799,8e-06
-89.5,56,-22.0,-0.392857,0.163036,8e-06
-89.0,22,-13.0,-0.590909,0.228714,3e-06
-88.5,28,-15.0,-0.535714,0.198734,4e-06
-88.0,114,-42.0,-0.368421,0.111139,1.6e-05
-87.5,35,2.0,0.057143,0.213591,5e-06
-87.0,44,-13.0,-0.295455,0.177737,6e-06
-86.5,90,-4.5,-0.05,0.13148,1.3e-05
-86.0,131,-38.0,-0.290076,0.108756,1.9e-05
-85.5,66,-22.0,-0.333333,0.15464,9e-06
-85.0,89,-12.0,-0.134831,0.133127,1.3e-05
-84.5,191,-76.5,-0.400524,0.08786,2.7e-05
-84.0,104,-46.0,-0.442308,0.108638,1.5e-05
-83.5,111,-45.0,-0.405405,0.121122,1.6e-05
-83.0,238,-87.5,-0.367647,0.07737,3.4e-05
-82.5,139,-36.0,-0.258993,0.109266,2e-05
-82.0,173,-47.0,-0.271676,0.095285,2.4e-05
-81.5,352,-87.5,-0.24858,0.066686,5e-05
-81.0,184,-47.5,-0.258152,0.090777,2.6e-05
-80.5,252,-100.5,-0.39881,0.078183,3.6e-05
-80.0,181,-40.5,-0.223757,0.090646,2.6e-05
