TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-67.0,1,-2.0,-2.0,0.0,0.0
-59.0,1,-2.0,-2.0,0.0,0.0
-57.5,3,1.0,0.333333,0.544331,0.0
-57.0,1,-1.0,-1.0,0.0,0.0
-56.0,9,0.0,0.0,0.496904,1e-06
-55.0,6,-1.0,-0.166667,0.683807,1e-06
-54.5,15,-6.0,-0.4,0.263312,2e-06
-53.5,23,-16.0,-0.695652,0.241567,3e-06
-53.0,1,1.0,1.0,0.0,0.0
-52.0,46,-16.0,-0.347826,0.16618,7e-06
-51.0,3,2.0,0.666667,0.272166,0.0
-50.5,79,-9.5,-0.120253,0.147677,1.2e-05
-49.5,81,-24.0,-0.296296,0.148605,1.2e-05
-49.0,47,-10.5,-0.223404,0.167403,7e-06
-48.5,26,-14.0,-0.538462,0.238528,4e-06
-48.0,265,-47.5,-0.179245,0.076803,4e-05
-47.5,12,1.0,0.083333,0.342749,2e-06
-47.0,98,-7.0,-0.071429,0.130676,1.5e-05
-46.5,367,-103.5,-0.282016,0.06602,5.6e-05
-46.0,79,-29.5,-0.373418,0.143342,1.2e-05
-45.5,268,-31.0,-0.115672,0.076871,4.1e-05
-45.0,507,-97.5,-0.192308,0.054214,7.7e-05
-44.5,211,-41.5,-0.196682,0.087977,3.2e-05
-44.0,642,-145.5,-0.226636,0.048992,9.7e-05
-43.5,599,-148.0,-0.247078,0.049606,9.1e-05
-43.0,468,-76.5,-0.163462,0.05786,7.1e-05
-42.5,1026,-256.5,-0.25,0.038485,0.000155
-42.0,1065,-229.5,-0.215493,0.037191,0.000161
-41.5,987,-128.5,-0.130193,0.039253,0.000149
-41.0,2284,-418.5,-0.183231,0.025687,0.000346
-40.5,1133,-229.0,-0.202118,0.03562,0.000172
-40.0,1437,-276.5,-0.192415,0.032477,0.000218
-39.5,4230,-765.5,-0.180969,0.018948,0.000641
-39.0,1273,-199.0,-0.156324,0.034505,0.000193
-38.5,4411,-799.5,-0.181251,0.018399,0.000668
-38.0,4444,-805.0,-0.181143,0.018204,0.000673
-37.5,4495,-720.5,-0.160289,0.018235,0.000681
-37.0,5861,-961.5,-0.164051,0.015869,0.000888
-36.5,7971,-1375.0,-0.1725,0.013671,0.001207
-36.0,6032,-982.5,-0.162881,0.015699,0.000913
-35.5,8060,-1013.5,-0.125744,0.013519,0.001221
