TrueCount,HandsPlayed,TotalPayout,EV,StdError
-20.0,1,-1.000000,-1.000000,0.000000
-19.5,3,-3.000000,-1.000000,0.000000
-19.0,7,0.000000,0.000000,0.349927
-18.5,16,6.500000,0.406250,0.254716
-18.0,19,-1.000000,-0.052632,0.273215
-17.5,44,4.000000,0.090909,0.180587
-17.0,84,-10.000000,-0.119048,0.122746
-16.5,189,3.000000,0.015873,0.078914
-16.0,317,-48.000000,-0.151420,0.064436
-15.5,591,-63.000000,-0.106599,0.047567
-15.0,1233,-117.500000,-0.095296,0.032447
-14.5,2076,-214.000000,-0.103083,0.024780
-14.0,4043,-173.000000,-0.042790,0.018162
-13.5,6807,-220.000000,-0.032320,0.013971
-13.0,12012,-614.000000,-0.051116,0.010556
-12.5,20079,-884.000000,-0.044026,0.008173
-12.0,34571,-1484.500000,-0.042941,0.006201
-11.5,57174,-2293.500000,-0.040114,0.004819
-11.0,92466,-3763.000000,-0.040696,0.003784
-10.5,147878,-5505.500000,-0.037230,0.002986
-10.0,229494,-7135.000000,-0.031090,0.002396
-9.5,362730,-12079.000000,-0.033300,0.001904
-9.0,543065,-15768.000000,-0.029035,0.001555
-8.5,846834,-23716.500000,-0.028006,0.001244
-8.0,1241256,-35790.000000,-0.028834,0.001026
-7.5,1828935,-47260.000000,-0.025840,0.000844
-7.0,2611517,-61590.000000,-0.023584,0.000706
-6.5,3722478,-85641.000000,-0.023006,0.000591
-6.0,5339532,-112816.000000,-0.021128,0.000493
-5.5,7118633,-140636.000000,-0.019756,0.000426
-5.0,9891229,-167285.000000,-0.016912,0.000361
-4.5,13588512,-219597.000000,-0.016160,0.000308
-4.0,17945693,-262845.000000,-0.014647,0.000268
-3.5,23924078,-323270.000000,-0.013512,0.000231
-3.0,31072393,-379939.000000,-0.012228,0.000203
-2.5,41012361,-453466.500000,-0.011057,0.000176
-2.0,51876905,-464433.500000,-0.008953,0.000157
-1.5,66501585,-522665.500000,-0.007859,0.000138
-1.0,82295811,-522965.000000,-0.006355,0.000124
-0.5,96416392,-522434.000000,-0.005419,0.000115
0.0,170535783,-653946.500000,-0.003835,0.000086
0.5,90377094,-234519.500000,-0.002595,0.000118
1.0,76834417,-95990.000000,-0.001249,0.000128
1.5,62029250,-11911.500000,-0.000192,0.000143
2.0,48386645,73936.500000,0.001528,0.000162
2.5,38022634,99107.500000,0.002607,0.000182
3.0,28721435,107722.500000,0.003751,0.000209
3.5,22020564,117285.000000,0.005326,0.000239
4.0,16439805,108687.500000,0.006611,0.000276
4.5,12397523,102029.000000,0.008230,0.000318
5.0,8972484,86841.500000,0.009679,0.000373
5.5,6420107,76811.000000,0.011983,0.000444
6.0,4786687,76250.000000,0.016125,0.000516
6.5,3331963,64939.500000,0.019998,0.000617
7.0,2325809,56148.000000,0.025212,0.000735
7.5,1613706,49281.000000,0.032188,0.000881
8.0,1090892,35996.000000,0.034849,0.001071
8.5,736712,24356.500000,0.035005,0.001301
9.0,469058,16773.000000,0.037960,0.001628
9.5,311833,11682.000000,0.039584,0.001993
10.0,194763,7765.000000,0.042495,0.002521
10.5,124262,4968.000000,0.042151,0.003151
11.0,77382,3438.500000,0.047415,0.003984
11.5,47247,2113.500000,0.047738,0.005094
12.0,28287,732.000000,0.027199,0.006606
12.5,16720,758.000000,0.047519,0.008574
13.0,9670,480.500000,0.053299,0.011178
13.5,5686,355.000000,0.066902,0.014735
14.0,3063,160.000000,0.056748,0.019842
14.5,1700,119.000000,0.076390,0.026416
15.0,979,61.000000,0.065648,0.035037
15.5,490,58.500000,0.120626,0.048298
16.0,257,21.000000,0.088420,0.068653
16.5,139,20.000000,0.153847,0.090818
17.0,64,26.000000,0.422310,0.135455
17.5,33,7.000000,0.221170,0.195065
18.0,18,1.000000,0.055556,0.274674
18.5,3,-1.000000,-0.333333,0.544331
19.0,3,4.500000,1.500000,0.235702
19.5,2,1.500000,0.750000,0.530330
20.0,1,-1.000000,-1.000000,0.000000
