TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-3.5,2,-2.0,-1.0,0.0,0.0
-3.0,22,-1.0,-0.045455,0.227066,2e-06
-2.5,475,-21.5,-0.045263,0.053603,4e-05
-2.0,6254,-172.5,-0.027582,0.014634,0.000521
-1.5,83360,-1834.5,-0.022007,0.003955,0.006947
-1.0,1086299,-17874.5,-0.016454,0.001091,0.09053
-0.5,16270724,-183445.5,-0.011275,0.00028,1.355974
0.0,114425159,-848721.5,-0.007417,0.000105,9.535996
0.5,110059207,-821455.5,-0.007464,0.000107,9.172145
1.0,98835370,-715728.5,-0.007242,0.000113,8.23677
1.5,92206167,-652202.0,-0.007073,0.000117,7.684304
2.0,85931239,-598935.5,-0.00697,0.000122,7.161362
2.5,80356661,-546155.0,-0.006797,0.000126,6.696786
3.0,74669310,-502363.5,-0.006728,0.00013,6.222812
3.5,71216198,-439287.5,-0.006168,0.000133,5.935036
4.0,65425837,-407395.5,-0.006227,0.000139,5.452477
4.5,61458553,-345135.5,-0.005616,0.000144,5.12185
5.0,56720961,-317144.5,-0.005591,0.000149,4.727027
5.5,51270953,-234229.5,-0.004568,0.000157,4.272833
6.0,46526182,-154706.0,-0.003325,0.000165,3.877412
6.5,40485959,-98937.0,-0.002444,0.000176,3.37403
7.0,34416939,-32028.5,-0.000931,0.000191,2.868249
7.5,28528483,15670.5,0.000549,0.00021,2.377515
8.0,21878280,43825.5,0.002003,0.000239,1.823298
8.5,16538521,71031.0,0.004295,0.000275,1.378292
9.0,12113650,71011.0,0.005862,0.00032,1.009531
9.5,7888794,62557.5,0.00793,0.000396,0.657439
10.0,5225010,53829.5,0.010302,0.000486,0.435443
10.5,2962328,34578.0,0.011673,0.000644,0.246875
11.0,1707203,22344.5,0.013088,0.000847,0.142275
11.5,864259,14908.0,0.017249,0.001189,0.072026
12.0,441363,8975.0,0.020335,0.001658,0.036782
12.5,201737,3603.0,0.01786,0.002452,0.016812
13.0,76269,1765.0,0.023142,0.003971,0.006356
13.5,33904,793.5,0.023404,0.005935,0.002826
14.0,11802,440.5,0.037324,0.010053,0.000984
14.5,3675,100.0,0.027211,0.017816,0.000306
15.0,1200,123.0,0.1025,0.031704,0.0001
15.5,303,5.5,0.018152,0.060779,2.5e-05
16.0,81,9.5,0.117284,0.119464,7e-06
16.5,35,-1.5,-0.042857,0.159555,3e-06
17.0,2,-2.0,-1.0,0.0,0.0
17.5,2,0.0,0.0,0.707107,0.0
