TrueCount,HandsPlayed,TotalPayout,EV,StdError
-2.5,22,-2.000000,-0.090909,0.209871
-2.0,417,-48.000000,-0.115108,0.053702
-1.5,11148,-323.000000,-0.028974,0.010763
-1.0,331458,-5248.500000,-0.015835,0.001972
-0.5,11733971,-129830.000000,-0.011064,0.000330
0.0,139402218,-972520.500000,-0.006976,0.000095
0.5,149611901,-1072615.500000,-0.007169,0.000092
1.0,132837707,-949683.000000,-0.007149,0.000098
1.5,124445279,-876230.000000,-0.007041,0.000101
2.0,115717568,-808430.500000,-0.006986,0.000105
2.5,108486654,-741636.000000,-0.006836,0.000108
3.0,100487235,-656436.000000,-0.006533,0.000112
3.5,96185800,-625099.500000,-0.006499,0.000115
4.0,89491704,-576460.000000,-0.006441,0.000119
4.5,84277369,-553223.000000,-0.006564,0.000123
5.0,79416917,-511179.000000,-0.006437,0.000126
5.5,75925171,-464880.000000,-0.006123,0.000129
6.0,71040412,-461730.000000,-0.006500,0.000134
6.5,67573074,-407109.000000,-0.006025,0.000137
7.0,64148261,-387674.500000,-0.006043,0.000141
7.5,60950825,-375156.500000,-0.006155,0.000144
8.0,57994779,-341729.000000,-0.005892,0.000148
8.5,55801574,-328076.500000,-0.005879,0.000151
9.0,52103630,-306040.500000,-0.005874,0.000156
9.5,49862552,-285557.000000,-0.005727,0.000159
10.0,48487162,-282450.500000,-0.005825,0.000162
10.5,45899449,-254699.500000,-0.005549,0.000166
11.0,44033241,-250180.500000,-0.005682,0.000170
11.5,42119603,-231025.500000,-0.005485,0.000173
12.0,40326121,-225741.500000,-0.005598,0.000177
12.5,38791980,-206061.000000,-0.005312,0.000181
13.0,36437491,-184859.000000,-0.005073,0.000186
13.5,35487854,-167815.500000,-0.004729,0.000189
14.0,33299105,-133897.000000,-0.004021,0.000195
14.5,31280922,-111838.500000,-0.003575,0.000201
15.0,29228039,-77028.500000,-0.002635,0.000208
15.5,27232221,-50207.500000,-0.001844,0.000215
16.0,24033894,-25038.000000,-0.001042,0.000229
16.5,22427136,11062.000000,0.000493,0.000237
17.0,19549439,30834.500000,0.001577,0.000253
17.5,16337234,55320.000000,0.003386,0.000276
18.0,13640219,59036.000000,0.004328,0.000302
18.5,11196781,72825.000000,0.006504,0.000333
19.0,8819297,73812.500000,0.008369,0.000375
19.5,6572079,61232.500000,0.009317,0.000433
20.0,5043226,60813.000000,0.012058,0.000494
20.5,3607643,44807.500000,0.012420,0.000583
21.0,2400536,40458.500000,0.016854,0.000713
21.5,1608030,27746.500000,0.017255,0.000870
22.0,1004213,18712.000000,0.018633,0.001098
22.5,640690,13237.000000,0.020661,0.001374
23.0,396702,8317.000000,0.020965,0.001742
23.5,204394,4909.000000,0.024017,0.002419
24.0,108530,3084.000000,0.028416,0.003310
24.5,56999,1486.500000,0.026079,0.004573
25.0,36234,938.500000,0.025901,0.005725
25.5,12761,450.000000,0.035264,0.009638
26.0,5941,160.500000,0.027016,0.014152
26.5,2865,81.000000,0.028272,0.020092
27.0,1433,36.500000,0.025471,0.028877
27.5,372,16.500000,0.044355,0.055809
28.0,149,19.000000,0.127517,0.087654
28.5,62,6.500000,0.104839,0.136449
29.0,23,-2.000000,-0.086957,0.229350
29.5,5,1.000000,0.200000,0.438178
30.0,1,-1.000000,-1.000000,0.000000
