TrueCount,HandsPlayed,TotalPayout,EV,StdError,HandsPlayedPct
-60.0,4,-2.0,-0.5,0.559017,1e-06
-58.0,1,-1.0,-1.0,0.0,0.0
-57.0,2,1.0,0.5,1.06066,0.0
-56.5,4,2.0,0.5,0.75,1e-06
-56.0,1,-2.0,-2.0,0.0,0.0
-55.0,8,-1.0,-0.125,0.448522,1e-06
-54.5,2,1.0,0.5,1.06066,0.0
-53.5,24,-10.0,-0.416667,0.235088,3e-06
-52.0,91,-28.5,-0.313187,0.133382,1.3e-05
-50.5,128,-69.0,-0.539063,0.113699,1.8e-05
-49.5,9,-4.0,-0.444444,0.44752,1e-06
-49.0,271,-46.5,-0.171587,0.075287,3.8e-05
-48.5,1,-1.0,-1.0,0.0,0.0
-48.0,42,1.0,0.02381,0.200589,6e-06
-47.5,304,-75.0,-0.246711,0.0712,4.3e-05
-47.0,185,-66.0,-0.356757,0.092439,2.6e-05
-46.5,68,-27.0,-0.397059,0.142791,1e-05
-46.0,299,-67.5,-0.225753,0.074448,4.2e-05
-45.5,624,-163.0,-0.261218,0.05,8.8e-05
-45.0,216,-93.0,-0.430556,0.083713,3.1e-05
-44.5,467,-136.5,-0.292291,0.058949,6.6e-05
-44.0,1082,-220.5,-0.203789,0.037041,0.000153
-43.5,284,-91.5,-0.322183,0.071451,4e-05
-43.0,814,-229.0,-0.281327,0.043566,0.000115
-42.5,1797,-373.5,-0.207846,0.029497,0.000254
-42.0,623,-170.0,-0.272873,0.052003,8.8e-05
-41.5,1549,-382.5,-0.246934,0.031681,0.000219
-41.0,1763,-314.0,-0.178106,0.030435,0.000249
-40.5,2299,-578.5,-0.251631,0.026041,0.000325
-40.0,2328,-531.5,-0.228308,0.025819,0.000329
-39.5,3083,-740.0,-0.240026,0.022238,0.000436
-39.0,3748,-681.0,-0.181697,0.020511,0.00053
-38.5,2758,-564.0,-0.204496,0.023825,0.00039
-38.0,6264,-1040.0,-0.166028,0.015728,0.000885
-37.5,6966,-1256.0,-0.180304,0.014793,0.000985
-37.0,4106,-775.0,-0.188748,0.01923,0.00058
-36.5,5992,-1082.0,-0.180574,0.016086,0.000847
-36.0,15006,-2671.0,-0.177995,0.010032,0.002121
-35.5,6233,-1047.5,-0.168057,0.015608,0.000881
-35.0,9142,-1403.0,-0.153468,0.012956,0.001292
-34.5,14168,-2224.0,-0.156973,0.010308,0.002002
-34.0,21462,-3304.5,-0.15397,0.008397,0.003033
-33.5,15793,-2319.0,-0.146837,0.009766,0.002232
-33.0,23310,-3651.0,-0.156628,0.00801,0.003294
-32.5,32808,-4559.5,-0.138975,0.006747,0.004637
-32.0,27500,-4032.5,-0.146636,0.007313,0.003887
-31.5,27449,-3668.5,-0.133648,0.007383,0.003879
-31.0,50469,-7044.5,-0.139581,0.005397,0.007133
-30.5,43336,-5763.0,-0.132984,0.005857,0.006125
-30.0,44537,-5537.0,-0.124324,0.005756,0.006294
-29.5,51516,-6427.0,-0.124757,0.00535,0.007281
-29.0,86179,-9769.0,-0.113357,0.004124,0.01218
-28.5,71005,-8800.0,-0.123935,0.004528,0.010035
-28.0,76570,-8618.0,-0.112551,0.004372,0.010822
-27.5,138875,-15935.5,-0.114747,0.00323,0.019627
