TrueCount,HandsPlayed,TotalPayout,EV,StdError
-16.0,1,2.000000,2.000000,0.000000
-15.5,2,2.000000,1.000000,0.000000
-15.0,15,-1.000000,-0.066667,0.319258
-14.5,21,-1.000000,-0.047619,0.256226
-14.0,74,-20.500000,-0.277027,0.123906
-13.5,137,-8.500000,-0.062044,0.102378
-13.0,364,14.000000,0.038462,0.059998
-12.5,784,-53.000000,-0.067602,0.041113
-12.0,1705,5.500000,0.003226,0.028096
-11.5,3597,-94.000000,-0.026133,0.019300
-11.0,7342,-189.500000,-0.025810,0.013580
-10.5,15497,-740.000000,-0.047751,0.009246
-10.0,30746,-1007.000000,-0.032752,0.006587
-9.5,56832,-2017.500000,-0.035499,0.004843
-9.0,112439,-3771.500000,-0.033543,0.003428
-8.5,199383,-5693.500000,-0.028556,0.002568
-8.0,360954,-10619.500000,-0.029421,0.001906
-7.5,623600,-16864.500000,-0.027044,0.001451
-7.0,1064124,-27623.500000,-0.025959,0.001110
-6.5,1767401,-42457.500000,-0.024023,0.000860
-6.0,2862674,-64315.000000,-0.022467,0.000674
-5.5,4592909,-94053.000000,-0.020478,0.000532
-5.0,7050850,-134499.500000,-0.019076,0.000429
-4.5,10748205,-183869.500000,-0.017107,0.000347
-4.0,16241885,-256416.500000,-0.015787,0.000282
-3.5,23726445,-343831.000000,-0.014491,0.000233
-3.0,33802026,-425332.500000,-0.012583,0.000195
-2.5,47988193,-541470.000000,-0.011283,0.000163
-2.0,66588265,-642163.500000,-0.009644,0.000138
-1.5,92508475,-778986.500000,-0.008421,0.000117
-1.0,125941443,-877001.500000,-0.006964,0.000100
-0.5,174139695,-964760.500000,-0.005540,0.000085
0.0,209390936,-862119.000000,-0.004117,0.000078
0.5,165307052,-438788.500000,-0.002654,0.000088
1.0,118649991,-138391.500000,-0.001166,0.000103
1.5,87235203,15637.500000,0.000179,0.000120
2.0,62438290,89541.500000,0.001434,0.000142
2.5,44839134,130915.500000,0.002920,0.000168
3.0,31419696,143238.500000,0.004559,0.000200
3.5,21928625,125983.000000,0.005745,0.000239
4.0,14918229,106857.000000,0.007163,0.000289
4.5,9801696,94823.500000,0.009692,0.000357
5.0,6378837,90822.000000,0.014484,0.000441
5.5,4147929,85280.500000,0.021393,0.000549
6.0,2563883,68900.000000,0.028267,0.000701
6.5,1572883,45257.000000,0.030364,0.000893
7.0,936236,28133.000000,0.031585,0.001156
7.5,541001,16814.500000,0.033030,0.001518
8.0,311084,10651.000000,0.035961,0.002002
8.5,169797,5479.500000,0.033983,0.002708
9.0,94677,3034.000000,0.033777,0.003608
9.5,48129,1955.500000,0.043098,0.005063
10.0,25415,957.000000,0.039219,0.006955
10.5,12507,602.000000,0.050555,0.009932
11.0,5670,252.500000,0.046687,0.014718
11.5,2890,107.000000,0.039370,0.020482
12.0,1222,126.500000,0.108342,0.031459
12.5,541,13.000000,0.026967,0.048411
13.0,282,17.000000,0.060181,0.069310
13.5,126,1.000000,0.007188,0.101148
14.0,58,3.000000,0.054267,0.152031
14.5,17,11.500000,0.713904,0.279093
15.0,8,-0.500000,-0.117857,0.352591
15.5,2,-1.000000,-0.500000,1.060660
16.0,1,-1.500000,-1.000000,0.000000
