TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar,HandsPlayedPct
-15.5,2,2.0,-1.0,-0.5,0.353553,0.0
-15.0,7,8.0,-3.5,-0.4375,0.347283,1e-06
-14.5,2,2.0,-2.0,-1.0,0.0,0.0
-14.0,28,32.0,0.5,0.015625,0.174671,3e-06
-13.5,82,94.0,5.0,0.053191,0.102996,8e-06
-13.0,217,251.0,-26.5,-0.105578,0.061586,2.2e-05
-12.5,259,298.0,-1.0,-0.003356,0.055546,2.7e-05
-12.0,1271,1458.0,-194.0,-0.133059,0.025244,0.000132
-11.5,1995,2321.0,-132.0,-0.056872,0.020176,0.000206
-11.0,3443,3946.0,-240.5,-0.060948,0.015478,0.000356
-10.5,11924,13734.0,-1026.0,-0.074705,0.008292,0.001234
-10.0,21276,24571.0,-1388.5,-0.05651,0.006196,0.002202
-9.5,43666,50136.0,-2545.0,-0.050762,0.00435,0.004519
-9.0,74578,85469.0,-4448.5,-0.052048,0.003335,0.007719
-8.5,142280,162632.0,-8266.5,-0.050829,0.002415,0.014725
-8.0,224355,256241.0,-12067.5,-0.047094,0.001927,0.02322
-7.5,422013,481233.0,-20084.5,-0.041736,0.001406,0.043677
-7.0,969020,1101122.0,-44630.5,-0.040532,0.00093,0.100289
-6.5,1175095,1331858.0,-47995.5,-0.036036,0.000846,0.121617
-6.0,1892537,2141357.0,-74356.0,-0.034724,0.000668,0.19587
-5.5,3802319,4293275.0,-135033.5,-0.031452,0.000472,0.393524
-5.0,5448906,6141088.0,-167760.0,-0.027318,0.000395,0.563939
-4.5,7031072,7906715.0,-198885.5,-0.025154,0.000348,0.727686
-4.0,12147162,13632278.0,-305952.0,-0.022443,0.000265,1.25718
-3.5,19681189,22038824.0,-426120.5,-0.019335,0.000209,2.036919
-3.0,20912688,23370550.0,-395077.0,-0.016905,0.000203,2.164374
-2.5,32226455,35949036.0,-534525.0,-0.014869,0.000164,3.335301
-2.0,50845158,56608554.0,-697480.0,-0.012321,0.00013,5.262258
-1.5,57704848,64177014.0,-630698.5,-0.009827,0.000123,5.972207
-1.0,62459449,69428778.0,-568147.5,-0.008183,0.000118,6.464288
-0.5,101795117,112998338.0,-659688.5,-0.005838,9.3e-05,10.535362
0.0,260904094,288978667.0,-918214.0,-0.003177,5.8e-05,27.002466
0.5,94384519,104284479.0,-22956.0,-0.00022,9.6e-05,9.768397
1.0,48382816,53345165.0,94312.0,0.001768,0.000135,5.007416
1.5,48161719,53034969.0,189149.5,0.003567,0.000135,4.984533
2.0,41951335,46085539.5,280048.5,0.006077,0.000146,4.341785
2.5,29369776,32201969.5,269888.5,0.008381,0.000175,3.039647
3.0,18747499,20453604.5,219190.5,0.010716,0.00022,1.940287
3.5,16051008,17282737.0,222217.5,0.012858,0.000241,1.661211
4.0,11033455,11756198.5,185165.5,0.01575,0.000293,1.141916
4.5,5631670,5961705.5,108478.5,0.018196,0.000412,0.582854
5.0,4955722,5219436.5,107850.5,0.020663,0.000442,0.512896
5.5,3282760,3449499.0,77955.0,0.022599,0.000544,0.339752
6.0,1624166,1703438.5,45114.5,0.026484,0.000775,0.168094
6.5,1076201,1125752.5,31637.5,0.028103,0.000953,0.111382
7.0,825315,861289.5,25662.0,0.029795,0.001091,0.085417
7.5,329361,343140.0,10150.0,0.02958,0.001731,0.034087
8.0,206675,215007.0,8436.0,0.039236,0.002184,0.02139
8.5,142079,147308.0,5508.5,0.037394,0.002646,0.014705
9.0,52193,53949.5,2243.0,0.041576,0.004379,0.005402
9.5,37949,39192.0,1657.0,0.042279,0.005129,0.003928
10.0,20252,20811.0,669.0,0.032146,0.007041,0.002096
10.5,9087,9345.5,288.0,0.030817,0.010493,0.00094
11.0,2341,2421.5,105.5,0.043568,0.020725,0.000242
11.5,1674,1715.0,82.0,0.047813,0.024561,0.000173
12.0,757,778.0,63.0,0.080977,0.036944,7.8e-05
12.5,179,179.0,-25.5,-0.142458,0.072812,1.9e-05
13.0,150,154.5,5.5,0.035599,0.085207,1.6e-05
13.5,42,44.5,-8.0,-0.179775,0.146174,4e-06
14.0,16,15.0,9.0,0.6,0.248104,2e-06
14.5,2,2.0,0.0,0.0,0.707107,0.0
15.0,1,1.0,-1.0,-1.0,0.0,0.0
