TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-9.5,2,2.000000,2.000000,1.000000,0.000000
-9.0,1,1.000000,1.500000,1.500000,0.000000
-8.5,13,16.000000,-5.000000,-0.312500,0.229107
-8.0,43,52.000000,3.000000,0.057692,0.134377
-7.5,239,277.000000,-46.500000,-0.167870,0.057699
-7.0,1034,1179.000000,64.500000,0.054707,0.028697
-6.5,4136,4695.000000,-246.500000,-0.052503,0.014233
-6.0,15142,17253.000000,-347.500000,-0.020141,0.007445
-5.5,52966,59786.000000,-2122.000000,-0.035493,0.003997
-5.0,161496,181949.000000,-5326.000000,-0.029272,0.002295
-4.5,460777,518286.000000,-13390.000000,-0.025835,0.001360
-4.0,1276811,1434159.000000,-35829.000000,-0.024983,0.000818
-3.5,3079240,3450754.000000,-77718.000000,-0.022522,0.000527
-3.0,7052647,7887804.000000,-158107.500000,-0.020045,0.000349
-2.5,15217183,16984395.000000,-299977.000000,-0.017662,0.000238
-2.0,30263194,33711665.000000,-505568.000000,-0.014997,0.000169
-1.5,58705429,65271960.000000,-795454.500000,-0.012187,0.000121
-1.0,104083155,115491746.000000,-1156543.000000,-0.010014,0.000091
-0.5,197172086,218363336.000000,-1687318.000000,-0.007727,0.000066
0.0,251034372,277714477.000000,-1556983.500000,-0.005606,0.000059
0.5,183363532,202864321.000000,-713588.000000,-0.003518,0.000069
1.0,96677831,106740859.000000,-66726.500000,-0.000625,0.000095
1.5,54347636,59893365.000000,83508.000000,0.001394,0.000127
2.0,27782834,30556629.000000,109133.500000,0.003572,0.000178
2.5,13873336,15234841.000000,93092.500000,0.006111,0.000253
3.0,6474005,7083593.500000,62630.000000,0.008842,0.000372
3.5,2952640,3156901.500000,30762.500000,0.009745,0.000564
4.0,1226981,1299204.000000,14965.000000,0.011519,0.000883
4.5,441260,466362.500000,5184.000000,0.011116,0.001474
5.0,153650,161984.500000,3115.500000,0.019233,0.002506
5.5,49348,51740.500000,977.500000,0.018892,0.004439
6.0,13981,14606.500000,459.000000,0.031424,0.008371
6.5,3685,3882.500000,134.000000,0.034514,0.016134
7.0,893,921.500000,-2.500000,-0.002713,0.033267
7.5,219,232.000000,-10.000000,-0.043103,0.064916
8.0,41,41.500000,-6.500000,-0.156627,0.152840
8.5,6,7.000000,3.000000,0.428571,0.341494
9.0,1,1.000000,-1.000000,-1.000000,0.000000
