TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar,HandsPlayedPct
-14.5,1,1.0,-1.0,-1.0,0.0,0.0
-13.5,1,1.0,-1.0,-1.0,0.0,0.0
-13.0,5,7.0,1.0,0.142857,0.374088,0.0
-12.5,13,15.0,-3.0,-0.2,0.252982,1e-06
-12.0,45,55.0,9.0,0.163636,0.124684,3e-06
-11.5,103,117.0,-31.5,-0.269231,0.087901,6e-06
-11.0,303,352.0,-8.0,-0.022727,0.051358,1.8e-05
-10.5,744,850.0,-40.5,-0.047647,0.033272,4.5e-05
-10.0,2121,2440.0,-103.5,-0.042418,0.019823,0.000128
-9.5,4980,5750.0,-312.0,-0.054261,0.012823,0.000301
-9.0,11838,13544.0,-602.0,-0.044448,0.008369,0.000715
-8.5,27021,30863.0,-1660.5,-0.053802,0.005549,0.001632
-8.0,56577,64626.0,-3191.0,-0.049376,0.003835,0.003417
-7.5,125865,143660.0,-6657.0,-0.046339,0.002572,0.007601
-7.0,261600,297342.0,-11784.0,-0.039631,0.001791,0.015799
-6.5,514924,584215.0,-20337.0,-0.034811,0.001278,0.031098
-6.0,982225,1112132.0,-36189.5,-0.032541,0.000926,0.059319
-5.5,1825969,2063561.0,-65236.5,-0.031614,0.00068,0.110275
-5.0,3283734,3702757.0,-107012.0,-0.028901,0.000508,0.198314
-4.5,5826814,6555266.0,-166461.0,-0.025393,0.000382,0.351898
-4.0,9917878,11136799.0,-254699.0,-0.02287,0.000293,0.598969
-3.5,16474798,18461942.0,-379456.5,-0.020553,0.000228,0.994959
-3.0,26376302,29501644.0,-527637.0,-0.017885,0.00018,1.592939
-2.5,42689768,47650340.0,-733028.5,-0.015383,0.000142,2.578155
-2.0,66807544,74426541.0,-964634.0,-0.012961,0.000114,4.034695
-1.5,103213215,114752067.0,-1208868.5,-0.010535,9.2e-05,6.233336
-1.0,157768339,175070594.0,-1424076.5,-0.008134,7.4e-05,9.528073
-0.5,249562873,276401077.0,-1596540.5,-0.005776,5.9e-05,15.071803
0.0,318556175,352472151.0,-1302096.0,-0.003694,5.2e-05,19.238502
0.5,235527979,260569143.0,-363104.5,-0.001394,6.1e-05,14.224196
1.0,149605965,165173151.0,151498.0,0.000917,7.7e-05,9.035124
1.5,97895093,107872669.0,365587.5,0.003389,9.5e-05,5.91216
2.0,63276526,69586973.0,379831.0,0.005458,0.000118,3.821447
2.5,40298503,44253599.0,344484.5,0.007784,0.000148,2.43374
3.0,25244011,27641213.0,280843.5,0.01016,0.000188,1.524557
3.5,16499711,17688278.0,221665.5,0.012532,0.000238,0.996464
4.0,10097042,10697936.0,155790.5,0.014563,0.000308,0.609789
4.5,5921982,6258011.0,106968.5,0.017093,0.000402,0.357645
5.0,3326508,3506159.5,66825.5,0.019059,0.000538,0.200897
5.5,1845450,1940244.5,40985.5,0.021124,0.000724,0.111452
6.0,984967,1034189.5,26826.5,0.02594,0.000992,0.059485
6.5,517938,542553.0,15411.0,0.028405,0.001371,0.03128
7.0,262996,274787.0,7659.0,0.027872,0.001928,0.015883
7.5,125989,131253.5,4248.0,0.032365,0.002792,0.007609
8.0,57144,59416.5,1895.5,0.031902,0.004153,0.003451
8.5,26578,27589.0,990.0,0.035884,0.006082,0.001605
9.0,11982,12385.5,268.5,0.021679,0.009128,0.000724
9.5,4874,5032.0,273.0,0.054253,0.01433,0.000294
10.0,2126,2194.0,109.5,0.049909,0.021721,0.000128
10.5,765,787.0,7.5,0.00953,0.035853,4.6e-05
11.0,243,250.0,43.0,0.172,0.065312,1.5e-05
11.5,92,91.5,3.0,0.032787,0.103191,6e-06
12.0,34,35.5,2.5,0.070423,0.169188,2e-06
12.5,9,9.5,5.5,0.578947,0.298951,1e-06
13.0,2,3.0,-1.0,-0.333333,0.272166,0.0
14.0,1,1.0,-1.0,-1.0,0.0,0.0
