TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar
-23.5,1,1.000000,1.000000,1.000000,0.000000
-23.0,1,1.000000,-1.000000,-1.000000,0.000000
-22.5,6,7.000000,1.000000,0.142857,0.374088
-22.0,6,8.000000,2.000000,0.250000,0.293151
-21.5,14,16.000000,4.000000,0.250000,0.225347
-21.0,27,29.000000,-5.500000,-0.189655,0.183139
-20.5,45,53.000000,-3.000000,-0.056604,0.137140
-20.0,75,89.000000,-15.000000,-0.168539,0.100480
-19.5,142,179.000000,-17.000000,-0.094972,0.071736
-19.0,218,259.000000,-33.500000,-0.129344,0.060115
-18.5,472,566.000000,-47.500000,-0.083922,0.040202
-18.0,630,759.000000,-131.000000,-0.172596,0.034227
-17.5,1342,1583.000000,-247.000000,-0.156033,0.024113
-17.0,1814,2151.000000,-215.500000,-0.100186,0.020685
-16.5,3401,4038.000000,-459.000000,-0.113670,0.015208
-16.0,5303,6294.000000,-773.500000,-0.122895,0.012128
-15.5,8853,10480.000000,-1030.500000,-0.098330,0.009424
-15.0,13150,15565.000000,-1235.500000,-0.079377,0.007771
-14.5,19313,22672.000000,-2103.500000,-0.092780,0.006438
-14.0,31330,36703.000000,-3511.000000,-0.095660,0.005053
-13.5,53661,62798.000000,-5893.000000,-0.093841,0.003859
-13.0,69577,81190.000000,-6422.000000,-0.079098,0.003404
-12.5,113483,132099.000000,-10101.000000,-0.076465,0.002670
-12.0,164933,191707.000000,-14102.500000,-0.073563,0.002215
-11.5,233307,270180.000000,-19406.000000,-0.071826,0.001868
-11.0,356784,412329.000000,-27196.000000,-0.065957,0.001513
-10.5,515186,594310.000000,-37459.500000,-0.063030,0.001260
-10.0,720274,829037.000000,-48354.500000,-0.058326,0.001068
-9.5,982263,1128261.000000,-61861.500000,-0.054829,0.000916
-9.0,1417633,1624926.000000,-84324.500000,-0.051894,0.000764
-8.5,1991042,2277161.000000,-110201.500000,-0.048394,0.000646
-8.0,2731021,3117036.000000,-142793.500000,-0.045811,0.000552
-7.5,3779665,4304520.000000,-181619.500000,-0.042193,0.000470
-7.0,4977271,5658196.000000,-223178.000000,-0.039443,0.000410
-6.5,6877093,7800568.000000,-284698.500000,-0.036497,0.000350
-6.0,9374852,10612663.000000,-355030.000000,-0.033453,0.000300
-5.5,12788062,14443462.000000,-439042.000000,-0.030397,0.000257
-5.0,17102154,19278643.000000,-528931.000000,-0.027436,0.000223
