TrueCount,HandsPlayed,TotalMoneyWagered,TotalPayout,EVPerDollar,StdErrorPerDollar,HandsPlayedPct
-51.0,1,1.0,1.0,1.0,0.0,0.0
-49.0,1,1.0,1.0,1.0,0.0,0.0
-48.0,2,3.0,3.0,1.0,0.0,0.0
-47.0,1,2.0,2.0,1.0,0.0,0.0
-46.5,11,16.0,-6.0,-0.375,0.231756,1e-06
-46.0,1,1.0,-1.0,-1.0,0.0,0.0
-45.5,16,20.0,-10.0,-0.5,0.165831,1e-06
-45.0,9,11.0,-2.0,-0.181818,0.282204,0.0
-44.5,22,25.0,-11.0,-0.44,0.1796,1e-06
-44.0,10,12.0,-4.0,-0.333333,0.272166,1e-06
-43.5,20,25.0,-16.0,-0.64,0.137171,1e-06
-43.0,27,35.0,-6.0,-0.171429,0.164059,1e-06
-42.5,53,67.0,-14.0,-0.208955,0.106666,3e-06
-42.0,70,84.0,-18.0,-0.214286,0.103881,4e-06
-41.5,38,43.0,-12.0,-0.27907,0.150986,2e-06
-41.0,116,139.0,-15.0,-0.107914,0.080396,6e-06
-40.5,107,131.0,-13.5,-0.103053,0.084094,6e-06
-40.0,229,298.0,-64.0,-0.214765,0.054498,1.2e-05
-39.5,193,250.0,-45.5,-0.182,0.060461,1e-05
-39.0,178,223.0,-32.0,-0.143498,0.063561,1e-05
-38.5,398,492.0,-111.5,-0.226626,0.042342,2.1e-05
-38.0,400,496.0,-60.0,-0.120968,0.043952,2.2e-05
-37.5,718,855.0,-139.0,-0.162573,0.032663,3.9e-05
-37.0,681,831.0,-151.0,-0.181709,0.033198,3.7e-05
-36.5,902,1107.0,-220.0,-0.198735,0.028484,4.9e-05
-36.0,1439,1748.0,-239.0,-0.136728,0.022982,7.8e-05
-35.5,1471,1812.0,-288.5,-0.159216,0.022605,7.9e-05
-35.0,1405,1742.0,-259.5,-0.148967,0.022859,7.6e-05
-34.5,3360,4095.0,-689.0,-0.168254,0.014873,0.000181
-34.0,2383,2895.0,-402.0,-0.13886,0.017787,0.000129
-33.5,3924,4775.0,-704.5,-0.147539,0.013887,0.000212
-33.0,5490,6687.0,-1071.0,-0.160162,0.011682,0.000296
-32.5,4786,5844.0,-849.0,-0.145277,0.012569,0.000258
-32.0,8802,10622.0,-1518.5,-0.142958,0.009331,0.000475
-31.5,8139,9806.0,-1265.0,-0.129003,0.009706,0.000439
-31.0,14103,16996.0,-2348.0,-0.13815,0.007378,0.000761
-30.5,14163,17026.0,-2030.5,-0.119259,0.007366,0.000764
-30.0,14961,18000.0,-2048.5,-0.113806,0.007195,0.000807
-29.5,26792,32186.0,-3973.0,-0.123439,0.005371,0.001446
-29.0,24694,29475.0,-3460.5,-0.117405,0.005619,0.001332
-28.5,29535,35323.0,-4114.0,-0.116468,0.005133,0.001594
-28.0,35947,42924.0,-4681.5,-0.109065,0.004665,0.00194
-27.5,49727,59348.0,-6504.5,-0.109599,0.003967,0.002683
-27.0,60973,72621.0,-7778.0,-0.107104,0.003584,0.00329
-26.5,71651,85105.0,-9249.5,-0.108683,0.003316,0.003866
-26.0,87531,103970.0,-9979.0,-0.09598,0.003003,0.004723
